"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.863510137200683,0.338363022391721,0.169474430153763,0.160261581570182,0.327132653636455,0.465896512287152,0.467668276362175,0.342065624067982,0.221877457302143,0.191410104901902,0.280043480763036,0.211065071553037,0.12249168886797,0.0709165700891687,0.0886868967972945,0.0380457636093686
"5-9",0.368425594714721,1.25614312586138,0.450587864437975,0.160003972578737,0.163624775286223,0.302825677540477,0.321134094198824,0.304063337035622,0.246387417013528,0.144180200189046,0.139752257159684,0.130726890377765,0.106142515816438,0.0532923124813417,0.0503908511733421,0.0339284597614565
"10-14",0.116183944101595,0.55912311329542,1.93576682092436,0.387334510095017,0.30934328435123,0.243966210465425,0.244616496144289,0.249319012682208,0.275790986294456,0.213390641595399,0.169696182321362,0.0952604072869709,0.0584434111784517,0.0406750830828235,0.057576274826006,0.0451772169476337
"15-19",0.0812074222303564,0.231397118366265,1.05384532890539,4.04585464455576,1.18268532193889,0.515860872329784,0.283769287359723,0.289598369014136,0.284097777166849,0.30773308434754,0.168172103933939,0.0753897553471463,0.0483073681102857,0.0295912831490685,0.0351863542643415,0.0213023026578313
"20-24",0.139204738663067,0.160494458998875,0.234203114919879,1.93068569514261,3.77000527621691,1.38975269982876,0.715325690635679,0.405001933022967,0.301710359965251,0.428546564309117,0.315041731026065,0.188351719599947,0.0662453783019339,0.0342523271247885,0.0747914632240774,0.0537286266230097
"25-29",0.22439253959189,0.105589757531864,0.0930420851620877,0.46562906629981,1.57071521624545,1.86921196942604,0.923197843453058,0.526926699989281,0.337498388808447,0.372169539156443,0.380818358498327,0.184334063846407,0.0634864317440141,0.0318400280914294,0.039782510828096,0.0182871630221112
"30-34",0.196885490454191,0.126671710009317,0.188330111307867,0.192180743273378,0.614403657330201,0.842368230493471,0.917651610785704,0.558452104549806,0.336641096054309,0.313268136588593,0.384639074573804,0.250609973085064,0.100273280400772,0.0492525033179836,0.0495066684495194,0.0419528330759133
"35-39",0.152293435591423,0.162494356722616,0.119800240370854,0.113516259481733,0.326518324980073,0.534440248901442,0.580962665553878,0.603311047232608,0.402967477585341,0.31500454488939,0.259939307303151,0.185982215868056,0.13961746306048,0.0657991439320358,0.0773820830034423,0.0279273122481935
"40-44",0.0998597632592136,0.117300687155506,0.179874088699716,0.147868065600656,0.320502420686339,0.358890571995664,0.430267066894649,0.396294866307454,0.411748828397361,0.305403276806952,0.253670779554549,0.10772111904147,0.0891951638250652,0.0426831805792478,0.0648282772847621,0.0249632888385018
"45-49",0.0367463603635099,0.0546805701052152,0.0697177958532632,0.17016493887929,0.28244367394127,0.326964446265286,0.348286764438295,0.331626457061819,0.304778436755921,0.380477156511269,0.358400519488917,0.148133568373968,0.0920915508027339,0.0411072634260223,0.0731426040725686,0.0515100969700239
"50-54",0.0707506098381253,0.120206111877969,0.133561647713795,0.254092549832114,0.560338497917837,0.663329349654615,0.42224219477839,0.349113169375417,0.378426887881674,0.51488143997372,0.48961481635133,0.350220534919828,0.186039375942899,0.0692817948645763,0.0911631157253613,0.0560526624463037
"55-59",0.0869516330130346,0.0700418460292708,0.0737498519308933,0.112016117932335,0.338733558443695,0.532472604945518,0.479285114692028,0.338965933013517,0.317353641273872,0.27241644261859,0.483935448412443,0.407918621154034,0.230862814163601,0.0878517014279373,0.0972068990954708,0.0481400982743428
"60-64",0.0510843792331504,0.0505710405933312,0.0425981679997943,0.0866129917965612,0.220434123621853,0.316352561871994,0.283594440972401,0.289726105081799,0.239330599599895,0.236054775628353,0.258594787577717,0.28934414321942,0.219963309323438,0.109342013827917,0.15310243249857,0.0585964865928131
"65-69",0.0331051498018221,0.0396237236031824,0.0246435423332379,0.0332014366295938,0.117034993189787,0.170469893749472,0.187438846847283,0.143183610818602,0.130558103108334,0.126441905602545,0.169156728611,0.165381582933508,0.137091364099354,0.081421146061272,0.0861241926628465,0.0468684111252197
"70-74",0.0247621702696906,0.047527577219112,0.0670149513384195,0.160056527221765,0.179215694689063,0.243717578801454,0.218035121398871,0.258679424036462,0.290139011608099,0.266360795380019,0.263693418064767,0.237769066733308,0.342030298124517,0.210131666492144,0.386678482713908,0.128569901914734
"75+",0.0348451414329255,0.0320961082892189,0.0463950574903217,0.0328028018599053,0.0866893436148216,0.107952900593646,0.178037476625483,0.121807739341455,0.111309536075353,0.168138300163183,0.148439790478512,0.129335999397118,0.106988688529141,0.0972368256814517,0.169080544114328,0.10462232879441
