"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.321887156572097,0.0432214332936465,0.0078793144993888,0.00811483792582549,0.00534972669059497,0.021823502019202,0.0401600239246797,0.0299383023408137,0.0140708329029506,0.0166808459427974,0.0095015251712711,0.00742417011139936,0.00128361494849316,0.000779382356503887,8.23612482456087e-66,6.37928719157033e-120
"5-9",0.0540827004006412,4.48661607337091,0.220319948843789,0.030889875210931,0.0262133116021985,0.0753217828679575,0.0917900663500834,0.0819909193361373,0.077634837024509,0.06171571464372,0.0606106243975913,0.0172861286335327,0.00672520183881323,0.00162714903445507,0.000348730990358905,8.11098703207189e-39
"10-14",0.000456266275232792,0.855348823181254,4.39087752914107,0.17179882991182,0.0151142278541717,0.0526180521720504,0.0501787313382084,0.075731531462731,0.0772801885758857,0.0673538231138548,0.0549068106148627,0.0255902428054776,0.00658481431733247,0.000806025810724117,4.95094586414833e-25,0.000182511368544363
"15-19",0.00260233875792972,0.0464474251323451,1.72163311827757,7.50195277275318,0.0758312525896541,0.0731498254979326,0.0760853131404241,0.100802914800267,0.082774185077408,0.109164552819767,0.070387702558345,0.0381158118107216,0.00853267980900534,0.00130089242454489,6.24016931291111e-33,1.71266964601637e-70
"20-24",0.00719070710328359,0.020959541713137,0.0074903454400493,0.775550709868707,0.353062161203386,0.0422222081494894,0.0270093132972789,0.0318516642007532,0.0201978901245435,0.0269739312896893,0.0161237811140546,0.0107465326952753,0.00081283628447395,0.00132242828864062,0.000177359915079889,1.22054298975185e-47
"25-29",0.00704225842413117,0.10497265821984,0.0295257915730797,0.187061716923296,0.233869493596279,0.145183372925544,0.0240927563520868,0.0306079100516107,0.0361649567130596,0.0346891215839861,0.0102647241659895,0.0156235197200052,0.00516512726645858,0.00257769630325987,0.000463737133240882,0.00128720501064492
"30-34",0.0141474598641686,0.327777213685585,0.194868466513496,0.151397333918883,0.0406947107831168,0.0754105153280985,0.0652551128188404,0.0435453599485552,0.0472321096065682,0.026841057030405,0.024806441145997,0.0035543959903255,0.00637916246376504,0.00047185954669407,1.6562844563851e-48,3.11443245958558e-55
"35-39",0.0240950955847301,0.182882640434499,0.120726604699729,0.0744017110746026,0.0153720840177219,0.0465607521218143,0.0620005538794157,0.0446656749130483,0.0496217299468269,0.0258555748833645,0.00433249027522608,0.0095582383868975,0.000652247213510371,0.00219477784535074,1.84623950207548e-123,9.70292001639493e-67
"40-44",0.00781469665605831,0.102825174084006,0.073624513653231,0.358875182538772,0.00735366681189467,0.0231915334667934,0.0217646227468679,0.0284166423976514,0.0609692149791392,0.0236398969980424,0.0297868853652059,0.00790799744963263,0.00650141387483053,0.000504843001563699,4.81727407461575e-68,2.40414965047669e-92
"45-49",0.0656132760041089,0.258852429529373,0.15064173647384,0.654724487906221,0.00579411093929906,0.0316172895727665,0.0580823834530675,0.0483170537939776,0.0450462962823398,0.0295970060672953,0.0412358785237459,0.017770930699031,0.0041863509997083,0.00183597160817779,6.21867044560067e-134,3.27652806079154e-72
"50-54",0.0173199088148656,0.49678896411983,0.55687213444786,0.728861286606879,0.00654258438536457,0.0182180580064909,0.0482778772945135,0.0457494868418742,0.0568785203827136,0.0851768167061234,0.0488469403588348,0.024075914101996,0.00639995842209139,1.00464965470357e-23,1.24040819644475e-117,5.65045131754848e-78
"55-59",0.0615503306957792,0.426393971750564,0.333678921687262,0.45654535464193,0.00706910943343603,0.0652001635433662,0.0242574358195305,0.0393414656559908,0.0495601104536782,0.0388721274972221,0.0378818228930354,0.0395350725108975,0.0117092484085534,1.2443265480944e-31,0.000783075066744906,0.000763234152961691
"60-64",0.0364151915715169,0.0841097759368714,0.0392452931837228,0.217313148947293,0.0147455233241429,0.00204565613002356,0.0182280890591403,0.0494338857157892,0.0108786236440751,0.018352978833228,0.0156737833576195,0.00760872209027941,0.0249581899446907,0.0118379775643083,4.42679248204809e-67,2.12206543472323e-37
"65-69",0.00167993491710727,0.0317743287975307,0.0117344514606549,9.18294130415992e-32,0.00207495303767356,0.0020567723759233,0.0131087173086154,0.00567609561473869,0.00571734906010903,0.00944061384742781,0.00220292043486685,0.0163760923822322,0.00865161640340739,0.017765560313295,0.0111267964592831,3.45756534802421e-126
"70-74",1.2808900253687e-28,5.12945068181409e-26,1.93546950698772e-40,0.00763955824814796,2.63878138102024e-22,1.69976364719318e-24,1.26018129016739e-26,0.00762918400392335,0.00785818726579636,0.0211839673763236,0.0352810043705138,0.0214665923867949,0.00774616129247686,0.00801536813059455,0.00791287800854827,0.0213826336117396
"75+",2.81656608387249e-94,0.0211860231588329,8.48223540897192e-42,0.0213286146429245,4.90190341028152e-36,0.00759960130132088,9.78043999981013e-69,2.23277814183985e-60,1.43825778364237e-48,8.56944639249976e-60,4.70120322304046e-42,1.59982744575622e-46,2.21122263438713e-83,8.86023864317781e-107,1.02043064403659e-80,6.61415049635965e-113
