"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.356256311108437,0.0414124039856763,0.0416466936997827,0.0117783238388999,0.0957727504458657,0.0272725288014353,0.0964513954313718,0.0584821821395538,0.0261615378039807,8.23257962396244e-08,2.47523236607755e-16,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.073811499541384,0.679118976589424,0.512534724285052,0.288115763345062,0.267226382698569,0.248208085637123,0.27860769839783,0.229262740939132,0.152099399511119,0.0922159164499739,0.0535089957192641,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0909812608322438,0.345443993439343,0.62975753900303,0.589940331467849,0.48986900757519,0.539310016873027,0.410275107043913,0.342970774900944,0.295846084954348,0.173667317729922,0.138792288651889,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.1143696918102,0.296788566140803,0.58580823732552,0.964251964887916,0.68647964460158,0.669704434050898,0.623385752116738,0.456187283907695,0.423636731773918,0.250068969054564,0.180952673709523,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.128927412839981,0.159571869679279,0.403846083619129,0.65084292646262,0.847397620354393,0.742567765169822,0.670510080599294,0.571384559558609,0.389368027272703,0.290265175594331,0.168574266036429,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.0792220958063835,0.318027519962117,0.334736596656332,0.610826313862823,0.650758930110489,0.898525919057648,0.880760960772158,0.636176532743652,0.523307839584298,0.266044932404272,0.119374840199146,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.0902007425761487,0.200128734890915,0.396980942916839,0.608698785519754,0.714300921403723,0.763815902167127,0.942868885804574,0.790750306071024,0.642074697761165,0.284611865919334,0.176366922381055,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.125614608931956,0.261105011601002,0.282404239102119,0.477601338059794,0.609242864404817,0.66928162002077,0.697654622058126,0.710696209709563,0.517175312903804,0.336231994536709,0.146624347117723,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.150567320748879,0.216507686218752,0.26058911089342,0.533436904852012,0.618647877775812,0.643709475615692,0.878259082413821,0.884221220304149,0.75890713496271,0.470406302816735,0.194260273501152,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.305326129339005,0.191477334018227,0.231077934439877,0.415457057968038,0.574707592667444,0.541456888620738,0.697441975795296,0.574256099591146,0.601471179869355,0.480863789762706,0.241172268674939,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.263997803933004,0.0665011176459644,0.235243449022423,0.409841766286129,0.449178522296988,0.530426175002015,0.577877526265946,0.588966599363176,0.508384353415306,0.501386393495816,0.211883230610404,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
