"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.732572901602819,0.530936523965161,0.296351012732629,0.140691947214022,0.257245920638466,0.511009908615729,0.632099822261129,0.552472282049747,0.233786608822908,0.0918116200800462,0.12004972417055,0.0812476552599188,0.0633432894613079,0.0175730587905312,0.00721840698483153,0.0158799097500216
"5-9",0.321690268170268,1.02265250835914,0.481120042941492,0.177019399448749,0.0613531431908003,0.257245179845257,0.590046270731883,0.63081454936408,0.398975232695026,0.152299875238982,0.0688843132610422,0.0796166226519408,0.0477179840761567,0.0212100247888435,0.0108892669606652,0.0159685804602906
"10-14",0.164224928700795,0.437871513611706,1.39050873430977,0.401033753275822,0.079182592614052,0.067139718148203,0.208186171777816,0.433098224309787,0.489942693641617,0.231356577920709,0.0753750474639385,0.0291512669046697,0.0207997266132692,0.0180125562598281,0.0168271914673334,0.0117685876912092
"15-19",0.0737489862506041,0.134560668438715,0.37959741076757,1.00046786150481,0.205407994966187,0.0568575540161804,0.0390885111156962,0.180126838298727,0.349736764070404,0.362105546167435,0.178584887244945,0.0507420724983463,0.0216652479070974,0.0132268765172515,0.00625844238699002,0.00878095444649394
"20-24",0.200090643875344,0.106153941992884,0.129644743312784,0.49828545361732,1.28853472086859,0.353481089412161,0.0716572074561763,0.032402990783166,0.183757146536863,0.484222808827454,0.327421229494831,0.132482854109112,0.0298473006953396,0.00636513710736159,0.00831617953397756,0.0126855829357293
"25-29",0.779089752348922,0.300560873745086,0.117843258380768,0.193713375278792,0.567238175751549,1.7980629754214,0.39046937479636,0.0724384914644373,0.042908715049788,0.197186910310396,0.464086570596698,0.262694287596958,0.116399742972237,0.030218561271111,0.00539289026759,0.0216102505142601
"30-34",0.948093633400506,0.992503337470828,0.531152063227699,0.111276220855043,0.150488679844224,0.440980013879743,1.43299429841529,0.374166775901115,0.130067743218345,0.0472682274702881,0.103735509852195,0.157085089140271,0.126714276625879,0.0257067778334368,0.0127933277620429,0.0105200181703638
"35-39",0.718964080333629,1.12798173464701,0.966527835249729,0.391987579803131,0.0622802600984218,0.0777034319651743,0.260574565379023,1.25242687962809,0.241493937204447,0.0656389052544474,0.0389506027473163,0.0465069190414371,0.0759648973243512,0.0488920386348175,0.0232957101872651,0.00693500296803537
"40-44",0.359983763592336,0.669040174921384,0.899296005239257,0.677143602089768,0.199696233419187,0.0618400344774421,0.126274808041134,0.228547881286959,0.901585945891706,0.199706483317282,0.0619839696641241,0.0158932255059143,0.0469604799896284,0.044105071276579,0.0199655579120577,0.0140392719090835
"45-49",0.171356338135203,0.349244328776192,0.510163095447902,0.672083166670227,0.410497523438708,0.140014810783512,0.0445120673786631,0.0978505978337336,0.169677098413447,0.673092209750942,0.162085616479318,0.0336406965139549,0.0182775944574303,0.0154731319752621,0.0141786617612321,0.0302172693883973
"50-54",0.216295561819499,0.189862939029099,0.292951859159471,0.340959339903878,0.346582027430798,0.243309583378343,0.100889105031599,0.0432795434086276,0.0756424102330831,0.145827481236994,0.462483177112643,0.11187057239814,0.025715051452854,0.00949927459855266,0.00955457840859716,0.0273053236509787
"55-59",0.268074366055681,0.290060318548086,0.183267282938554,0.213570313187712,0.179220308341155,0.230475736125929,0.187471127589895,0.0654072981270396,0.0357477415029405,0.0778500460649702,0.123851141870332,0.337081009247531,0.0839102070163338,0.0282666132094293,0.00636214248239818,0.0157827092108947
"60-64",0.157242512297349,0.158418049277429,0.104943910410539,0.0885131747268905,0.0567600197824804,0.0828796278568869,0.10382204029211,0.0773298431534048,0.0394638184247715,0.02033462471937,0.0355841910429367,0.0683422535662383,0.169124293970383,0.0380215402232679,0.00776536187523414,0.00231502710382066
"65-69",0.0760738585953545,0.121481528145701,0.108941264011382,0.0535112177289673,0.0346112657516036,0.0433232696735861,0.0672000426924599,0.0935140058899963,0.068864737590893,0.0252636033381129,0.0226046879521594,0.0291547472295004,0.0418048939791962,0.126591363848615,0.016587650285277,0.00418647919681125
"70-74",0.0368416793870641,0.117357835302114,0.108461572382994,0.0751295241466177,0.0163799940655055,0.0380613761575234,0.0279562359027313,0.0746933845407279,0.0691603240197779,0.0559957136667209,0.0309182184405851,0.0177013401537037,0.026405201931215,0.0265240403689712,0.0849436221637834,0.0197421556463483
"75+",0.0530951467137905,0.0745196362150526,0.114185999229253,0.0937129653606387,0.0231677489232416,0.0218487618337131,0.0231519830341281,0.0462765407713371,0.0537713450879175,0.0603128929571238,0.0666709222253378,0.0305971587581776,0.0115919685406303,0.0193898598418363,0.0148094550061427,0.0431972813382438
