"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.190723578921407,0.644150560725981,0.441948349180516,0.329357162460687,0.584181436943255,0.598892134237509,0.40931318415636,0.307735248605146,0.202340695033691,0.128976722092751,0.147234313303642,0.173230481450674,0.100931213176894,0.059930307152324,0.0169805407981116,0.0141629543668984
"5-9",0.425445896082573,0.343824734321006,0.608611341734346,0.333227448539684,0.204441698391513,0.559656508934866,0.521388019005309,0.410732272137446,0.308162150784376,0.175439864081841,0.11475116731257,0.150729362301766,0.100851282871784,0.0601755422182187,0.0209619008406035,0.0151294245589224
"10-14",0.308489167213463,0.659178157786166,0.493308215535825,0.489073849083548,0.167753679332761,0.209587514060032,0.32236246707482,0.359243562313952,0.285380335988086,0.189962849427907,0.10614401250365,0.0659166991797971,0.0431572048435711,0.049171893327586,0.0220842120206161,0.0121459900615588
"15-19",0.220346212394097,0.307202971959761,0.512163505047603,0.481058534151785,0.347169368844514,0.204856194179172,0.11717291162302,0.267706202382915,0.263354429690784,0.242407858361207,0.188907907779646,0.107172473980666,0.0618220507375082,0.0375645048299839,0.0147852651979857,0.00935790379591134
"20-24",0.409193909640465,0.245191191299859,0.185155839384407,0.535470947278672,0.315900610666286,0.433537035904606,0.147019929663814,0.0897783995220466,0.157904121574868,0.189378815394269,0.153408005579625,0.131348192549329,0.0480978825550614,0.0207104862372401,0.0112590044377302,0.0092512454820228
"25-29",0.628417248154775,0.373464683149246,0.168351882075704,0.287813074767064,0.466283670755722,0.238358991660748,0.234653694304806,0.112666918189475,0.0707474698694484,0.112236597960979,0.161375945761752,0.116096156548022,0.0676695571463306,0.0324615471442353,0.00550582185884006,0.00845380547677379
"30-34",0.490504241856842,0.734315207474767,0.530750858757635,0.158404480825079,0.22900653869788,0.339802484409838,0.116944477611216,0.213462298138177,0.162805518760134,0.0814473845155671,0.091923017405872,0.103861802292374,0.0817970730602266,0.0288225744823437,0.0135979201882552,0.00721122001033373
"35-39",0.442598543677349,0.792187432638969,0.70895181837094,0.40657441912802,0.143173576732988,0.166035104079085,0.202236085649875,0.097470812862253,0.142921087919922,0.110550884355728,0.0982848121324694,0.0739729477841751,0.0792185363193573,0.0587918847978114,0.020036356897064,0.00812723531433626
"40-44",0.297579805864639,0.556616143523034,0.59414779109816,0.488755851052858,0.21758871226778,0.136934983508415,0.205344813923891,0.157930975697121,0.0640252339153163,0.127702987630428,0.0959347063701223,0.0367475155092513,0.0644405208398881,0.0659892581418938,0.0172091013302545,0.0140321876095225
"45-49",0.182959106589932,0.34548762036797,0.44959069749878,0.567112892546195,0.325295447098521,0.165836015737762,0.0998943377828509,0.188128488266961,0.131291696944854,0.0504759102381873,0.0940555060447289,0.0603310751327067,0.0337317224825785,0.0220103632166713,0.0134345850123527,0.0191183396338453
"50-54",0.349467887553454,0.259483675813108,0.397666580635066,0.514983711259872,0.449133557705772,0.326787586072186,0.198533883410414,0.147806006666529,0.179252777678337,0.114112013826893,0.036591918054361,0.119239031691316,0.0593395939159672,0.0230862081056668,0.0160267553440194,0.0225634862818162
"55-59",0.583860773675668,0.49680415612757,0.294585190514526,0.518341863882811,0.445650269241744,0.487597479901177,0.37692745926788,0.186238166828711,0.133921106575411,0.20397694158195,0.163914697864327,0.053190810960091,0.0760211253772447,0.0760319694997335,0.0174496792791767,0.0205197217954521
"60-64",0.595136445623405,0.486503357738862,0.270830926907091,0.365633966516182,0.288574046863597,0.323623697802437,0.330520615635582,0.271206165954458,0.178153725899598,0.0958692091060225,0.165762083785477,0.101170960169044,0.0124088607003851,0.0462697785346631,0.0260009777821411,0.00600492838491164
"65-69",0.458130695345307,0.587733869201388,0.439715499641397,0.291660316042203,0.283268954891647,0.287781767642377,0.406709495978845,0.462074297246368,0.405567432877634,0.119373253880178,0.13987371404222,0.181314842587853,0.0631166112948145,0.013466746410933,0.0132475446193312,0.0154689851863292
"70-74",0.148201068008709,0.358251597145446,0.243213556578636,0.262347449210311,0.0752297174636737,0.173862463314853,0.119876729537351,0.225488820244795,0.205804333219875,0.146184922143479,0.110083160692126,0.0932040522790693,0.0950677153516244,0.0165778476531285,0.00238010237713518,0.01426176966969
"75+",0.343276054048725,0.454273490208513,0.601281114386947,0.58006593708409,0.210727258697122,0.166707974706391,0.211913460273651,0.433306365137692,0.461249746679699,0.35667231887786,0.353948466772456,0.179784945823729,0.0759461171421435,0.139603406023694,0.0268095740451923,0.00371563162336556
