"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.5837520642517,0.85127171604601,0.445750299793284,0.279766474530173,0.435781650358211,0.603220268743607,0.638878759071671,0.499293768743802,0.320440306753354,0.185424783386613,0.217769516381092,0.156829789859164,0.0934275970954917,0.0740806304848664,0.0431103305840359,0.0156862836675811
"5-9",0.926904736904094,4.33500885758868,1.62567043365716,0.38314447382542,0.298992063573188,0.537829622835858,0.601772738115582,0.608802358748332,0.488110374014079,0.191590556118752,0.149071975020739,0.1332424705405,0.111051259512324,0.0763637184571885,0.0335999896224586,0.0191886074602219
"10-14",0.305586086747507,2.01725342779139,7.30143480038638,0.96966148687267,0.590953682027298,0.452985035128664,0.47921895446726,0.521878998829963,0.571191498111164,0.296446274126191,0.18923932910514,0.101506144719563,0.0639251596321294,0.0609330762040195,0.0401359146913129,0.0267116638573616
"15-19",0.141762698211741,0.55410203716994,2.63821890879164,6.72237930877285,1.49954927708047,0.635719520084028,0.368971158538748,0.402336392880695,0.390524501305059,0.283741983901024,0.124472115081053,0.0533176521996748,0.0350694072679819,0.0294216643814307,0.0162795597996716,0.00835962511765378
"20-24",0.185438139781943,0.293272026832092,0.44740972280821,2.44795321690001,3.64764268998845,1.30692083621947,0.709756943836401,0.429367431663999,0.316482332451643,0.301527013236822,0.177936479526281,0.101649926711689,0.036698594371786,0.025987967768079,0.0264057929230053,0.0160895829797692
"25-29",0.2905326064198,0.187531321418744,0.172756186748925,0.573816512247615,1.47709764775495,1.70848721289813,0.890311600926732,0.542954744336617,0.344090256734292,0.254513285114899,0.209052906110227,0.0966906548967939,0.034183473258927,0.0234799464655784,0.0136515133064347,0.00532263650954262
"30-34",0.268964058881725,0.237369943432087,0.368950420181079,0.249883108049417,0.609620579572737,0.812361308227638,0.933725359104531,0.607146408901166,0.362127807528768,0.226037204422238,0.222784927475917,0.138698359909074,0.0569658476592388,0.0383218124239953,0.017924472359228,0.0128835586220375
"35-39",0.222294080612646,0.325349805801915,0.250767997320855,0.157707111848271,0.346162136910035,0.550696840208294,0.631619781218368,0.700833660408013,0.463159862056797,0.242854804341563,0.160868324104965,0.109979203357518,0.08474913212222,0.0547021191516933,0.0299356898611269,0.00916367885171182
"40-44",0.144219667739948,0.232380707479225,0.372537738003067,0.203261367102236,0.336194466994414,0.365900262497532,0.462842093293495,0.455490544082196,0.468252964529866,0.232965073888574,0.155330331148126,0.0630270895023658,0.0535702988394138,0.03510976527978,0.0248142172503751,0.00810456605015046
"45-49",0.0355973155865635,0.0726610229533066,0.0968532671651894,0.156898753510291,0.19872845684446,0.223599157317846,0.251304736664895,0.25566957572791,0.232488438830237,0.194677011971201,0.147205289458086,0.0581364945089327,0.0370997948866847,0.0226808161821367,0.018779130415595,0.0112173247238359
"50-54",0.0550176209999085,0.128222347684429,0.148943342518283,0.188065894188758,0.316480801885561,0.364139294125216,0.24456484782574,0.216055244060871,0.231722289469982,0.21147645521276,0.161427691913338,0.110333060280824,0.0601624199285798,0.0306851283092213,0.0187885350845194,0.00979855131311237
"55-59",0.064608541020103,0.0713896626714584,0.0785852523241049,0.0792207958385434,0.182808213610813,0.279303368094153,0.265257038729472,0.200444989345712,0.18568203273835,0.106912546523262,0.152458447400694,0.122794286444736,0.0713370226549886,0.0371791590073453,0.0191430626714454,0.00804105753177671
"60-64",0.0389633847404325,0.0529097855797062,0.0465936986653361,0.0628779087504301,0.122116028255247,0.170336070906426,0.161111690540807,0.175866509966574,0.143741108734637,0.0950964956230738,0.0836257814924493,0.0894078579727649,0.0697698203313582,0.0474999134869166,0.0309494394855405,0.0100469476433416
"65-69",0.0345821909679399,0.0567776989320599,0.0369171180270378,0.0330111242752242,0.0887969339914539,0.125710441201145,0.145840228332695,0.119035696690203,0.107392755022,0.0697639633407214,0.0749200555779859,0.0699900863481288,0.0595546735106876,0.0484430358694791,0.0238442821227494,0.0110060424568417
"70-74",0.0120367876750099,0.031690794343787,0.0467155330574879,0.074052849768386,0.0632736988756824,0.0836325737306247,0.078942183533114,0.100071576143356,0.111056050976458,0.0683872850504504,0.0543466839351171,0.0468241265605692,0.0691409394434346,0.0581769022599341,0.049816595085786,0.0140493170228043
"75+",0.0143666658544673,0.0181523012625008,0.0274317291780265,0.0128727457666026,0.0259600044746921,0.0314206227240398,0.0546746452825607,0.0399682932270121,0.03613768574207,0.0366153826606422,0.0259487210853669,0.0216035747612163,0.0183442696752727,0.0228339857512838,0.0184760673475959,0.00969688282505042
