"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.562795133660618,0.214245061255312,0.110495803417154,0.10022273287339,0.215889600728701,0.338892085854833,0.37316990693612,0.311582639724954,0.209666194381381,0.168824713032665,0.23811983056874,0.194992183088584,0.128973154729931,0.0835956281308709,0.0846997104594684,0.0368814153278231
"5-9",0.233280113026947,0.772702078563862,0.285407987450637,0.0972103736952241,0.104906384637216,0.213997990764888,0.248943132439724,0.269074727143526,0.226192805634776,0.123544044172758,0.115444689349914,0.117330465453327,0.108574317532585,0.0610302907754581,0.0467540451234461,0.0319529124037075
"10-14",0.0757508860542079,0.354155571193256,1.26256385479347,0.24231579162016,0.204224211184132,0.17752534135609,0.195259940534003,0.227184097037622,0.260707790315315,0.188280453901551,0.144344712022123,0.0880383662754888,0.0615583492788183,0.0479648399886484,0.0550078585139449,0.043810625691984
"15-19",0.0507846590916451,0.14058526163976,0.659283793370941,2.42773352578051,0.748912288641734,0.360046405167263,0.217264122573444,0.253112652725774,0.257594740398423,0.260434953879402,0.137207540249822,0.0668293273001031,0.0488045149225004,0.0334698344139626,0.0322441298246218,0.0198144374912866
"20-24",0.0918674889695075,0.102899413725249,0.15461769762253,1.22256885730745,2.5192700168337,1.02360978152642,0.577959570004642,0.373547513457922,0.288689101306759,0.382731414034621,0.271245858726339,0.176195720189006,0.0706273998988357,0.040883762732719,0.0723268298479267,0.0527390067744475
"25-29",0.16322263375453,0.0746171729580309,0.0677033425955636,0.324986988653523,1.15689608628883,1.51746818767909,0.822152835146908,0.535677123791905,0.35593935607858,0.36635410143207,0.361390763759458,0.19006209159977,0.0746040995592325,0.0418888424565067,0.0424036978025094,0.0197850286930474
"30-34",0.157102253591741,0.0981959027423976,0.150330525186843,0.147140590693569,0.496417895021049,0.750170111259696,0.896462947917322,0.622781297927493,0.389464766076997,0.338277562503999,0.400414050860855,0.283455567745577,0.129259875485343,0.0710804161227648,0.0578857917857871,0.0497907166915885
"35-39",0.138721892337615,0.143796108809983,0.109164195464844,0.0992146525643109,0.301159324066326,0.543315446675938,0.647884894610137,0.76804386675667,0.532189321707282,0.388301354943846,0.308903609035706,0.240133735765012,0.205453417630452,0.108401929715094,0.103286559225773,0.0378365336045548
"40-44",0.0943638744961528,0.107686390206908,0.170036652865137,0.134073685304648,0.306670131596531,0.378500411660669,0.497781953905371,0.523376966697211,0.564130970962028,0.390550493019843,0.31273240187817,0.144289267139651,0.136165268540076,0.0729499427858382,0.0897675323292178,0.0350861256550265
"45-49",0.0324104819154865,0.0468542751335671,0.0615139358976985,0.144010833618623,0.252248123577771,0.32185537318088,0.376091864974182,0.408790935564272,0.389751445961342,0.454138176568977,0.412407917174003,0.1852006824048,0.131220217284942,0.0655756606404704,0.0945325016151279,0.0675743546509414
"50-54",0.0601589552500418,0.0992982691353375,0.113608434277789,0.207307947886319,0.482442426119654,0.629489348257875,0.43955936573249,0.414874991784871,0.466535206736602,0.592468957784756,0.543140082738754,0.422113890689904,0.255555233378764,0.106547233497589,0.113587052809389,0.0708899588488349
"55-59",0.0803301494632595,0.0628642077546303,0.068158605048743,0.0992968046350128,0.316872091260632,0.549018748373329,0.542101467968793,0.437660963505,0.425085858102515,0.340582567645195,0.583277833833764,0.534185754545568,0.344559814339284,0.146792531026593,0.131594426322585,0.0661494420174139
"60-64",0.0537874333190156,0.0517296596665298,0.0448685805892172,0.0875043542212277,0.235015474278535,0.371751843242344,0.365574777068384,0.426345080056567,0.365361909400061,0.336351800779763,0.355221849971368,0.431842454268936,0.374156033221673,0.20822492690813,0.236218748791078,0.0917661808732569
"65-69",0.0390239656059251,0.0453770395862492,0.02906013891503,0.0375531733686634,0.139693600249831,0.224270735639558,0.270508711921884,0.235890298699685,0.223137217581465,0.201704292659824,0.260143108247038,0.276338201189054,0.261069265783319,0.173590519737702,0.148764936135685,0.0821740049829034
"70-74",0.023648912386512,0.0440974192372041,0.0640254857175587,0.146672866539255,0.173309927324446,0.259775623648106,0.254938092878403,0.345275115559275,0.40175466934117,0.344255617348355,0.328555666015685,0.321881309096134,0.527711857696105,0.362966815470355,0.54114300143186,0.182633381295204
"75+",0.0337787446334235,0.0302272529868976,0.0449916270854533,0.0305116811751432,0.0850926250591434,0.116795111038301,0.211299521610478,0.165027790069056,0.156446548153506,0.220574951203166,0.187732217869792,0.177720954039759,0.167551740963286,0.170484537585908,0.240178696747483,0.150849556205504
