"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.596118902168588,0.559448868157213,0.302050690781735,0.151420213824686,0.255629680224851,0.420650993278181,0.54441806060797,0.500460169051323,0.238573408804942,0.086319364030445,0.0862566332442866,0.0685886475269231,0.0471234394375339,0.0209361802301188,0.00765717353048867,0.00998035432763739
"5-9",0.406449546908409,0.981738942949951,0.581684162807634,0.225743535644592,0.084143213801685,0.29023319941203,0.554441386675536,0.638929664217174,0.491995531702144,0.173694843179777,0.0788148624060037,0.0732870470235182,0.0444874268196063,0.0241047700910178,0.0103492087075898,0.010060557937877
"10-14",0.249061850365235,0.649973323315298,1.56643624814073,0.530318140144471,0.109802335546619,0.0890421929836322,0.223644764707833,0.499324363589728,0.619668404645438,0.28663927276062,0.108474905454809,0.0407950775500608,0.0248454573701108,0.0252597493448654,0.0176619484154187,0.010084218804333
"15-19",0.129273130172842,0.231291231565957,0.555828097494906,1.21347301279185,0.286240015488183,0.0942254077774048,0.0585961648509479,0.251968736240498,0.427750144095916,0.448629769089298,0.239305246384076,0.0734825198884731,0.0308319698719548,0.019338169113095,0.00933619452261226,0.00740989981133739
"20-24",0.270819933222825,0.149070277426279,0.161691746183834,0.555303784609651,1.19392512445824,0.369856036958851,0.0901199805748147,0.0458013024436534,0.170212020270065,0.429687346013196,0.291591306048086,0.146111749308852,0.0344927655799215,0.00973361948500598,0.00787646789788862,0.00807500088730902
"25-29",0.652502486106268,0.280194500482257,0.104730917856079,0.178519818544918,0.426574935242655,1.05041977999919,0.296037934343571,0.0663983577061313,0.0357559266402808,0.118330920341714,0.268462864984185,0.171830933727948,0.0790742525011554,0.0230043950880713,0.0036621789199121,0.00989107131881515
"30-34",0.763976692774473,0.854799327286877,0.45881226453755,0.102290818567369,0.142613368504647,0.361765589792295,0.870262062894675,0.305231110342715,0.10943061120472,0.0414432572416537,0.0731771159085801,0.105296742877868,0.0937591898281387,0.0230225650236988,0.0119128529773229,0.00705897345522012
"35-39",0.661450563063159,1.02789019639463,0.873216559923538,0.378774914329277,0.0725528769578148,0.0875037102174521,0.235991455927052,0.825757048343705,0.216198045054509,0.0646452904570514,0.0432013400015183,0.0408975070692855,0.0639701492545622,0.0412595787994085,0.0184326018224287,0.00577126946960352
"40-44",0.38398138190742,0.719587621860639,0.871281827818004,0.6085484384855,0.179020937588649,0.0693071185655025,0.128084855550471,0.224580150246876,0.595867357913493,0.172019112376224,0.0597467443415174,0.0168664373452321,0.0412950260586226,0.0428681302933228,0.0164707392611487,0.011157055354671
"45-49",0.196950725475388,0.393540060669568,0.544971735178648,0.662984146993581,0.37122685788319,0.124868590285345,0.0522345256738568,0.114589102660956,0.163472509633115,0.462409296896012,0.145097151324141,0.0399076214582053,0.0210821887635832,0.0157142524626342,0.0132831635640593,0.0194634362867954
"50-54",0.270664086733307,0.239142044266059,0.367874961381381,0.413113373113896,0.378178658852063,0.253126186752606,0.117041606151223,0.0606901141131978,0.0931319460898229,0.151259047894046,0.364444522965669,0.132275111029289,0.0319606830617279,0.0118028490704187,0.0114442203014936,0.0214051884698998
"55-59",0.407567079885055,0.415551341986827,0.263514414028435,0.32028292897736,0.275145765078336,0.325103802575471,0.250113024490854,0.0971233088286887,0.0541063234266997,0.116114742573003,0.170835151033319,0.311494936858433,0.104069061488425,0.0407009379893064,0.00888747833495112,0.0161625166791019
"60-64",0.302604808681114,0.294861339433574,0.19046222951924,0.168051620274547,0.114098941267624,0.1518017806565,0.181213023460942,0.141891653793047,0.069532728722847,0.0384923056295612,0.0651010177859732,0.104738259818669,0.190158100125959,0.0596940143490575,0.014089233362841,0.00345942519227727
"65-69",0.1654581356789,0.248159103054404,0.21725948241651,0.107966171692869,0.079706537421177,0.0858667618828463,0.138722906186481,0.166889689392044,0.127661732962801,0.0433848467929541,0.0429808453224874,0.0551864786792325,0.0624934118688143,0.140788193739875,0.0292434257317233,0.00629232464024332
"70-74",0.0752133392348205,0.228146265519884,0.194564502567346,0.145834544697075,0.0296927228663889,0.0660415952341417,0.0566724761697187,0.125082947780357,0.112594597221134,0.0897020821588341,0.0556835823504817,0.0327341528150384,0.0491220293178617,0.0478348977723274,0.0918423624035021,0.0313512853211722
"75+",0.123468779297459,0.167797655850009,0.257289591284778,0.208003859460571,0.052058782873736,0.0457581052828645,0.0556100979183396,0.121919768770738,0.132577520465277,0.122457018935638,0.127252333477591,0.0597209388154357,0.0244859087193408,0.0436154464525037,0.0321555924095205,0.0568386846598919
