"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.495480178763475,1.15542316151159,0.82193233873605,0.346850197415978,0.460660577841682,0.59362268801119,0.500194534621277,0.461191605237291,0.265638997568737,0.166185041879269,0.18686760473613,0.190807462726218,0.123528967920947,0.0650345208272174,0.0181562060195601,0.0147625030356608
"5-9",0.75855463237124,0.928137924826349,1.0833283199995,0.43401238351188,0.207995443459837,0.507505079952258,0.540289744082314,0.49427166463755,0.365895356714305,0.227098698977572,0.188496310500059,0.212391687616736,0.158490690367005,0.0777405755551697,0.0297429779150166,0.0159884419636621
"10-14",0.550597732776221,1.12209698836517,1.17303484392971,0.524689219316282,0.193673449564643,0.215236474173545,0.271848739814914,0.341309094306335,0.280147430823809,0.19167644001215,0.134316673838953,0.0839847160834755,0.0735866513303192,0.0653639129283248,0.0349361795172869,0.011798387637818
"15-19",0.347047443809329,0.600154935150616,0.833181000798699,0.706474223103265,0.33035010320057,0.201201002482462,0.129057554468954,0.270571728634992,0.228365884075204,0.216135981779004,0.177830471533718,0.0895411385817136,0.0711137526816985,0.041149565839852,0.0183304552567402,0.00897818657395756
"20-24",0.52815949273942,0.430948121488797,0.380089450245946,0.566909186204457,0.430729746087596,0.42643007554742,0.174180916075873,0.101612497038932,0.138630583796411,0.182922841240325,0.149362026728573,0.106535361556688,0.0473555670037138,0.0203307794871187,0.0106374841545098,0.00697836983276214
"25-29",0.704339357909912,0.397688119911437,0.216681337632936,0.223139891461701,0.326077057075223,0.289960580924822,0.211016510554146,0.0977635824718659,0.0505588215722534,0.0874724825982159,0.126031062960653,0.0814362510956045,0.0496728339976894,0.0220323595043754,0.00410989887553183,0.00587258128625797
"30-34",0.72064394837432,0.946557489547277,0.619108666518975,0.157767484386329,0.217479600481579,0.342164210429326,0.164391203160568,0.197832268437838,0.116606823724818,0.0761803977899587,0.0841532857845309,0.092669760536037,0.0728096344494207,0.0228422042394764,0.0103570156368996,0.00540872431999127
"35-39",0.57654426855531,0.824346725935939,0.633662710870018,0.265546427056128,0.0919743385496344,0.116785393261361,0.135916440988395,0.152937037450911,0.105219796543483,0.0572808536041305,0.0593922142922889,0.0450005092266232,0.0583233491695283,0.0338583639578468,0.0120014164537655,0.00446475213597596
"40-44",0.55576238959051,0.88608184570939,0.775425886135474,0.39419796330252,0.166513100651672,0.125734612703106,0.164039386838296,0.178176847101402,0.0994374504273684,0.0944368480245858,0.0623927028457677,0.0308279003449952,0.0810334134342823,0.0546288859087857,0.0167024549297735,0.00924479583459158
"45-49",0.348034230744648,0.648479374749863,0.643891943734426,0.446403101476731,0.249404619046098,0.155625336801633,0.10074873710216,0.149398316894125,0.0944502534259252,0.0939304133366109,0.113054974070372,0.0633966843566517,0.0486902952084582,0.0322417427987927,0.0179509152435146,0.0174769640910333
"50-54",0.486055426204491,0.489279821260792,0.583353649025586,0.346335012842256,0.266898050811438,0.221398305149447,0.14555727793459,0.103609409613611,0.0865949726239832,0.105261976867652,0.087673846474998,0.113800985327848,0.0549662937067827,0.0273445440376039,0.0215666206767838,0.0177953875970566
"55-59",1.14900343107994,1.29983661026502,0.720733101464314,0.506209769987761,0.361097185362599,0.473086699126845,0.426322165459314,0.211301479597634,0.131738047600749,0.25924394510735,0.248747021240991,0.114530324373041,0.137083305345428,0.092200142770143,0.0230782256542407,0.0339566449991385
"60-64",0.728870756508425,0.815580782152313,0.513733192467242,0.298813047594574,0.168979151729856,0.192689773091099,0.211897567486631,0.208730345835014,0.145167228647871,0.0942186596451381,0.138845016464669,0.108984503711455,0.0488185001564096,0.0627640891501258,0.0218557613187063,0.00512775029108818
"65-69",0.527347724609412,0.839986226899032,0.678944263542416,0.232702634947407,0.174431193426865,0.16966258391776,0.244057576066402,0.29296628155527,0.230801976419448,0.123838727506759,0.156786945910271,0.129278591123103,0.0878162039942376,0.0418585020286409,0.0353423661804758,0.0110847614436745
"70-74",0.226554279835183,0.755311554301243,0.595418322838747,0.325474531923677,0.0595323870185956,0.151035291251723,0.0951889897842773,0.196978803405286,0.17981936440011,0.184761191953588,0.183429674807971,0.0980257115990151,0.108570710848772,0.0595513563549818,0.023571580828113,0.0314732866044593
"75+",0.291560444837603,0.413014457366216,0.537367047049829,0.338111877261735,0.078132055273837,0.0795590803254859,0.0938865073245512,0.20358061454203,0.168081199178743,0.182702774737478,0.206075827510588,0.139412828208957,0.0517869138620221,0.0783868905552636,0.034576834833402,0.0173736642002089
