"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.340028203444674,0.087559592091309,0.0150526152866581,0.013917337279662,0.00734290574523937,0.0293575414720533,0.0515508917922747,0.0370444399976851,0.0168637868338955,0.019222421235691,0.010676199714989,0.00809741488457767,0.00137744819246576,0.000809722640725097,8.23731141559577e-66,6.37980003316857e-120
"5-9",0.109562752213789,7.59690846104052,0.382957903229257,0.0323044200268234,0.0438712479334588,0.106430464045453,0.120115921286343,0.0997988905515553,0.0844992161222922,0.0493931588765228,0.0389797400832,0.0116909640134557,0.00549025485667834,0.00180670026572671,0.000347295058588425,8.08447373029267e-39
"10-14",0.00087164952101968,1.4867586597315,7.82459219703553,0.185239059476789,0.0256855256835995,0.075830280384891,0.0669827078995356,0.0940843972318184,0.0860563258316341,0.0556800502981254,0.0367404302557766,0.0179970838602858,0.00554258056146829,0.000898117167908887,4.93388636931831e-25,0.000182008839465847
"15-19",0.00446313611449735,0.0485743992293223,1.856320556767,4.87451496419254,0.0823985307445514,0.0671056961141997,0.0654395172157489,0.0816313008919289,0.060647981940216,0.0596062742297694,0.0312709205779824,0.0184242311965043,0.00515185540213097,0.00118619412936433,6.20155406194086e-33,1.70477355878046e-70
"20-24",0.00986979102948574,0.0350784084446464,0.0127292946775522,0.842716384455371,0.542908462348402,0.0571009164147607,0.0341426246157312,0.037909836411445,0.022092649689015,0.0237267592545478,0.0121919176157476,0.00855210404924619,0.000735196352408725,0.00140293186740219,0.000177118736392364,1.21921274094579e-47
"25-29",0.00947342885488489,0.148327459879804,0.0425509679881645,0.171605422774521,0.316282899239248,0.172154424105007,0.026882835812411,0.0323510456708918,0.0352826670540776,0.0272153609714032,0.00692737262481575,0.0112781397499432,0.00431797775629126,0.00263406574113594,0.00046291805371321,0.00128544790929291
"30-34",0.0181602026423374,0.428927263745014,0.26012649629037,0.130213940515932,0.0514424124308884,0.0841434858041466,0.0689090256385029,0.0438067371520238,0.044185380619464,0.0205248657019989,0.0165154591475394,0.00254464955665004,0.00527192337164828,0.000474324903550353,1.65355873717488e-48,3.11051509787043e-55
"35-39",0.0298142931575045,0.222603731782499,0.149983627871143,0.0602513178873788,0.0182958474867082,0.0492124099889212,0.0623727067656394,0.0430428124414713,0.0447740272029665,0.0193483078690064,0.00285275329509157,0.00679903840479175,0.000534169993445818,0.00217822774685445,1.84337289184445e-123,9.69151366863581e-67
"40-44",0.00936585484940895,0.111916852546412,0.0819855030492907,0.262944969727568,0.00804351265420089,0.0226257468044165,0.020360685730956,0.0256405312973329,0.0518901702431128,0.0168912622975477,0.0188954836205458,0.00546507365750327,0.00518884863951397,0.000492092743268802,4.8096901691163e-68,2.40132122415265e-92
"45-49",0.0756104357254869,0.207168291757264,0.12453249238253,0.357494134891164,0.00509660508416289,0.0248053542254427,0.0444145369787707,0.0361567374288284,0.0321866379579005,0.0179294245553539,0.0223453411094665,0.010777879809826,0.00300846305291202,0.00170099026367692,6.20609311250037e-134,3.27169837139508e-72
"50-54",0.0194611709404298,0.319493568826569,0.372626302419555,0.323808883902088,0.00494714293478665,0.0122948531563688,0.0321421079910176,0.0301240143764881,0.0360812195392493,0.0461565290241313,0.0238106368709886,0.0133749085331828,0.00428535462598981,8.99563623500206e-24,1.23751002509492e-117,5.64093709771131e-78
"55-59",0.0671318890122708,0.288379005211158,0.234669423876275,0.220682618735328,0.00562560605587994,0.0470659985291067,0.017366290495388,0.0279846688342222,0.0342500937599482,0.0235755304667379,0.0210445142027889,0.0247083433340202,0.00856975126914581,1.14740022939314e-31,0.000781765628920166,0.00076231401445595
"60-64",0.0390771701960648,0.0686647206878516,0.0330336116778072,0.131209179931564,0.0133370706615092,0.00171014134033505,0.0150642171722729,0.0404848006428233,0.00868234703744573,0.0131891135584403,0.0104950244342974,0.00556866277959553,0.0204979269590013,0.011344363408528,4.42230176646433e-67,2.12049974162924e-37
"65-69",0.00174533247510025,0.0352805348902856,0.0130751548803875,8.37329118055443e-32,0.00220126699112552,0.0021017501735495,0.0131772073207817,0.00563329404295441,0.00557295233270531,0.00874653625692296,0.00197249566492528,0.0151004832169754,0.00829086556536057,0.017750688597261,0.011124050044375,3.45691813532582e-126
"70-74",1.28107456514356e-28,5.10832969915768e-26,1.92880045162858e-40,0.00759228333551959,2.63519309654315e-22,1.696761425664e-24,1.25810743121296e-26,0.00761733835936021,0.00784581600588927,0.0211411225566136,0.0351985715098209,0.0214306965075449,0.00773830327623339,0.00801338970611198,0.00791284673294828,0.0213825732660222
"75+",2.81679251234461e-94,0.0211167700058823,8.45888031620248e-42,0.0212302812589976,4.896560910088e-36,0.00758922745285785,9.76813807266619e-69,2.23015338105528e-60,1.43656570670565e-48,8.55681480088586e-60,4.69328734544954e-42,1.59789872856023e-46,2.20959115971567e-83,8.85858011806449e-107,1.02042776419399e-80,6.61413722235441e-113
