"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.549558501465682,1.12282278491564,0.777322781613224,0.342078414453216,0.468757214643648,0.620482985909874,0.568114080602939,0.517508705399256,0.287938321466359,0.163747006992661,0.178418878090754,0.176117191333699,0.114979025221861,0.0597891240977226,0.0174140912345572,0.01495766563706
"5-9",0.655680845054197,0.860881534124489,0.931285400905472,0.381225694947184,0.174552450492468,0.443672885681306,0.525542796815335,0.497829797610086,0.372442043314917,0.207334256744406,0.155822267474838,0.171331485663217,0.126207084780269,0.0628179139350273,0.0248774072585768,0.0139548418346426
"10-14",0.510805478193097,1.05753087633363,1.21179991506677,0.542280776698389,0.184837312926092,0.196800178839189,0.272904854406258,0.375855505997344,0.335718158514053,0.211174844435425,0.131612985746985,0.0772128624436976,0.0657326542054308,0.0592658624292293,0.0330749105949343,0.0117788632233779
"15-19",0.334211904108073,0.577457212882789,0.840277170671249,0.805806932600322,0.345497978549603,0.197385380990755,0.125377836916142,0.283881482374016,0.27318614871421,0.263261570106753,0.197023174547623,0.0919202357411873,0.0690147844113973,0.0402609010096642,0.0183850521928167,0.00932355125791773
"20-24",0.532140695431877,0.418390123695266,0.375056729694045,0.605949588595362,0.528809927705467,0.449253621767707,0.17420173982229,0.099988560266785,0.15181940880876,0.221532902547333,0.173515252680037,0.116657260702037,0.0483850663822443,0.0201870460522063,0.0111520619014337,0.0075165315700806
"25-29",0.722065566992614,0.395070814666829,0.208757155957083,0.228077553095768,0.349732134985559,0.358744861657295,0.227018850290727,0.0963175691536519,0.050164744623402,0.0924177939065195,0.139571459251162,0.0895995677448107,0.0530113326123842,0.0225244635411045,0.00422339821591356,0.00631797164346176
"30-34",0.737154467340159,0.952338224661568,0.612322800361064,0.15474233508548,0.213074264385912,0.348963522656361,0.217349569764062,0.210329298056554,0.117903979782106,0.0728274267722064,0.082224885708022,0.0923555087635839,0.0741740322427613,0.0225452116205732,0.0106468057599615,0.00544632157575705
"35-39",0.565603941970444,0.81359486530661,0.638158437861295,0.269916461644256,0.0867944164618436,0.109319394039628,0.141750856124791,0.186498601316634,0.110913264257482,0.0561040165039557,0.0549271641517124,0.0420601479367718,0.0557851309534098,0.0325673245211705,0.0122085460930256,0.00432413418602129
"40-44",0.527761752963879,0.842555870721367,0.76164083417043,0.407321332186735,0.16229034387926,0.114482271238727,0.155685775214776,0.175736765881487,0.125246769682099,0.0987497532082315,0.0605871042443137,0.0280208323013071,0.0728276902881219,0.0500623746411791,0.0163215153661857,0.0090372486573059
"45-49",0.33063753305458,0.623726831014397,0.638041251184305,0.472046152313829,0.259583186401331,0.150519853811885,0.0942461448250259,0.145086551712002,0.101734992477921,0.114792674816547,0.1146968213044,0.0598398729567668,0.0454243191163746,0.0299336405583997,0.0174068628495915,0.01705042399622
"50-54",0.442070154215451,0.445566060111884,0.545160885697215,0.346563960732336,0.268723698928429,0.211967983818576,0.13568628914552,0.0947709337819476,0.0864740765222651,0.105987357011351,0.098941020567126,0.107616049594884,0.0507082979502449,0.0247343384681387,0.0200781513699267,0.0174682531835688
"55-59",0.856654715726592,0.973636574862363,0.547031036248867,0.40206232098262,0.289103773370518,0.367230477799577,0.327508715342937,0.160360751668716,0.100979166729236,0.198749628011243,0.192205891441458,0.100692776155338,0.108602162013761,0.071243263038966,0.0179379628180989,0.0256374154287952
"60-64",0.608493631451478,0.683799681713504,0.433042629816277,0.267437624971583,0.151682871425847,0.173643869658152,0.192544344498497,0.184633466404147,0.124996705976017,0.0810019066871144,0.1199914334382,0.0995560723687029,0.0548277017106785,0.0573216602383604,0.0198959189854247,0.00464578059285902
"65-69",0.455177419970194,0.726958727246881,0.59048048362821,0.213278304777685,0.158291631739218,0.154895109318648,0.220353779579379,0.26537750639312,0.209914502345801,0.109395046088301,0.136316848009586,0.116947017716039,0.0818365224775834,0.0495075555552347,0.0336156296406407,0.0101441270339924
"70-74",0.194196060297353,0.645086413745664,0.520116734130861,0.294315311481186,0.0544672583328857,0.1361026672013,0.0875415220405101,0.182491999813517,0.172972454516984,0.166984130116819,0.160986920436624,0.0865616884032578,0.0977106050833667,0.0550232911021397,0.0309164836486627,0.0304320464002612
"75+",0.220661855398087,0.314242332615879,0.415691531477793,0.269049025803243,0.0635829122611973,0.0626237761613872,0.0753218120379799,0.16393921728263,0.143132130355412,0.149134735322286,0.17021160986371,0.106841364703533,0.0420363142241697,0.06329436839465,0.0295030854738766,0.017785186972233
