"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.166497042074482,0.0298295552791899,0.0332096231993621,0.00958047772205924,0.0790722401629062,0.0224399057809962,0.0783627782191602,0.0463045030427236,0.0181554575150481,4.14168713374951e-08,3.11894948273477e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.0531667808169542,0.753936178010486,0.629910857842034,0.361196119105678,0.340042966859259,0.314763181203456,0.348872552659259,0.279772819559559,0.162683613082408,0.0715022349206265,0.0103918183422445,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0725496581366664,0.424554497350963,0.856833145063441,0.818749835748457,0.690083288478139,0.757135431584239,0.568742837626843,0.463336204468766,0.350307325180775,0.149072971790973,0.0298398864472743,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0930282015890597,0.372068772081067,0.813015100861099,1.36506686752905,0.986437254503655,0.959043956948954,0.881491035878761,0.628640783170823,0.511678603184529,0.21895802719288,0.039684150556868,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.106445510901637,0.203053648539739,0.568901949528069,0.935229055284697,1.23596863591076,1.07936874909743,0.962375920833066,0.799219894560658,0.477355952887599,0.257973093116792,0.0375250923747191,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.0651841411044636,0.403304161653587,0.46993552807698,0.874728096859253,0.94591885791959,1.30160106026067,1.2598273440885,0.886806704076571,0.639370852709238,0.235639452105277,0.026482369015418,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.073284380740014,0.250601196605002,0.55031383596504,0.860723109509684,1.02522844454986,1.09255087618342,1.33171094070065,1.08841966791415,0.774616669440744,0.248915364913852,0.0386337491520599,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.099458020010617,0.318630428117135,0.381513871872194,0.658150040109606,0.852173916333324,0.932953978968613,0.960279125065648,0.953321440489605,0.608047374386594,0.286573540106506,0.0313007078828191,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.104489981265358,0.231573910004844,0.308560021750488,0.644297885168797,0.758447603584905,0.786476037982463,1.05955604184007,1.03958634135897,0.7820464300249,0.351410273686272,0.0363476497355413,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.153604988866448,0.148467399620474,0.198353235672373,0.363770275616208,0.510771211236618,0.47957539886285,0.609967625034043,0.489443616495639,0.44932040805295,0.260411894569324,0.0327127554804115,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.0332653946071648,0.012914978590867,0.0505765693071071,0.0898810834036074,0.0999883667789,0.117670873346564,0.126585955512311,0.125729947595966,0.0951227756243204,0.0680083600894465,0.007198422960406,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
