"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.5696672461583,0.256487186824945,0.0484350336545884,0.0569669812058863,0.015730834196117,0.076819239422832,0.137774890529832,0.0997816635096305,0.0474423941104181,0.0562264131847188,0.0292981216566466,0.0193479941832852,0.00260219955441871,0.00103424886696716,8.25234138991084e-66,6.38837639328061e-120
"5-9",0.320940760742793,2.75079796587704,0.161123363388537,0.0194065917986292,0.0191575141318701,0.0601360736608866,0.0780308453812164,0.0728012547686688,0.0719255751327874,0.051131519730366,0.0423688219573751,0.0130419700745074,0.00531310434081482,0.00147834689070982,0.000347194325256342,8.08640084011729e-39
"10-14",0.00280472018194834,0.625529735208432,3.82297666913155,0.129098087946746,0.0128314714480833,0.0490624362924098,0.0496618926172148,0.078060584938798,0.0830334022611298,0.0649694371492854,0.0447496081854099,0.0222588587514959,0.00588319366372141,0.000781914257207614,4.93457322772384e-25,0.000182099479248015
"15-19",0.0182686807141932,0.0291806364864122,1.29371977579538,4.84038436907333,0.0562821882871094,0.0596864333541052,0.0662023758656489,0.0917055651238919,0.0787013094082915,0.0924704916485186,0.0499576002609188,0.0291486509730905,0.0067951823698543,0.00118366799517357,6.20848519671397e-33,1.70669248874331e-70
"20-24",0.0211442243196194,0.0153178935443345,0.00635905152268466,0.575616115893979,0.303862736761575,0.0386512374246786,0.0258763398428907,0.0314593435849826,0.0205561115544835,0.0253659685824352,0.013418809197932,0.00948057283229573,0.000741013878293308,0.0012909211144847,0.000177113761619066,1.21938488101257e-47
"25-29",0.0247889149727111,0.0838090027443155,0.0275306137007987,0.152632581475705,0.214089829015455,0.1431629701043,0.0248944689523103,0.0326179414526895,0.0398040216596931,0.0351172796169513,0.00909418190596117,0.0145794762062011,0.00491388027008593,0.00256447546783184,0.000463076212818068,0.00128595885721459
"30-34",0.0485349495238519,0.278643802075894,0.192861329897865,0.131731904509044,0.0389876689733598,0.0779198820209075,0.0704609175012203,0.0483842070929424,0.0541355858402533,0.0284080869852206,0.0230611052609591,0.00345693774312401,0.00626973003172371,0.00047562956870863,1.65432634916263e-48,3.11194433637803e-55
"35-39",0.0803067820111599,0.162384881238558,0.124439440197688,0.0676870403380725,0.0151827442887363,0.0496184118465354,0.0688901789380734,0.050976849782695,0.0583557757601034,0.0281721713079627,0.00416078264111369,0.00955453059310554,0.000654815007955619,0.00223022751110605,1.84436941852149e-123,9.69630813203831e-67
"40-44",0.0263486832064035,0.0952634161102994,0.0791055763592733,0.341216851045143,0.00748408840664622,0.0255251598324295,0.0249457543355199,0.0334183272809987,0.0738581496780748,0.0265698805794827,0.0295193430095295,0.00812243413087069,0.00666540507345433,0.000517396133926625,4.81289474931438e-68,2.40268738510118e-92
"45-49",0.221163793470736,0.21445944819957,0.145308883407439,0.554600314178632,0.00544871396278764,0.0320075328505731,0.0614733391302208,0.0526461439252614,0.0506294385660342,0.0307082578239209,0.0376017381035205,0.0169927146668291,0.00406037967577755,0.00184020806914426,6.21099723050447e-134,3.2737894630492e-72
"50-54",0.0534062465123243,0.347271841865703,0.453856444161577,0.517308556445397,0.00544498160248835,0.0161405538819377,0.0448811340374032,0.0439363180524615,0.0563676440979323,0.0776701374855122,0.0392241973107217,0.0205978339491677,0.00569206424693078,9.70944365110924e-24,1.23840167642736e-117,5.64418970457981e-78
"55-59",0.160405193093933,0.321704040124611,0.290239996652099,0.349138075870659,0.0062363562968197,0.0608431550672761,0.0235923193882131,0.0393262044712179,0.050904003857181,0.0371698580248761,0.0324092989506818,0.0356694025764755,0.0108740420744468,1.22277165639823e-31,0.000782209503912403,0.000762658017479681
"60-64",0.073822446047946,0.0664491603889191,0.0350636554141895,0.173061981876513,0.0134426053986493,0.00194614939344859,0.0179153921920299,0.0496284991300265,0.0111530252688779,0.0178007200661404,0.0139401189789121,0.00706600127144218,0.023722954477641,0.0117119546514028,4.42372486763009e-67,2.12106190025645e-37
"65-69",0.00222929191313827,0.0288685788379258,0.011383425661461,8.35545931255168e-32,0.00202551677917478,0.00204622332518346,0.0132134521882684,0.00576777491283435,0.00585951333552595,0.00946239784010284,0.00212901400304843,0.0160924169288345,0.00855951436194165,0.0177484268406264,0.0111247180094635,3.45712677390627e-126
"70-74",1.28341204115221e-28,5.10684802223988e-26,1.92906896466347e-40,0.0076007688116613,2.6351190812892e-22,1.69734113575758e-24,1.25869146752468e-26,0.00762145628955043,0.00785104348327893,0.0211578284870399,0.0352239328018916,0.0214428645408966,0.00774079347002723,0.00801387088558735,0.00791285145054329,0.021382583880469
"75+",2.82057912427934e-94,0.0211218036464507,8.46309280979069e-42,0.0212541785224305,4.89725225319304e-36,0.0075922440667293,9.7726263965102e-69,2.2312566544069e-60,1.43738299843187e-48,8.56228385150875e-60,4.69599353032472e-42,1.59861979885911e-46,2.21017693707213e-83,8.85911476815116e-107,1.02042827074089e-80,6.61413984133956e-113
