"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",4.15231075655402,1.54254085984786,0.700420364488795,0.467021953824154,0.712490480930385,1.02575255870687,1.0869002272067,0.779756286310986,0.405084744359802,0.222500195722842,0.219427238091422,0.158306003705094,0.0996429147947559,0.0908817141562445,0.051132288875904,0.0190170041041086
"5-9",1.67959113748332,5.42905548631273,1.7654907486409,0.442048590986882,0.337859088499324,0.6320875267832,0.707570238827627,0.6571202993593,0.426464225129002,0.158892183565687,0.103813844344589,0.0929559770566871,0.0818578909386933,0.0647477566920081,0.0275434820042763,0.0160779736553171
"10-14",0.480176274388719,2.19075292918867,6.87606222583902,0.970121744472312,0.579065960364856,0.461652300626629,0.488618249744083,0.488469020627788,0.432757845253629,0.213193068015128,0.114279759027986,0.061408094946722,0.0408608626715148,0.044801175594952,0.0285306398610911,0.019408297596621
"15-19",0.236648413321914,0.639288940666125,2.63947116055035,7.14502268359083,1.56102493664364,0.688289591156691,0.399670986022039,0.400065432940884,0.314330126485137,0.21678298388477,0.0798554371039814,0.0342672153832061,0.0238143450270337,0.0229814829212361,0.0122940651384991,0.00645279413314242
"20-24",0.303186032012747,0.331395484160018,0.438409555086827,2.54830973127992,3.71903178109978,1.3858730129283,0.752988516525767,0.418156941556008,0.249491464514151,0.225629725761274,0.111806207562104,0.06398576515046,0.024407772515412,0.0198816137419506,0.0195308240040797,0.0121639407595931
"25-29",0.494039374776967,0.220397323087085,0.176061646357637,0.621267587570169,1.56633034744859,1.88426701038736,0.982374976329301,0.549959109037579,0.282120830098617,0.198078392271502,0.136619813451841,0.0633019889265048,0.0236456610819332,0.018682413109941,0.0105016781983419,0.00418516777907048
"30-34",0.457578362964779,0.27910188834856,0.3761869326551,0.270674349127682,0.646752807200237,0.896364171948649,1.03076333034692,0.615268590737375,0.297049756034385,0.175999372818653,0.145662524040939,0.0908466101179514,0.0394234279068455,0.0305060836314042,0.0137952265398685,0.0101350629261468
"35-39",0.347160765101344,0.35117137559157,0.234714173842469,0.156816944964121,0.337124080165601,0.557801081489396,0.640069358847736,0.651955232504275,0.348762473482759,0.173583883601987,0.096552621922716,0.0661271002526526,0.0538401904792792,0.0399738589144291,0.0211496524794643,0.00661746999143059
"40-44",0.182315351742126,0.203032067388919,0.28224969963137,0.163603489710058,0.265031065975245,0.300002931698292,0.379664659926329,0.342987425759777,0.285414070319773,0.134787472012415,0.0754650410683309,0.0306755368607705,0.0275480845744722,0.0207680566886443,0.0141909201182844,0.00473748552811762
"45-49",0.0427149464087766,0.0602601131864319,0.0696532457191414,0.119872919354883,0.148706567738127,0.174019055919957,0.195673434169525,0.182743421502605,0.134511703488347,0.106914658067606,0.0678854698508615,0.0268582448669903,0.0181093438567969,0.0127347516931474,0.0101941101327171,0.00622402445695372
"50-54",0.0554364303277605,0.0892941469525524,0.0899454113069456,0.120654205763395,0.19886039287302,0.237971542034632,0.159902796969227,0.129675623901061,0.112578991894532,0.0975248822740198,0.062511840097205,0.0428021204670013,0.0246596743050282,0.0144674029993026,0.00856441288844843,0.00456535656572073
"55-59",0.0652166909315761,0.0498046592685747,0.0475416601572562,0.050915146519616,0.115072620336002,0.182855920596498,0.173741800510809,0.120521384961457,0.090372188920992,0.0493920966190017,0.0591440572322333,0.0477213977477846,0.0292922272138914,0.0175605281030207,0.00874161091780532,0.00375319713244424
"60-64",0.0415554434289689,0.0390007594384158,0.0297826197615836,0.0426980759075501,0.0812178310685159,0.117826207190039,0.111497947945577,0.111726057346183,0.0739176802451736,0.0464189935301423,0.0342769545765499,0.0367124277545443,0.0302696527068335,0.0237046336708824,0.0149325940344883,0.00495478443255213
"65-69",0.0424252436011195,0.0481410375274758,0.0271433905888997,0.0257852369908984,0.0679324508496601,0.100024691205993,0.11609613222663,0.0869859562858938,0.0635247432295153,0.0391708456670816,0.0353232558082914,0.033057845068694,0.0297205113720618,0.0278081679369433,0.0132332743976532,0.00624341789874376
"70-74",0.0142765897685888,0.025978425395878,0.0332077656590834,0.0559235366279616,0.0467998624556145,0.0643358986292121,0.0607563382377906,0.0707008613572186,0.0635114753835406,0.0371235248945749,0.0247729500061902,0.021382069472568,0.0333593627876301,0.032287443473781,0.0267300116156527,0.00770528087644446
"75+",0.0174171874808951,0.0152096613621847,0.0199314863469399,0.00993647169473555,0.0196261119350315,0.024705909860127,0.043010707418652,0.0288627510106427,0.0211241122798352,0.0203163448318741,0.0120900692759149,0.0100835586020768,0.00904671797247951,0.0129530769936839,0.0101331109671917,0.00543592636091261
