"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",2.25829105500131,0.756050574431667,0.335219712936807,0.236760776657917,0.366032197898523,0.703717508190552,0.947807997510264,0.820540073158945,0.454686961053196,0.266824226130035,0.293710075506953,0.239461868548667,0.168509773010077,0.12399767873703,0.0969926277434631,0.053840126452509
"5-9",0.671355902058368,3.6360142826841,0.843323219872557,0.262045781257381,0.140432036293481,0.427577660750043,0.760861045528056,0.825997950206067,0.69469587672243,0.291021888537087,0.211156371309464,0.186046654452594,0.153309496670599,0.107752484689241,0.0632671955375069,0.0532931997889412
"10-14",0.188163499033238,1.36963479011887,7.80393935393531,0.817274225194587,0.263993573625133,0.274726599753375,0.438436087630124,0.771413270803388,0.979125596105106,0.496178473486465,0.292961585599467,0.159546135642022,0.0972399498740849,0.100789054102203,0.0870155178375353,0.077936482285425
"15-19",0.111425537391012,0.272308609629159,2.56918823505669,8.92830575756752,1.14549627477739,0.625985538306187,0.506947285996683,0.749586936390833,0.929562766741561,0.84438945255184,0.417193883078417,0.169598704264485,0.0787381812393408,0.0589974485940705,0.0421430343972081,0.0308594996785123
"20-24",0.18796804755498,0.145741901537991,0.227245700662092,1.90239653083107,3.63916020966993,1.68827090706695,1.12449241168035,0.97936927389546,0.850477684111117,0.964653810229315,0.64013335426832,0.308571642761155,0.0909801474854197,0.0521152731971524,0.069636333464868,0.0638478196431448
"25-29",0.470526956468299,0.265182456510655,0.161619277155446,0.741434412107323,1.96172120313533,3.650702786501,1.84505636368604,1.39679322187364,1.17301176091418,0.966164141191126,0.882761644337681,0.40857257291721,0.135754300322741,0.0681433282576917,0.0440403202539507,0.0327852238759834
"30-34",0.593604135557748,0.842848694264947,0.637094937589749,0.453058359199997,0.991597750146846,1.82861930934068,3.02089531114288,1.84031342744156,1.33872737256924,1.00695034433023,0.773044742740078,0.489026671862397,0.219785801128234,0.115221818648451,0.0741720630417656,0.0708982239032699
"35-39",0.547664659563048,0.861514961798183,0.820874556672529,0.689362115678915,0.672511804023091,1.34614949518039,1.68917584508072,2.82726825499203,1.78531684968363,1.09897974805025,0.734015121195644,0.38772216606707,0.274306720698821,0.185663514752495,0.132829143729819,0.052462364363286
"40-44",0.281906067816904,0.562027579494282,0.853066272291024,1.08641332967142,0.82875461137226,1.17044461909281,1.4651063913662,1.58909780312337,2.49765064920704,1.35960816424409,0.880764604106101,0.283881859759558,0.194754859913947,0.136287642405241,0.113093581536671,0.0555238717846942
"45-49",0.339219953197437,0.459421203919538,0.597964709529034,1.46641108376969,0.812536730436732,0.957297637997912,1.13171685206818,1.21410836106267,1.30452686811396,1.83028921084465,0.9285013418866,0.356352273680547,0.167473932542356,0.10588862396777,0.11564214431549,0.108746134855666
"50-54",0.276666407875736,0.590629715682168,0.965840639215935,1.25177965816925,0.936799806360787,1.2483973750027,1.08946978664069,0.994878097663544,1.29467147591983,1.44523134566516,1.6599725276955,0.717689825964694,0.307714315689225,0.154132238607772,0.129543568293563,0.117826003398822
"55-59",0.549249284533952,0.714903801405809,0.666962611628216,0.856119033062733,0.650862746192779,1.10510025983343,1.11594181887507,0.80813465911661,0.834191457105087,0.725047885185877,1.02384975858126,1.57506987743917,0.595736812738408,0.282111292177326,0.176412412861818,0.123780564010956
"60-64",0.486242782486437,0.449388751184353,0.310566176053964,0.469152627873671,0.398153286382297,0.618529617778921,0.754736752855479,0.777710411774195,0.570063652649307,0.472954894356519,0.505734114764713,0.778119405940982,1.29724652285289,0.524795673582469,0.340737475720052,0.151737309249315
"65-69",0.29205334461396,0.457017776137833,0.39275385112229,0.226695521445522,0.28151347443937,0.433691889094852,0.649438327777241,0.698541650418054,0.613969894371942,0.385303293991977,0.432779363964902,0.567005024147917,0.634482392385592,1.13199814683123,0.360019997511548,0.183864837110038
"70-74",0.183261876310753,0.522018831857284,0.518681655697546,0.501781702789816,0.229259453554614,0.430132928015007,0.437547910200055,0.81614339203467,0.803388972151826,0.69244416507887,0.515311221794918,0.508786380162115,0.838991236493671,0.842526782940131,1.31524331970632,0.415923957990204
"75+",0.35284386404503,0.485026307404892,0.730345192448894,0.593281613677356,0.259208914724645,0.286745509815149,0.449890642332087,0.536142594395456,0.622741451077879,0.708281588282307,0.698920292367668,0.464457355135061,0.339795388169459,0.495608421375654,0.493890562359645,0.738810915181115
