"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.541771895393577,0.360893578869917,0.174116619149705,0.0985938520377654,0.205547910976995,0.383204638550335,0.495957710916989,0.458540444742645,0.227564355994306,0.0709028158478366,0.0696314930380689,0.0318760255919456,0.0331624607694715,0.0116961621732187,0.00799671776579367,0.00877598701186756
"5-9",0.208646668719806,0.765824565711924,0.354793096535248,0.150102479745584,0.0445237193016099,0.194036745012578,0.445570133470099,0.496051322357722,0.40442570339064,0.124675253854058,0.0618773709673032,0.0440750099297145,0.0211714088586481,0.0137820098009547,0.00689272388297546,0.00876089561021441
"10-14",0.107535938173446,0.357039647075507,1.42830339023951,0.39761560783238,0.0647039439012752,0.0499549351820843,0.148039193543106,0.425767842044324,0.576306929231802,0.207678173879376,0.0834282589589082,0.0236953296548929,0.0100948554776992,0.0179623401475987,0.0127228541171075,0.00894116758371851
"15-19",0.051229952720939,0.109413491494209,0.337592079294735,1.13679186361232,0.18073020154526,0.0491092928695027,0.0286930341887158,0.237159450939894,0.408531705665062,0.362522810919798,0.164013945237859,0.0449719891629472,0.0171621069044815,0.0105455513746317,0.00604759047745974,0.0050640386271655
"20-24",0.109116116067271,0.0540852263567118,0.0684915595542021,0.301912339217439,1.14748200300104,0.201666391864585,0.042400816386838,0.0189326011821235,0.12461620883834,0.296415901332201,0.188721254206348,0.081426506279626,0.0192039988654885,0.00392482718600879,0.00387808896432357,0.0082387117061473
"25-29",0.327059755870515,0.129311071481075,0.0445496636600877,0.0903814109214514,0.252604128299238,1.01463510174068,0.180639276764529,0.0311378822379539,0.0160386134123659,0.0990704956023577,0.204160785463926,0.107841468929733,0.0478235062022196,0.0139821077767461,0.0021595562551179,0.00902397162635411
"30-34",0.412831824296126,0.476569307009635,0.214114165808289,0.0446139057422683,0.0694981815764265,0.215154691485974,0.95886199736119,0.255961686782161,0.0618111300242571,0.0175010623405631,0.0516798423978858,0.0684281192066703,0.0625575554079127,0.0149844270759273,0.0101289682168277,0.0068305701875184
"35-39",0.351381519791798,0.567212126384733,0.539368443819032,0.292792084587832,0.0294295895577112,0.0364485856863228,0.178601805567866,0.976111757064575,0.171821176793154,0.0351080246138336,0.0213216072717959,0.0206313853469454,0.041535921911528,0.0303457123439207,0.0177064071195743,0.00341205890444251
"40-44",0.175037947257127,0.368610035471743,0.557489923194229,0.455021565751535,0.116240537507017,0.0290689778845967,0.0650402485889473,0.151323763038354,0.775569088247118,0.138190037120774,0.0405394830353967,0.00752477398457699,0.024907978577305,0.0296695325975343,0.0101645125209299,0.00872609116043754
"45-49",0.0994022586220974,0.21350782049849,0.341991807490554,0.554796084169408,0.32116423935877,0.102631006211519,0.0272909194489491,0.068756190971403,0.15626761486509,0.721229264711771,0.148789460527051,0.0268674351138184,0.0136248776451937,0.012372833448906,0.0112722029964326,0.0219788768514338
"50-54",0.173861064701226,0.156794967399691,0.27389953919926,0.360977746263917,0.373081922112462,0.256330842288986,0.102830162202558,0.0428563382841812,0.0930201208301421,0.193586297381767,0.722336797838592,0.143667454328525,0.0245883938607734,0.00890589374393072,0.00755348196985492,0.0292772585601384
"55-59",0.311991952367271,0.331957027160862,0.217622957193115,0.308096693005677,0.285673102381159,0.357283284839262,0.283273494096399,0.090796914926877,0.0478083562112298,0.128559756329516,0.239917576337638,0.844709482476579,0.150739131441133,0.0457320539549171,0.00866547600398123,0.0254017111229927
"60-64",0.369141656308078,0.335194957864484,0.216323433829283,0.217582922608266,0.163540454465216,0.23303336286917,0.311634843875458,0.232179108949185,0.114452955367369,0.0605314277335942,0.0966801167220736,0.222730556427988,0.776131192927627,0.155336982004099,0.0203101836386307,0.00695171909667096
"65-69",0.238203825993849,0.365753198077041,0.333972640879575,0.173323516451532,0.118966150914129,0.153891721064544,0.257898163615955,0.359747507446283,0.284065641014064,0.0942958527916964,0.0762408829347987,0.107232096942072,0.176976233930107,0.728794956921274,0.0883051799825897,0.0164568904281815
"70-74",0.158416793657705,0.469176294655508,0.432213162897606,0.329927997891271,0.0721289855538903,0.176445259785588,0.155474425127174,0.423649985552685,0.334870191726465,0.291159718875373,0.127150475448855,0.0788804384863068,0.11540430769016,0.198750709383428,0.560496698003181,0.10137415342859
"75+",0.311570771763724,0.421707826410612,0.659677951262174,0.532187761832819,0.169444916800911,0.146447792880468,0.177971220571148,0.322146870021319,0.414103429335862,0.425067074097496,0.464439950553311,0.2022172351456,0.0754649885792574,0.14830539326709,0.108384778672926,0.457209598752911
