"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.524145235918499,0.224410779046582,0.125594682741472,0.107424592608242,0.207020281919171,0.355410209363422,0.409907571249808,0.316017293637232,0.209605147558035,0.145296204987254,0.187585230061144,0.15873234499108,0.121002845403631,0.110302792535495,0.0678520113439504,0.0297495429571926
"5-9",0.244349025334436,0.910283266475854,0.364857415242455,0.117187603206121,0.113139610068757,0.252411857422691,0.307546692368691,0.306931944293356,0.254321984539125,0.119583607128796,0.102284215748354,0.107421350740223,0.114565789680857,0.0905690820754941,0.0421241913352515,0.028987766399654
"10-14",0.0861019894614988,0.452742361744993,1.75147112231615,0.316988387260275,0.239008067169843,0.227223365747503,0.261768050461002,0.281215778495036,0.318091233499517,0.197764186653896,0.138780393255036,0.0874670270629611,0.0704867335843918,0.0772413938586238,0.0537811021710089,0.0431296898355304
"15-19",0.0544339707894451,0.169476252702424,0.862450214285186,2.99484710549302,0.826510346609334,0.434573376628979,0.274665117261808,0.295452465086321,0.29637849481993,0.257960783950474,0.124399094561875,0.0626111218582334,0.0526977928337689,0.0508267886952319,0.0297281324073632,0.0183946120257057
"20-24",0.0880933282635199,0.110975128782088,0.180952477890553,1.34924453147856,2.48734343526586,1.10530659872275,0.653667132549901,0.390088646444346,0.297155507177111,0.339150314513628,0.220011840946084,0.147680600343106,0.0682259107203365,0.0555435539735104,0.059656819175158,0.0438010507638221
"25-29",0.171178356936893,0.0880113834463953,0.0866568190175319,0.392256917421617,1.24923081167192,1.79207107575652,1.01694870486008,0.611797728517754,0.400697566515141,0.355047510424813,0.3205880185014,0.174225170375527,0.0788181280227782,0.0622398395690392,0.0382517839352158,0.0179711788619886
"30-34",0.172568586080243,0.121312143848331,0.201535083926166,0.186015008452024,0.561444223481344,0.92791083416257,1.16142103314438,0.744991257058975,0.459218866677222,0.343375622768814,0.372040655485895,0.272151817702263,0.143033580363809,0.110619303713304,0.0546928802725799,0.047369534124116
"35-39",0.140696275708642,0.164027367889236,0.135126950397178,0.115810937766777,0.314495020999144,0.620521469709196,0.775020996409757,0.848320399381983,0.579396644544015,0.36393468211083,0.265010051007101,0.212881389313154,0.209916181595701,0.155767282580381,0.090107491241666,0.033236887633525
"40-44",0.0943363993240411,0.121078194279513,0.207462801877092,0.154259970464039,0.315663868425035,0.42609560108303,0.586935930115962,0.569802598374531,0.605376693802367,0.36080094270546,0.264452805156979,0.126082403924523,0.137130743040459,0.103323740547179,0.0771920028502331,0.030379481409304
"45-49",0.027893546741685,0.0453522730892798,0.0646124079722542,0.142642709760164,0.223524976810853,0.311922122662272,0.38175981107901,0.38313850129595,0.360062761760549,0.361179593108838,0.300225108942758,0.139318167988169,0.113766383924721,0.0799581170869278,0.0699807983646729,0.0503699555616823
"50-54",0.0473918171110048,0.0879784565307468,0.109228962843778,0.187955566914057,0.39131674422417,0.558416990867129,0.408412127897352,0.35592346453217,0.394511548483706,0.431306117047898,0.36192342712918,0.290656233078831,0.202806936677491,0.118917805495517,0.076968211980031,0.0483681202651614
"55-59",0.0653923290452851,0.0575550270266565,0.0677162787609779,0.0930292819979708,0.26559022329911,0.50327176855512,0.520483337336294,0.387991606686416,0.371447217983379,0.256204992103233,0.401629374819711,0.380090884578737,0.282558129022308,0.169298777635248,0.0921436087014508,0.0466386344327374
"60-64",0.0504634665422241,0.0545842649007612,0.0513762913293421,0.0944848307195661,0.227024423792914,0.392750325337219,0.40452978202599,0.435605950389035,0.367952493700442,0.291613052416984,0.28190170195744,0.354134727361096,0.353625816589096,0.276777391083839,0.190629503123748,0.0745676278729422
"65-69",0.0514913576031024,0.0673396238230376,0.0467977300884019,0.0570276860063642,0.18978387767183,0.333228940874404,0.420980728496297,0.338960670830271,0.316043729376061,0.245943316344978,0.290346792985672,0.318706403847991,0.347019309112598,0.324511863777015,0.168842981882907,0.0939093439001077
"70-74",0.0189448849685215,0.0397306397860163,0.0625976229932961,0.135228037498998,0.142949981595946,0.234339964257438,0.240876010512512,0.301219003560912,0.345472876174676,0.254846561044629,0.22263401966747,0.225384206782128,0.425865642502794,0.411954597907814,0.372882788351848,0.126716266938194
"75+",0.0272468452086214,0.0274222436257724,0.0442923352666588,0.0283253328647657,0.0706715317143262,0.106087580828867,0.201024619937392,0.144965978444544,0.13545995496651,0.164416671790871,0.128089430986048,0.125302078955037,0.136149676827784,0.194831578102307,0.166642853754802,0.105387272824578
