"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.00293617283287833,0.00340276102217655,0.00467536298667227,0.00133697254150852,0.0107397311659825,0.00297313593857877,0.01050267953105,0.00581315296016605,0.00232277949363157,4.25609579881425e-09,2.56548323769799e-18,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.00606491943125775,0.556325326670936,0.57364083309152,0.326052830787857,0.298753320847979,0.26976601750306,0.302459109634312,0.227197537497862,0.134633821168721,0.0475295059154186,0.00552919573422062,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0102137860556759,0.386628984913024,0.962994788894816,0.912142814136108,0.748250766851896,0.800836023401568,0.608530741198157,0.464366682627093,0.357788433928668,0.122295170778952,0.0195945051309162,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0129822493949455,0.335867607562251,0.905753930755511,1.50747277405696,1.06022749414823,1.00552408963771,0.934907014835191,0.624527123191703,0.518034007800426,0.178055423351278,0.0258308179368822,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.014457617092345,0.178397901805901,0.616854989977637,1.00518867592651,1.2929183273657,1.10143240915057,0.993411793248356,0.772767916706501,0.470367603891217,0.204175106495681,0.0237726110483232,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.00863645838955328,0.345649567766232,0.497059421420583,0.917121855470637,0.965254633701912,1.29565768418665,1.26858614371883,0.836442583123775,0.61457128360694,0.181928506400627,0.0163657652578949,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.009822040298153,0.217261616658253,0.588812490173505,0.912880608149529,1.05829126180534,1.10014670608451,1.35648642716601,1.03848469326673,0.753187007740994,0.194402124560444,0.0241514323230159,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.0124861437969331,0.25875297233687,0.382362373906509,0.653843279312766,0.823969306167644,0.87996903103783,0.916223036060481,0.85200337088662,0.553798318332173,0.209644572781447,0.0183285635516192,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.0133682770358143,0.191646102494297,0.315149581579921,0.652300513631136,0.747344156529812,0.755970632913401,1.03024357229955,0.946836039192655,0.725870281050773,0.261983688424509,0.0216901655729837,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.01578481248533,0.0986903717952531,0.162723279342174,0.295815920785577,0.404254432852618,0.370262429495987,0.476382814940918,0.35805538027935,0.334977735714151,0.155938709342664,0.0156796722530046,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.00273623579774241,0.00687169869414299,0.0332113477892531,0.0585045129803465,0.0633438694582203,0.0727190943438695,0.0791337161083387,0.0736229143277405,0.0567637458835701,0.0325973395089072,0.0027617473699174,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
