"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.00234637686667802,0.00235305140133057,0.0037750242688087,0.00108472744704349,0.00958997760169556,0.00285873692480132,0.0102608799345348,0.00602571323952647,0.00229545617009057,2.88568404219122e-09,1.4368204770459e-18,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.00419396692088287,0.332899090823331,0.400800527170328,0.228912721766781,0.23084514043285,0.224455616888285,0.255702499797976,0.203790597171377,0.1151327839343,0.0278858890666993,0.00267965636454666,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0082469083890404,0.270136106136897,0.785627382407425,0.747737641738319,0.675086797192766,0.778020941036619,0.600696740830557,0.486346755787591,0.357252749598572,0.0837789575727401,0.0110880681968962,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0105329031119607,0.235803406504991,0.742500294561635,1.24173695975403,0.961181125342762,0.981598516729223,0.927331258943185,0.657249104616042,0.519758118700765,0.12256728851886,0.0146876892320735,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.0129098412191769,0.137847132806482,0.556538901080477,0.911284029174369,1.29004037983862,1.18338294578071,1.08448071498363,0.895063449271315,0.519405392484426,0.154685000875161,0.0148770986360317,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.0083041485514881,0.287593625313679,0.482898655285444,0.895299736990179,1.03707305356991,1.49897010736862,1.49124062952704,1.04322050899634,0.730763012505557,0.148416234756598,0.0110284103563738,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.0095959108257619,0.183675534047669,0.581232335298527,0.905483337045401,1.15530787138204,1.29323773137253,1.62019871739807,1.31602805801742,0.909980699177495,0.161141250492278,0.0165365367000024,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.01294270467393,0.232095045277046,0.400460900925588,0.688101275235761,0.95436779054611,1.09750717978983,1.16109099216911,1.14556194880822,0.70989351890781,0.184374800854103,0.0133150350581751,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.0132110232975079,0.163887120775361,0.314677736555098,0.65447148775429,0.825257908350941,0.898895525725294,1.24471314110433,1.2137139919736,0.887084327163547,0.219662794587206,0.0150224602595867,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.0107022923475049,0.0579023220803346,0.111474448494343,0.203629603799641,0.306266999796657,0.302057971809059,0.394876973110153,0.314896725242522,0.280865369878429,0.0897041528760839,0.00745060498652753,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.00153245188526355,0.00333028382899214,0.0187935182204246,0.0332663141921729,0.0396411228031399,0.0490032699681538,0.05418302248625,0.0534843705890027,0.0393141819896172,0.0154894755689843,0.00108401290292592,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
