"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0.000270864949810487,3.48718857940151e-72,2.02327656564492e-59,1.41393166937215e-06,0.00482628877807502,0.012549201083361,0.00271904781253949,0.0101760379019923,0.00282713014605548,0.000741417981171873,0.000699154880805662,8.43248557259405e-57,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0.000903031951705734,0.0602609704848842,0.0166806435592042,0.0193430989079671,0.00555048404833656,0.0456201194385743,0.0126360599426413,0.0426695079682903,0.0245156912726783,0.00947208549421081,2.51030835541174e-08,3.71077152864184e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0.00490060089104755,0.0297307858497191,0.651383917378515,0.566862363560515,0.323313019298663,0.303111627428813,0.2738488986629,0.293501981432878,0.228856293633005,0.13113500748157,0.0669585166077426,0.0191022201474484,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0.00442892967751471,0.0422568845377233,0.382060354782717,0.803139281566653,0.763356529364598,0.640717211911915,0.686114699544219,0.498375008324136,0.394775014406992,0.294117005648531,0.145405621592244,0.0571328049748419,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0.00503727198877269,0.0538962214563271,0.333045322818323,0.758009783473115,1.26593589313758,0.910994878253651,0.864456722203024,0.768315871491169,0.532767302369173,0.427316598414299,0.212434353098698,0.075576549173288,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0.00804231327706705,0.0614129169861407,0.181000426012965,0.528204750120427,0.863703064202553,1.13669147107714,0.968864992697806,0.835324721084598,0.674512462265886,0.396993622935949,0.249245295454705,0.0711672887972247,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0.00536344435426178,0.036705622668128,0.350880938719482,0.425854688872552,0.788456647842771,0.849077452110164,1.14032748249013,1.06728373166698,0.730484378368897,0.518981999467401,0.222207562887702,0.0490200508252559,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0.00290781587189526,0.0399042573400323,0.21082755634507,0.482226138836952,0.750214351682275,0.889879563643155,0.925572683940056,1.09092774951376,0.866952908651233,0.607999834891761,0.22697587504426,0.0691513943890044,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0.00163871962182506,0.0526575592642131,0.260642112884243,0.32506016756773,0.557776127178304,0.71920372665489,0.768497017716312,0.76488582955154,0.738331833302499,0.464052531443875,0.254083924223585,0.054475515859625,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0.000219893930510539,0.054514629279577,0.186665674837446,0.259066091790306,0.538070536743877,0.630763814995638,0.638388354733082,0.831649929457928,0.793396524158635,0.588138706638096,0.307024511842607,0.06233630015722,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0.00277423920171953,0.0931011625292148,0.139032812809717,0.193473539711917,0.35293203984246,0.493490696709183,0.452238704725053,0.556204858983643,0.433954072379385,0.392567859488756,0.264320461253121,0.0651768228350478,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0.000417929549051606,0.0395775179689887,0.0237402883804684,0.0968362019616019,0.171174184763431,0.189630471894876,0.217814055409566,0.22657897630611,0.218819452260803,0.163135771810508,0.135499708653593,0.0281526649807591,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
