"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",2.8762544149062,0.341037603105436,0.0559453138358776,0.0656880558626002,0.0186804011764403,0.093840948478308,0.170653099695523,0.133595755885056,0.0627605027177599,0.0726270919780756,0.042258517404699,0.0294530049175531,0.00362298318611597,0.000992039585872416,8.29713898414132e-66,6.41370749686578e-120
"5-9",0.426738150694678,2.63435915191885,0.134120995180526,0.0160116060535056,0.0174396096432001,0.0551653890831595,0.0727404350685079,0.0734059258406714,0.0715984071337931,0.0497321353439682,0.0462947554797123,0.0153175314180356,0.00594528319200323,0.00128857017642821,0.000348573117533958,8.10990414412873e-39
"10-14",0.00323961684263339,0.5206983570648,2.77112585650615,0.0924583944979293,0.0104403372671231,0.0398587283878929,0.0410260821296726,0.0696669501769417,0.0731530138489065,0.055966728826783,0.0433186730394863,0.0232971065919985,0.00597134453487588,0.000658145422607729,4.94990906413587e-25,0.000182514267791814
"15-19",0.0210654328856368,0.0240757810881551,0.926545507394381,3.42717623981329,0.0451660500581914,0.0478936210083652,0.0540457572922185,0.0811267142035137,0.0686951931754687,0.0788479850472545,0.0480871223867257,0.0304483366284694,0.0068792624021075,0.000973597329678659,6.23090969609818e-33,1.71121140146009e-70
"20-24",0.0251088141881651,0.013944297894312,0.0051740474866394,0.461927780280066,0.274411354883428,0.0347591132283889,0.0235573965198703,0.0302649142885784,0.0195937045713781,0.0237932031756691,0.0136699269147106,0.0101489345279599,0.000769213321297974,0.00120363915384534,0.000177352116714881,1.22058617685594e-47
"25-29",0.0302816756617867,0.0768815781212008,0.0223660979106719,0.122475520816542,0.192531290163641,0.128579244477311,0.0226612986208844,0.0315973376940257,0.0381621678777777,0.0330616244868491,0.00939383277603933,0.0159283854288903,0.00517785248562374,0.00235308756077281,0.000463913454848925,0.00128766073560011
"30-34",0.0601171922398853,0.259752041556412,0.159324269435615,0.107542221040313,0.0354937360912432,0.0709300414627241,0.0649920740431144,0.0474637208511287,0.0525674092502768,0.0270910937968491,0.0240988893496882,0.00381401142610292,0.00665761951102261,0.000438505961493985,1.65731252654583e-48,3.11605539303014e-55
"35-39",0.107521210492165,0.16373361403894,0.111058817802812,0.0598788870595803,0.0146062950526201,0.0480658694304864,0.0675795764560121,0.0532123137314028,0.0603064767506521,0.0285794014601565,0.00462127717864657,0.0111476727025966,0.000726380413861075,0.00208422660742439,1.8481576451711e-123,9.71087305467132e-67
"40-44",0.0348560951653522,0.0948300912301212,0.0696925714875183,0.297834402928012,0.00713369436808287,0.0244722868196679,0.0242231363503058,0.0345354260305297,0.0755599962710275,0.0266831755128071,0.0324733243864771,0.00939649684831886,0.00734504764939613,0.000482177214970651,4.82267334376937e-68,2.40625788274677e-92
"45-49",0.285675045958378,0.208590050909824,0.125173669814934,0.47289807267138,0.0051108775106062,0.03013391251825,0.0586234475150947,0.0534071465817035,0.0508453243262066,0.0302798659502554,0.0406065585098641,0.0193201955386915,0.00441398637790447,0.00170930930940871,6.22300923111638e-134,3.27842129610492e-72
"50-54",0.0770311770907915,0.379450366128568,0.439343710676539,0.497939847702219,0.00554687822593309,0.0166723808306702,0.0469008519243419,0.0487989691947115,0.0620083174311413,0.0838768934986904,0.0462126062619986,0.0253106358439785,0.00657207857918926,9.23214327788865e-24,1.24108940075893e-117,5.65314273224436e-78
"55-59",0.244181122665319,0.377834921700191,0.303778024505,0.364705511542883,0.006676007122043,0.0664724308963249,0.026029214987713,0.0458835368005278,0.0588886661441646,0.0422609888570568,0.0398245740655895,0.0451975039243309,0.0128293315072936,1.18638446602334e-31,0.000783743461848995,0.000763750535060173
"60-64",0.102781310655249,0.0743556028719701,0.0355890319268956,0.175203360315822,0.0139541666472004,0.00205069597149275,0.0190237640220194,0.0550524488586796,0.0122902510998289,0.019350933203996,0.0160953132920202,0.00833655710743626,0.026455932326738,0.0114512022905307,4.42895556940793e-67,2.12289408320029e-37
"65-69",0.00213831109410211,0.0251626935194869,0.00958154864631998,6.87257990256479e-32,0.00188856722136632,0.00187755457731994,0.0121821222599828,0.00539018996003793,0.00546065893412331,0.00878931300683736,0.00202435515597528,0.0156135394251586,0.00836894723252336,0.0174324445975387,0.0111257029166021,3.45735246005596e-126
"70-74",1.29037900593633e-28,5.12712854557742e-26,1.93506419154619e-40,0.00762822211631392,2.63866535604145e-22,1.70040992940369e-24,1.2609634956494e-26,0.00763711031392047,0.00786699483361385,0.0211987474955825,0.0353003799054825,0.0214849152345807,0.00774994634082665,0.00801458037940425,0.0079128983163665,0.021382676219019
"75+",2.83176324643633e-94,0.0211831946388326,8.48237015180785e-42,0.0213104544937863,4.90207685686601e-36,0.00760229188124704,9.78553659554119e-69,2.23460824762189e-60,1.43951901189893e-48,8.57439796874919e-60,4.70344249327425e-42,1.6009098426202e-46,2.21208609799124e-83,8.8596931037554e-107,1.02043267735832e-80,6.61416066668041e-113
