"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.00608332410852317,0.00456294989698931,0.00617574365592138,0.0018016392492292,0.0154070601739162,0.00446089072668497,0.0157242733839471,0.00919785175524979,0.00374309733001788,7.81312272246094e-09,4.76052156100768e-18,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.00813278491017995,0.482834165606866,0.490420815961012,0.284372917009048,0.277392056957763,0.26196843770343,0.293083961031293,0.232666140687128,0.140421051243454,0.0564717780516573,0.00664052216287517,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0134915138388378,0.330539409534977,0.810984307358608,0.783651149161711,0.684365528605489,0.76606391544726,0.580854798361649,0.46843603308734,0.367590281686568,0.143132133909689,0.0231811107446242,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0174942486304359,0.292933053396709,0.778162254522107,1.321237315689,0.989262252237002,0.98126273255272,0.910384589060523,0.642705426343243,0.542959473475863,0.212595694327746,0.0311752195432381,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.0207406845730687,0.165642212104711,0.564188250772,0.937907400966876,1.28429410466479,1.14427839596798,1.02983301877037,0.846624372937598,0.524840775037167,0.259527313314609,0.0305442361478341,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.0129581350927988,0.335658575897383,0.475477220625058,0.894993473808455,1.00280327215439,1.40781170677794,1.37542816797662,0.958425297754963,0.717204290930644,0.24185857185056,0.021992224059968,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.0147052422555316,0.210527285051028,0.562033332250639,0.888935930658339,1.09709114819299,1.19280253528507,1.46756402399537,1.18736949468358,0.877075720900885,0.257884589381672,0.032384662809721,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.0197561805832203,0.264981109073461,0.385713102028162,0.672874896841562,0.902719279712225,1.00829943095183,1.04757950733239,1.02951169294189,0.681538014825108,0.293908530044633,0.0259734177290117,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.0215426226281439,0.199884003479596,0.323783310137587,0.683686279464577,0.833893922727124,0.882217240221412,1.19970420969989,1.16523422544806,0.909800035999032,0.374068639938849,0.0313048782841436,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.0289769504561613,0.117258125547842,0.190448486728279,0.353200087303938,0.51384847376573,0.49223260378237,0.631946728449081,0.501971165274014,0.47829186145875,0.253641958653558,0.0257796043188914,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.00507737073458408,0.00825285804093333,0.0392903993204808,0.0706091088903656,0.0813873622597266,0.0977195133284005,0.106110423546454,0.104331073347683,0.0819257072915363,0.0535946479510862,0.00458981646656762,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
