"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",4.15566573244925,1.46209976767821,0.481682342411461,0.132020393313563,0.113080272517183,0.595929429994545,0.934843401965316,0.881593617888043,0.565308276048656,0.344247701346623,0.351093675433579,0.204162621605423,0.188615367694143,0.133114130732712,0.0737386868373257,0.0133351378355092
"5-9",1.3061006653491,6.10161093403412,1.02357817132828,0.170966207395577,0.181893429956282,0.308718194898674,0.65946630252042,0.889358989804528,0.775058190886335,0.352342665856503,0.28805618834942,0.257610368817652,0.250726566242357,0.124228081583216,0.0167643229286337,0.062115193418055
"10-14",0.316933236654168,1.54151493663312,7.40182313193827,0.542699618795793,0.180720349732704,0.220184988659613,0.554487572454249,0.640479565663105,1.02556434707046,0.640277627561202,0.311419469910773,0.146578378193535,0.06910328731553,0.0626128749726333,0.0632973366847722,0.0801091164176241
"15-19",0.168764601827972,0.204199859388958,2.65190706960948,7.25414011335934,0.936096875447965,0.427185920073724,0.546264976837414,0.434838420881386,1.15035649205459,1.20984686205282,0.449420701179762,0.230222597891591,0.0320190632939186,0.0336440108799343,0.0318749692855671,0.0165505136088772
"20-24",0.362142922256158,0.181882681624698,0.228858814366171,1.84014986353697,3.75894766978842,1.3435801265311,0.824520966372044,0.45038651156072,0.665924812677338,0.970620413885848,0.914098959343714,0.357095944374061,0.0228917385038807,0.0404307275615208,0.0378105805622374,0.0403306490389325
"25-29",1.01254692734393,0.323954445636009,0.0361653832237917,0.449025461419546,2.03165961781273,4.21124560565793,2.23686359789298,2.53902796391997,1.91936514478461,1.95331395434544,1.4611140731614,0.369072349915282,0.120760761771729,0.0911495830674646,0.0296031461511034,0.00929976175367794
"30-34",0.972591257476145,0.732367489549876,0.301190018706234,0.102883270089543,1.08235072766681,1.56373987560923,3.37612272072698,1.81918164815555,1.44190764738698,1.50832377362489,1.48739060747974,0.940689786697521,0.169292784544391,0.0801356116470491,0.0300064212202446,0.0649280285040703
"35-39",0.770855407691089,0.977086193030086,0.915523142612762,0.281201562434622,0.688493524662267,1.44303511888231,1.69507189278012,3.23543850343355,1.84743419447178,1.27775907901254,1.38091143473083,0.458962747959984,0.256062150874525,0.096738624921201,0.0410497358592264,0.00558123968311052
"40-44",0.332426282940985,0.614130089195878,0.980783925510605,0.595927506701859,0.625851467585929,1.03057593918991,1.00388676130797,1.41386611113605,3.65708280485588,1.81528104836834,2.05028070509078,0.390782487464278,0.0378473802578002,0.16290210695441,0.0424350373438855,0.0813104248359607
"45-49",0.0615408427165651,0.260297487213655,0.696636698441724,0.715584396552671,0.788647300503444,0.681664358516401,1.24873819447886,1.01393844190441,1.98782921663188,2.08364045435177,1.36759800406989,0.426153917258272,0.239537669627589,0.151103806901709,0.0757285207162858,0.108861970093846
"50-54",0.0738273697098197,0.097651529723126,0.320512687782051,0.586258253568494,0.757104448072405,0.818670464608022,1.01769472089686,0.667923268644505,1.67467543180521,2.02088076964455,2.69402764870184,1.10601190951665,0.303972749880703,0.107583943429712,0.0260702056818122,0.0409982821097695
"55-59",0.156212711455945,0.152297629627501,0.158139938410179,0.422528212351688,0.337223153663409,0.694438770456102,1.0873846058527,0.842605335033064,1.12192560449751,0.761128850886418,1.18422906981354,1.90991918907575,0.416566999260898,0.116589808973637,0.0695614204762852,0.0741808064448873
"60-64",0.15591315840064,0.0228289725130916,0.0299665785588248,0.0346127547141375,0.207031276714133,0.351919579482575,0.501762738670836,0.551820713244777,0.327354662701738,0.338203244071482,0.486836733155039,0.554770544805391,3.21047132662095,0.828540285207371,0.167048717963392,0.0409530594313012
"65-69",0.149582837696474,0.0940930822009313,0.0812349953446628,0.0639059718025173,0.227614942813688,0.333352830996421,0.36683363339662,0.356441173812559,0.330353944012032,0.306468396138262,0.392833298647941,0.503666843358474,0.606679357209356,1.56693352763445,0.509985371916159,0.245325902642775
"70-74",0.20789768719004,2.37439046640685e-21,2.55315569746799e-21,0.0289072729610924,0.142963878325906,0.237688489049595,0.0905670276731764,0.163976448201433,0.498673021609963,0.288093731822985,0.0925864048504002,0.23904564853607,0.524906327415135,1.04214377282615,1.37582288323059,0.397171855231582
"75+",0.493833134158907,0.056854086857092,0.0513588368935841,0.0804225949267535,2.28952598500126e-13,0.1942913517399,5.53071380045789e-30,0.18624759852575,0.210466377526239,6.79699436362587e-07,0.411076191995711,0.0708477195890629,0.435307246142813,0.574944277817702,0.482053291995454,0.321552779422889
