"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.0199411701303656,0.00787051071096045,0.0101648603714687,0.00302043388315331,0.0252456527307262,0.00763279301667137,0.0269939594841693,0.0157394192490075,0.00686211411075164,1.96648946863088e-08,3.39928870618968e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.0140280240174767,0.438230639529113,0.42474530108443,0.250863376210749,0.239170921693476,0.235862230701415,0.26474976859042,0.209499511788172,0.135458594982455,0.0747904199803228,0.0249507311368368,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0222061280409579,0.286274677693054,0.67023496475918,0.659670019804966,0.563063563403196,0.65815681047417,0.500686706014852,0.402489973364395,0.338371136408605,0.180886684383112,0.0831132432814905,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0293289687967686,0.258414815136858,0.655049520952271,1.1328545303765,0.829029679651063,0.858695172578256,0.799305348418859,0.562478699234727,0.509080012975834,0.273661220386029,0.11385047614165,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.0339852064065854,0.142818799409467,0.464187387633642,0.785992865297006,1.05193391226313,0.978702597619616,0.88373073595861,0.724186137206332,0.480962842692183,0.32651804820143,0.109023451157027,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.0221719762050526,0.302208850651097,0.40850190782972,0.783201633928428,0.857698765280555,1.25735724952658,1.23249775620087,0.856076910856245,0.68631250524806,0.31774643043404,0.0819699903034158,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.0252445823064844,0.190174343908496,0.484462930475644,0.780473716619196,0.941446962891031,1.06885003707045,1.31940882702948,1.06408055694926,0.842073940124627,0.339921544972784,0.121104203308679,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.0338068950481755,0.238596870262394,0.331412712080301,0.588882217591569,0.772168637064106,0.900625081672287,0.938805477656251,0.919657668756968,0.65224313314839,0.386164000196175,0.096817804506475,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.0394934787117805,0.192820136518358,0.298046308783572,0.641025780051518,0.76417841496818,0.844217933392062,1.15182717611704,1.11514839308415,0.932802921937368,0.526544901739719,0.125015155926153,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.0729322575994707,0.155294994391826,0.2406838658033,0.454652514189855,0.646486100373872,0.646680213144321,0.832978460597286,0.659535785286367,0.673251147799705,0.49016847120479,0.141340641435995,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.0362553740677866,0.0310088328958536,0.140871270290934,0.257861236741454,0.290500998983133,0.364222715180683,0.396805684896074,0.388901667416835,0.327168020857616,0.293840891630435,0.0713925125017232,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
