"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.310856015214427,0.899659520840598,0.602637579412081,0.312990974794155,0.341385881005854,0.422738761056123,0.389898246392778,0.377529600700926,0.214273303754483,0.1117265505954,0.102277981908741,0.0863127974569864,0.0628587796057531,0.0388117809484233,0.0138416077209723,0.00894743639568088
"5-9",0.582618450608229,0.561744059998396,0.793666079549292,0.421730613533038,0.132179901326371,0.311083594991477,0.386097708772214,0.384776908605277,0.299728993420506,0.168118144377273,0.119613512839147,0.109653881403366,0.0836100779431369,0.0518652348749329,0.0277876489409483,0.0104457721924982
"10-14",0.448454980323748,0.934642922533453,0.756089652471707,0.573626528670154,0.154772481990862,0.132089807937876,0.20923575154141,0.324036565404503,0.257076944377536,0.174259726902804,0.109754978816849,0.0567306624628677,0.0472374458625894,0.0508745718102678,0.0324703352577082,0.0102236502366639
"15-19",0.247825832546047,0.469296105889073,0.6668765680725,0.576282041955111,0.259605280022234,0.123684950844578,0.0785803776914895,0.213194511097903,0.216766433542978,0.186734334196656,0.151872867612379,0.0679590396401355,0.0511416933350827,0.0364064707807261,0.0192218030723435,0.00821226194825243
"20-24",0.329738868827579,0.222943534694859,0.220957143297713,0.466525010801227,0.244895396359176,0.270150126800861,0.0833432482898284,0.0517724669804459,0.102547237970441,0.129269293324741,0.104342982892803,0.0711731042861552,0.0298367373729317,0.0126758251143593,0.00989026757831874,0.00540402021848364
"25-29",0.591232178682438,0.282190565823798,0.132652104468564,0.195698953577231,0.280848755844057,0.188663198028584,0.171294319435256,0.065470150891023,0.0330346323003664,0.0536647806948874,0.0727833766167882,0.0404173733857257,0.0321564577513296,0.0149177820021532,0.00364730579355792,0.00438735728604731
"30-34",0.642473233393343,0.762581593864946,0.444328951475319,0.123422629232717,0.129454048997926,0.255901205888918,0.123012434602499,0.187592318652649,0.0939896987948031,0.0447773797998889,0.0361097106976277,0.0416486816895621,0.0367666949937802,0.0104901295383853,0.00891885143432825,0.0022550282755535
"35-39",0.67136196768628,0.935840869605288,0.741652554997556,0.338262881409385,0.0740320346711036,0.0895021215314151,0.159811779714999,0.135365077109093,0.123102028585166,0.0580835622745497,0.04499654722198,0.0317003292556657,0.0364724753041503,0.0242168898889805,0.0144405912002986,0.00336878064214946
"40-44",0.469993270662263,0.823492234092754,0.748760088871032,0.506956210183307,0.152836484333853,0.0715467363598491,0.128582393756476,0.164084130594411,0.0990126489212835,0.094513491250989,0.0615972860939558,0.0193179990975777,0.04095586500326,0.0353446806712457,0.0159171249329067,0.00981633153832577
"45-49",0.232507490346448,0.495344737969345,0.567530613707743,0.54151262160039,0.236230868378618,0.0872740392399213,0.0585927046187736,0.117276355364849,0.0955794476887912,0.0671204265166538,0.0996496406300395,0.0337830874435971,0.0284581282192308,0.0231213067505134,0.0163803059299399,0.0125397440082273
"50-54",0.304054520351597,0.34550564301173,0.483086231227464,0.438145484830475,0.277471654861649,0.138498005351295,0.0710376729293585,0.0685461309619614,0.0966539129742097,0.10321815566401,0.0512267606639327,0.0643122914134946,0.0374262078788106,0.0168779491474233,0.0194221083494241,0.0206915905149718
"55-59",0.429425749303722,0.544114334010911,0.351048383506039,0.409950938127486,0.258506045807382,0.187997941757355,0.162261079901128,0.0952827865114748,0.0696799350087732,0.114928936943881,0.104195813417261,0.0516301641911261,0.067374048916809,0.0445469481939536,0.0113712156006157,0.017404275149089
"60-64",0.530843910130642,0.589147148887833,0.398241904297489,0.36602587669292,0.185929929811153,0.165248878020402,0.154742104710759,0.144635478051221,0.108732270328714,0.0789621448575501,0.119551552314309,0.0869953745791396,0.0241349561926877,0.0615023121809884,0.0279473081727428,0.00557428354697783
"65-69",0.387449980771042,0.674678911699418,0.557276277205097,0.311896971026595,0.164191597603779,0.129574934072142,0.140580425989393,0.201024499827596,0.190204032162933,0.111625526588521,0.106620639885315,0.0939801978261865,0.0764957029492152,0.0230967236482725,0.0401301950037718,0.00937758451605994
"70-74",0.141455596458713,0.567144799369251,0.392764462403967,0.337442166325403,0.0561161779669557,0.101181968747111,0.0669558282050064,0.153904748984346,0.149448435881855,0.142264405400877,0.124719500471985,0.0481792591574404,0.0835424680776725,0.0450286182471549,0.0139437190377382,0.0196165363432091
"75+",0.201637703008209,0.297419814137184,0.441407648416969,0.399915988344105,0.0829999376600877,0.0603537264940968,0.0448093386328024,0.135062705665089,0.201159287556871,0.148270075786332,0.24095730703752,0.0960491134092066,0.0457678409759891,0.0602558838532826,0.0292811756263269,0.00864241917310253
