"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",5.08418531747382,2.7412136128847,1.40608206200586,0.817349290042478,1.1745396146106,1.60320353122786,1.62688006627443,1.24085744094593,0.660222107977247,0.370367673641536,0.374179563209698,0.322701184906782,0.212098444599935,0.144774832109374,0.0773473414756287,0.0425967182632257
"5-9",2.5936614713202,15.2236282258765,3.50368237851133,0.948218933500197,0.559062337813295,1.20459527938656,1.52131922522396,1.3511942056943,1.00085102933577,0.436585596540848,0.271030235409958,0.262760817301345,0.206624220725877,0.128551236214742,0.0579817185657174,0.0408349816196166
"10-14",0.982566111369594,5.23628082525697,18.638237076025,2.02216661005917,0.838896796595336,0.68466750692579,0.875976702241406,1.04831171715309,1.02564955078428,0.563527112924099,0.291385043385326,0.15901891810539,0.105737674866887,0.0989989545421598,0.0673060122458736,0.0459933272043239
"15-19",0.50242728998706,1.2416848195115,5.94151324275154,14.9531314872642,2.46824075263938,1.10626373689939,0.745939445484206,0.915493425391276,0.931062361337455,0.803773915933206,0.430191372385637,0.204199830437406,0.105970462080535,0.0553508040089619,0.0300318122992079,0.018732760016027
"20-24",0.677349483802518,0.621558449674974,0.742040112216652,4.33069944864489,5.18453797346846,2.11545558288295,1.19888557692631,0.912152018643607,0.723952467519448,0.77594826319536,0.531189231943605,0.310748129107166,0.126840030219284,0.0340556929751875,0.0312275060928026,0.0239060458444642
"25-29",1.09898519837044,0.684880026936998,0.40076367880723,1.20235503456599,2.52238912683372,2.94561226871443,1.6102710670275,1.0943197659045,0.830395979173901,0.666752798514155,0.606397494114175,0.351639585601888,0.162971206035034,0.037916778533068,0.0150827748473464,0.0123757507394778
"30-34",1.03225956155744,1.47528998749824,1.13770481670412,0.615527734135379,1.08377119230359,1.63319868894901,1.9443616263469,1.37476028525416,0.967135180314433,0.722778660260427,0.518304533107924,0.383731279807685,0.186894037244171,0.0434702826186643,0.0222088461298791,0.0165519014757114
"35-39",0.864596282378322,1.37297896754692,1.12208552062748,0.781464455481613,0.654491131477319,1.07969802314646,1.28957161120748,1.5962433944687,1.22112970629816,0.774511044015738,0.549215253178977,0.303695904041117,0.157829959032523,0.0645097460043912,0.0328304848509557,0.0114870680830334
"40-44",0.59726412442511,0.968165481806835,1.09430605900381,1.02924782438503,0.715635241845562,0.847158249587891,1.0719716039369,1.11912629183342,1.28213975010915,0.932484530632859,0.648001978707521,0.262832847925838,0.151053551982313,0.0447766534544408,0.0272527272326479,0.012759850552841
"45-49",0.34344973065464,0.728392303206209,0.811699678882848,1.21983297470262,0.650402362893216,0.688224653930745,0.811235650718069,0.881710640354526,0.871576930634107,0.890297823316466,0.596263625283528,0.320849711236742,0.115420333424975,0.0272020703055741,0.0221953407734557,0.0194381271006209
"50-54",0.359481738704142,0.690153343669816,0.951998211798914,0.970235487129878,0.676551462075006,0.818575023651266,0.790165074216727,0.723264026442448,0.922538100739341,0.948812166070648,0.764771768494076,0.464011959073956,0.148814743306226,0.0292427117245689,0.0223895874312846,0.0204789217765475
"55-59",0.655309809610867,0.984018739081418,0.843529383795662,0.828794021322459,0.592459652477298,0.834376957623491,0.87795144754784,0.660174789239957,0.71047529130849,0.633290436921576,0.642362745168014,0.52745022300144,0.254855951310029,0.0749623883473046,0.0289865611743358,0.0217162296470605
"60-64",0.601025842961616,0.744813688628349,0.55883431140417,0.551031574615141,0.397819741769695,0.523996002093905,0.592080111560799,0.615071012766505,0.469708989998903,0.417696396188812,0.377074007103071,0.400305934451502,0.228963423280039,0.121375704536303,0.0481808411057883,0.0156440098188628
"65-69",0.359641730536384,0.614974233304284,0.521158619803312,0.239770085792553,0.22257268853634,0.24198910614183,0.322949862227577,0.329745007561747,0.233379393464117,0.119084611159245,0.128853116652022,0.162159686427307,0.143601747037926,0.15101493607655,0.0741941444868597,0.0212635656573007
"70-74",0.188154768101758,0.576724697387764,0.579173579079031,0.440705101224042,0.117618054009015,0.201999516977584,0.165825126512542,0.290414961375372,0.281633757550032,0.223807266734643,0.185581087312485,0.14019828879461,0.161460362756126,0.129008020064119,0.122540015251012,0.0837793688209739
"75+",0.272227882453361,0.414971058517679,0.642001894322554,0.491627542889365,0.121735404822188,0.121159396657562,0.151737025992673,0.237357519485082,0.254825137297648,0.223732641822894,0.242802016691509,0.120794402312064,0.0761010452927239,0.108489837371926,0.0820456276891596,0.0653889386907805
