"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.02068097629108,0.2431021951166,0.0465526327269183,0.0491492823153386,0.0170769975304165,0.0684470183183511,0.118029985129029,0.0785904790397002,0.0328390943545159,0.033738019112957,0.0173843524327925,0.0121245832412259,0.00184934417475265,0.000950270556776895,8.24014024563312e-66,6.3814309637279e-120
"5-9",0.304192207044693,4.1070953926725,0.244807106147064,0.0264151892707721,0.0313795930999248,0.0794765042531724,0.0979493539661111,0.0819416467002635,0.0688094734755725,0.040466916902417,0.0321190334484095,0.0100619017498079,0.00446358167362739,0.00153270768476678,0.000346680423892772,8.07743946697596e-39
"10-14",0.00269571627560225,0.950415390200389,5.91138139984959,0.178739177812896,0.0214145579683272,0.0659224169002397,0.0633427018393587,0.0891587453662943,0.0804379196721459,0.051910798372019,0.034192922250844,0.0172829999307533,0.00496931148365552,0.000816149105854008,4.9270687423271e-25,0.000181891921878173
"15-19",0.0157616311579784,0.039719083279972,1.79118384109096,5.98604129916651,0.0858251991358293,0.0727144963007034,0.0766008148114189,0.095038618782783,0.0690628788229131,0.0668066900571924,0.0345901037320817,0.0206349567137896,0.00530255811171406,0.00118657366508562,6.19641306746226e-33,1.70422103442486e-70
"20-24",0.022953637549485,0.0250903777630286,0.0106126782113092,0.877762028732422,0.496485077272161,0.0540607611319942,0.0345858638574509,0.0383789573207315,0.0220786980208314,0.0235943111767348,0.0120803134968193,0.00861998045247675,0.000707501933291671,0.00135565598886796,0.000177026603960422,1.21892967485326e-47
"25-29",0.0220872704543454,0.110762910804984,0.0369913263802653,0.185948475346762,0.299443429974227,0.168575147306311,0.0280921701057392,0.0337188722043698,0.0362319770011603,0.0277267185670445,0.00701590664609013,0.0115743529810058,0.00422365959599897,0.00257191390879455,0.000462704818060523,0.00128519084643364
"30-34",0.0415792699853245,0.349771686653605,0.245990578937944,0.152423097964505,0.0521102373604222,0.0879287115762043,0.0763376404376596,0.0481968118674983,0.047713011369479,0.0218569505537305,0.0174042570926193,0.00269553951075263,0.00531338604366098,0.000472083663438487,1.6530013105922e-48,3.11009305249281e-55
"35-39",0.0632515859768632,0.182772736681465,0.142131453034955,0.0701471368126271,0.0185222521727105,0.0512931476826586,0.06862336273112,0.0470217583231933,0.0480466522619016,0.0204853868843608,0.00299062799422776,0.00715642399294042,0.000537897954407483,0.00216945725502275,1.84285249884109e-123,9.69041284175699e-67
"40-44",0.0182382636912989,0.0911362264664875,0.076632870911334,0.299428538270089,0.00803843311774141,0.0232345116256441,0.0219862229577254,0.027514650077573,0.0548048606884202,0.0176367806779706,0.0195670987745466,0.00568377032799971,0.00519684593475344,0.000489155626125322,4.80852067249153e-68,2.40108184282558e-92
"45-49",0.132706816397773,0.169729214288857,0.116102285616149,0.400679293842026,0.00506815469447725,0.0252714294801152,0.0472970860178288,0.038281629573007,0.0336072381344259,0.0185375860004597,0.0229444070692075,0.0111072530126282,0.00300707389212671,0.00169130653746637,6.20490774205388e-134,3.27144006633194e-72
"50-54",0.0316891650039352,0.263260468176264,0.346789139336442,0.35817886638838,0.00490185707034345,0.0124519852827701,0.0338718715584574,0.0315799199488621,0.0373636791102252,0.0473939594675824,0.0243069658399925,0.0136988907034868,0.00427803364390191,8.94654007558908e-24,1.23731397490948e-117,5.64056502345736e-78
"55-59",0.100519263008279,0.248195205613702,0.22535826737761,0.24716235030492,0.00567025540800036,0.0483021573111937,0.0183960585312,0.0294556588088362,0.0356206848880673,0.0242960012935243,0.0215542782409875,0.0253259422148713,0.00859764250667378,1.14545030306566e-31,0.000781679466475185,0.000762280228767636
"60-64",0.0524645046276083,0.055824473888352,0.0296169453987437,0.135047327044482,0.0128346709644983,0.00167278649643268,0.0151826943677308,0.04076734320079,0.00869572867515649,0.0131830234722314,0.0104770950229415,0.00558678663073437,0.0203007939330576,0.0112566026774834,4.4218459405372e-67,2.12040265188749e-37
"65-69",0.00204827922483323,0.0299301151246981,0.0118818305070119,8.37597030619587e-32,0.00212708888361232,0.00205215853945703,0.0131149434898324,0.00561061195222235,0.0055396894690275,0.00869674228442863,0.00196173022720896,0.0150748210033657,0.00822672689165932,0.0176547309060146,0.0111234167715237,3.45682826342884e-126
"70-74",1.28151450750182e-28,5.09928909638406e-26,1.92613524188612e-40,0.007585989447517,2.63382233953818e-22,1.69597984018218e-24,1.25768331411917e-26,0.00761518794822856,0.00784390826235178,0.0211370845795111,0.0351929952426944,0.0214283345193218,0.00773750565557075,0.00801293351775181,0.00791284436579074,0.0213825699460777
"75+",2.81751259651085e-94,0.0210983964016658,8.45344655878776e-42,0.021223400434614,4.89542406963587e-36,0.00758770976513624,9.76681269812471e-69,2.22990006533292e-60,1.43642249929056e-48,8.55613922864891e-60,4.69297777784448e-42,1.59782790983281e-46,2.20948999081154e-83,8.8583498154167e-107,1.02042760575826e-80,6.61413670515466e-113
