"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",2.66261282653509,0.325544407470027,0.0582542003984687,0.0798762222740116,0.0202341254544019,0.0834536614452683,0.152958186312501,0.113658126711939,0.0518853965449901,0.0644273441977782,0.0360617315067959,0.0247548554586008,0.00369996402876864,0.00126715449167454,8.2587624099763e-66,6.39471347073499e-120
"5-9",0.407351615035262,2.59103967298463,0.143665093805985,0.0200112069475021,0.0193006653045982,0.0504613711721131,0.0670438752497419,0.0643175688344272,0.061004600756491,0.0453840754982878,0.040683423323669,0.0132560850452905,0.00619707217172123,0.00163172108860008,0.000347179509651544,8.08931192944726e-39
"10-14",0.00337331718825739,0.557751440866122,3.22644532807504,0.125808099298909,0.012350726087711,0.0392523768453335,0.0406944952905507,0.0657936134845571,0.0671932240803526,0.0550025073204545,0.0410284989329274,0.0216684838375617,0.00660707447141881,0.000845468193623195,4.93356200853436e-25,0.000182141973726414
"15-19",0.0256154209068229,0.0300897633983661,1.26075009015911,5.4914458249909,0.0614284916823047,0.0537898944490842,0.0611455225914912,0.087195979845409,0.0716339911168315,0.0884019831203265,0.051841577091541,0.0320059703887317,0.008616861094331,0.00138415019413581,6.2102447226005e-33,1.70794747977501e-70
"20-24",0.0271972154931746,0.0154323538239669,0.00612080257919693,0.628249022710659,0.318084311590482,0.0355210634120415,0.0241951232547419,0.0300144047418136,0.0190442698781784,0.0242834999916726,0.0135849451032733,0.00994576272275495,0.000841984308660339,0.00137520535411489,0.000177125209183538,1.21964331705449e-47
"25-29",0.0269297865127432,0.0703257951108342,0.0220258532887865,0.137553711718054,0.196751744550241,0.113588578475292,0.0201423683180784,0.0269998003283072,0.0319562981338665,0.0291395184293513,0.00804542334552873,0.0135859420697695,0.00509885722675391,0.00262880346831807,0.000462976041573088,0.00128597323303367
"30-34",0.0538836781026491,0.239409943775734,0.158036556152865,0.121669593241251,0.0364545937312956,0.0630457699649255,0.0581198513656423,0.0408150989961606,0.0443010890057894,0.0240250692446246,0.0207704675306506,0.00327268544447832,0.00658470714821106,0.000490100762938986,1.65403483854553e-48,3.11206626518345e-55
"35-39",0.0914749071583829,0.143461823699583,0.104884179858766,0.0643585566169343,0.01448539544198,0.0410720956871944,0.0581131663027878,0.0439595665398516,0.0488281954496313,0.0243593700534732,0.00382660226305672,0.00921333492907262,0.000697472104149903,0.00231199714112573,1.84412824571101e-123,9.69699908260542e-67
"40-44",0.0288162497326912,0.080798890461136,0.0640147046076463,0.310575834893363,0.00693365566880425,0.0204926432935219,0.0204140043186287,0.0279622127342525,0.0599841984243021,0.0222848598847526,0.026353571044116,0.00762491335805297,0.00693870503581322,0.0005308325884313,4.8119707523371e-68,2.40273653265769e-92
"45-49",0.253421746808101,0.190353109779175,0.123017118110167,0.530199058515902,0.00521619527517674,0.0265591214225811,0.0519887604564927,0.0455210529477854,0.0424642459762885,0.0266255608083849,0.0346905639624961,0.0164375233764634,0.00434092824107718,0.00191134859474833,6.21021995541623e-134,3.27404918519825e-72
"50-54",0.0657353309227001,0.333457639327954,0.416116462022044,0.536817046235452,0.00551239495748527,0.0142791941434979,0.0404231335278113,0.0404074974810333,0.0503225533456065,0.0716568171662458,0.038354904274579,0.0209641882107701,0.00632155605087276,1.02462044997969e-23,1.23839711599014e-117,5.64511193987715e-78
"55-59",0.205230957391937,0.32698557740453,0.282541919452512,0.383362610098531,0.00654235994806529,0.0566969326191866,0.0223348657108052,0.0379218518117441,0.0477859977360497,0.0359554327935844,0.0329857326094553,0.0374567553777075,0.0122390533169463,1.29339043261321e-31,0.000782260715499845,0.000762799751085544
"60-64",0.104965199317363,0.0775046406518075,0.0393779630254728,0.219457106133785,0.0152742926208669,0.00201940978487751,0.0188154211477956,0.0528614849896159,0.0116103300166885,0.0190306460520397,0.0154817724568982,0.00795299169404684,0.0277440611306485,0.0125260917187057,4.42456421598979e-67,2.1215896012358e-37
"65-69",0.00273131288919902,0.0318636100794585,0.0123086697070979,9.77065416714797e-32,0.00215776276978985,0.00209755134789549,0.0136154760439111,0.00597924608261888,0.00601168123781548,0.00982820427640047,0.0022467108973513,0.0170218028725707,0.00915451478053812,0.0182028552138481,0.0111255013586481,3.45743085604068e-126
"70-74",1.28441064434604e-28,5.10663010093023e-26,1.92867364951363e-40,0.00760292291995953,2.63528939948073e-22,1.69697397205965e-24,1.25846967215364e-26,0.00762045969525927,0.00784953621149657,0.0211551806911395,0.0352238030891035,0.021444268414318,0.00774226219208756,0.00801443518386598,0.00791285174019367,0.0213825879270545
"75+",2.82337705403119e-94,0.0211294074566551,8.46506774522752e-42,0.021269807467661,4.89829017527027e-36,0.00759232894092767,9.7730092968881e-69,2.23141565183455e-60,1.4374124004517e-48,8.56296312999866e-60,4.69676083461753e-42,1.59891688896149e-46,2.21072680906507e-83,8.85989399862312e-107,1.02042846385367e-80,6.61414169351902e-113
