"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.155176792714088,0.50849334245725,0.405062848510339,0.214285267206877,0.364594559086682,0.571395292144803,0.555617149139482,0.454221451027658,0.2679284583438,0.134044287731991,0.130805566160109,0.13791899225331,0.0778805245241638,0.0389841155815539,0.0149359542967999,0.00866302481851472
"5-9",0.343108676203286,0.253617132734998,0.500086755143194,0.275942949636191,0.111957104543259,0.355828513189725,0.556018676439386,0.508230333175637,0.397733928574965,0.189022058335261,0.10817486164393,0.109283503804352,0.0719911335936982,0.0393623550785043,0.0186399596312315,0.0082178281288137
"10-14",0.293224847679804,0.54983020564042,0.432396868286628,0.390545555047382,0.146317675431081,0.129933873048493,0.276780366445636,0.458570068983342,0.398978280228279,0.224213178974986,0.105609754885973,0.0520108159962849,0.0374225097235618,0.0389565774597997,0.0223641810823984,0.00809881746277109
"15-19",0.155740757922235,0.270511642611466,0.428417719924221,0.405466714681918,0.281277146835541,0.15882048275946,0.0903081283563888,0.284233648089654,0.340568916582698,0.291403458806635,0.179447366317737,0.0680749096531187,0.0404618974190702,0.024499612443237,0.011708837750365,0.00539116069629911
"20-24",0.283420861420677,0.145860528934342,0.172819370491265,0.44319789496909,0.394858925895444,0.441792422821338,0.13496695968976,0.0693775485953785,0.175769413081498,0.280831352200165,0.185089085306916,0.118923978676162,0.0352199120733337,0.0129674924267029,0.00737081542025175,0.00445494872558094
"25-29",0.551173775479678,0.213664143855779,0.0925161175657978,0.18882036718575,0.39359941523916,0.37649910614089,0.296634082509305,0.0890745079013753,0.0513887793761053,0.13217630011259,0.206174282665521,0.128833802205763,0.0641478566901232,0.0240792751341469,0.00399134537077841,0.00511418542860081
"30-34",0.499172985031948,0.574658418419164,0.329427581467431,0.0842527308658651,0.14201928212262,0.350312956340203,0.285264722188343,0.259422150195853,0.109983561750997,0.0508009390980694,0.09085126481875,0.112696113948758,0.0853678827516427,0.0236090564162565,0.0138021012264134,0.00459242539539582
"35-39",0.455020940033162,0.668299643796584,0.607791305156558,0.276768473783885,0.0694385671122686,0.0994570426033368,0.228342700609459,0.281674690882811,0.201163237636926,0.061579233135794,0.0494287710706112,0.0557914586456655,0.0725356114733042,0.0454406282203366,0.0200999134398676,0.00574543768910197
"40-44",0.281744309242628,0.502800557896625,0.572698215798513,0.416007293573004,0.156049386498568,0.077363389904999,0.132303120484166,0.228194253892822,0.201346202993937,0.157482090149506,0.059571224198653,0.0162252256151672,0.0439902228248023,0.0509847790714679,0.0191192105817138,0.010125635471092
"45-49",0.146205438357628,0.280155876686471,0.393434411990134,0.482523594917506,0.334213877233447,0.163349598544692,0.0639027565601338,0.115682624947608,0.174110036032319,0.178055915310035,0.162459981205667,0.0399584103745284,0.0210034476567012,0.0177178706118005,0.0137659194784522,0.0149489910195898
"50-54",0.215982927299319,0.166565386474822,0.265407158497572,0.313259253155003,0.339674564504517,0.315939407857817,0.18207398781992,0.0742419613556144,0.108294284957069,0.178326539624752,0.140538211462149,0.135529538067878,0.0283275405034388,0.0104661143599098,0.011657511002652,0.0133594618401443
"55-59",0.348571111425517,0.264383787491552,0.168066633547262,0.227264153627231,0.272635001484331,0.44137056166398,0.40907674842279,0.151221938952178,0.0620123276191754,0.131752244796097,0.200826392281985,0.13437845100062,0.102950501406002,0.0377448453935398,0.00695028644708379,0.00924455445434555
"60-64",0.405016160164408,0.299810182233406,0.199719436862825,0.194280990217623,0.16793135357363,0.294326361662632,0.405806811593918,0.31444554486123,0.15001281861982,0.0684717022955804,0.100324491917972,0.161146227941847,0.0835176038283394,0.0850064154865424,0.0193252731226099,0.00316514721384108
"65-69",0.268208214230917,0.338683315441439,0.302320212900979,0.157590087049849,0.143835460185307,0.208990512265839,0.399929348358148,0.461476138396666,0.394417141862346,0.112476120748669,0.0820380859082085,0.10803237872175,0.118327864507184,0.0838107103674363,0.0498331346217636,0.00897248195562669
"70-74",0.1284473959003,0.307259608697469,0.234013777989353,0.188444095238545,0.0437277635965371,0.135096187509814,0.159923291854419,0.32000881989648,0.315095863992235,0.19195681778466,0.113417134567859,0.0487820707412112,0.0789421770179388,0.0682750411448536,0.053137108812753,0.0418338311200603
"75+",0.171822239473752,0.197643584250269,0.316356280544136,0.251726961641043,0.0748243863036347,0.0897735414529027,0.147307097431109,0.359885633340269,0.380922933949724,0.296810155625034,0.246517639462248,0.0883905168330119,0.0371414957184854,0.0736250234873491,0.065308812255908,0.0301712474920892
