"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",2.90117756461888,0.353363358133397,0.0605285771439836,0.0574182044116066,0.00535764412274446,0.021839812635452,0.0401998575831262,0.0299750445880806,0.0140793999370331,0.0166722201414064,0.00949086728017275,0.00742552946381637,0.00128519839059748,0.000780624404330471,8.25271599617247e-66,6.38935332306459e-120
"5-9",0.442161288374077,2.80175476709118,0.148785262781309,0.0143986003387938,0.00546093129162345,0.0141154584002761,0.0188324593744247,0.0181281477993996,0.0176798674469486,0.0125582425300752,0.0114446939537976,0.0042356794355917,0.00228293860962652,0.00104019839489462,0.000346945513434295,8.08308740250969e-39
"10-14",0.00350501917911366,0.577629488816459,3.20211133985972,0.0868956994989945,0.00355277919360824,0.0111639617918396,0.0116224030978569,0.01885449145826,0.0197964390236613,0.0154774788899644,0.0117360274554348,0.00703390312236693,0.00246992151135809,0.000543513078025983,4.92988554511508e-25,0.000181992688860376
"15-19",0.0184133830049175,0.0216503921326954,0.870800541366622,2.61447788440257,0.0138229857552281,0.0119560684138232,0.0136532508547792,0.0195424093613912,0.0165478732500751,0.0194280908211074,0.0115980662128155,0.00822229850614895,0.00258853238625463,0.000780775200114143,6.19879571086687e-33,1.7049217358897e-70
"20-24",0.00720134913022998,0.00436643103078047,0.00176069486904027,0.141372139439443,0.153083246010187,0.0169555275815574,0.0115865467746912,0.0144104178769285,0.00933329629525618,0.0115141255847655,0.00651938573586696,0.00522501653051172,0.000487445566191826,0.00110781122531018,0.000176937674100181,1.2185076019373e-47
"25-29",0.00704752172122197,0.0196720939660458,0.0062644813973325,0.0305745457342938,0.0939169414142664,0.0537740933126507,0.00956665998867839,0.0128569950235243,0.0155355777685003,0.0137022975184,0.00382937845116136,0.0070840350487915,0.00293226302997646,0.00211114695374056,0.000462478064740904,0.00128475672273475
"30-34",0.0141614923529233,0.0672496633464987,0.0451354549722648,0.0271677370233632,0.0174573549790551,0.0299437203934723,0.0276937356574863,0.0194986122469435,0.0216054114023905,0.0113343237170257,0.00991813911967028,0.00171150326420485,0.00379668943575099,0.000394069633326157,1.65226659393794e-48,3.10914025191367e-55
"35-39",0.0241246666656089,0.0404352526180277,0.0300566843576371,0.0144240739257273,0.00695468070171946,0.0195580605572975,0.0277624243000561,0.0210552009115582,0.0238737423803878,0.0115221361529595,0.0018319806067284,0.00482965471005005,0.000403000676729187,0.00186078379223661,1.84216644637472e-123,9.68792655111764e-67
"40-44",0.00781945463826578,0.0234164908137917,0.0188599849721084,0.0717448444547722,0.00339807528354679,0.00996251356258476,0.00995580405746933,0.0136716636168086,0.0299266249437236,0.0107627721606082,0.0128793726338272,0.00407281033906477,0.00407652834097161,0.000430521386850396,4.80705110709776e-68,2.40057612474813e-92
"45-49",0.065579346844319,0.0526726719166306,0.0346165100721928,0.116521769065881,0.0024732813430371,0.012488915506337,0.0245267738736126,0.0215317460484032,0.0205086774957702,0.0124355482960751,0.0164012785556104,0.00851855960346924,0.00248284192187884,0.00153109885079727,6.20345163918577e-134,3.27091104568783e-72
"50-54",0.0173004810178904,0.0938052975115294,0.119028342492682,0.120097419787461,0.00264538640260205,0.00679646502175046,0.0193025150440262,0.0193450342269299,0.024593362142032,0.0338784754269956,0.0183539709100151,0.0109849009205607,0.00365125519560927,8.24512576349643e-24,1.23707809748512e-117,5.6398241399573e-78
"55-59",0.0615616004524716,0.104480778541738,0.0917171918596127,0.0984854318754315,0.00343703543208299,0.0295631363486376,0.0116803757092254,0.0198787357266784,0.0255246579866195,0.0186334942500675,0.0172839988300059,0.0213145538518152,0.00760341319717831,1.07574098912923e-31,0.00078156610932906,0.000762204079489064
"60-64",0.036460112634207,0.0285519244679212,0.0147206571336243,0.0659256103124088,0.00884266623282361,0.00116132701725771,0.0108488212297261,0.0305434641715024,0.00682113436394508,0.0108847885047547,0.00894208667384764,0.00494073196983612,0.0186100260291107,0.0107716238616932,4.42140135807775e-67,2.12025583981791e-37
"65-69",0.00168261211334501,0.0203125866863907,0.00791268436751095,5.51145713443618e-32,0.00173820863246136,0.00168450749239813,0.0109476378286175,0.0048123261064735,0.00487565646912385,0.00787295018519577,0.00180792935601144,0.0141574041350419,0.00787228706820113,0.0172694096585625,0.0111228639097265,3.45670998836547e-126
"70-74",1.28347030027701e-28,5.10318827301905e-26,1.92723641246099e-40,0.00758890641052895,2.63249923076631e-22,1.69514870758153e-24,1.25712430616754e-26,0.00761235298532346,0.00784151103107851,0.0211321243495191,0.035186286167034,0.0214252270373532,0.00773672770913377,0.00801253525479753,0.00791284751003402,0.0213825768251247
"75+",2.82101045574526e-94,0.0211131488963429,8.45812971508271e-42,0.0212321265725227,4.89372895468825e-36,0.00758514671806936,9.76382056102847e-69,2.22932793494491e-60,1.43611995865584e-48,8.55475562565022e-60,4.6923613591369e-42,1.59766829209904e-46,2.2093370105283e-83,8.85804672778667e-107,1.02042793404291e-80,6.61413841950145e-113
