"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.367347123498237,0.550389677877303,0.347665840969474,0.177899883840118,0.291173799103824,0.433554148529478,0.45175279636741,0.374672915867307,0.189599977814558,0.0927328852097867,0.0916177728980695,0.0803699204447191,0.0525749665171766,0.0235785735317688,0.00831261817196281,0.00852979015281368
"5-9",0.395123746592779,0.619774079268896,0.558448336655053,0.241084453928277,0.0890994032225583,0.296218349686836,0.498037033490746,0.482695200789629,0.348201286332421,0.155518168246875,0.0774243712436097,0.0774331110179439,0.0509446895933524,0.0256394266454086,0.0126887926327188,0.00816518375495908
"10-14",0.313899346811843,0.709308170083019,1.16628251335983,0.553437023804401,0.144762919958569,0.110116974911151,0.252410598974864,0.476832992001204,0.470519751224654,0.26148121493287,0.107300154099673,0.0465301763604292,0.0311357356044688,0.0305241636404666,0.0220039950587409,0.00993567615631451
"15-19",0.171651678542141,0.292788198555552,0.623784857023634,0.914492973814017,0.323922739031921,0.134607554456517,0.0715615867050839,0.267485441326143,0.385028353484488,0.389151560801772,0.217830824881834,0.0730042021826898,0.0376029577833975,0.0213848528697434,0.0119419621718553,0.00706100538937178
"20-24",0.325648952794457,0.163475207548592,0.201113472491183,0.568169200163549,0.774406043871146,0.423675176535594,0.106574664408809,0.0539484580394544,0.164427220193508,0.339335070069949,0.230274579359195,0.123166715594502,0.0356924530387801,0.0109994518702707,0.00916942288040114,0.00653975760945125
"25-29",0.647302415453371,0.270233808286637,0.104440288637655,0.203602933115239,0.427455105155164,0.65073822719653,0.260518985548979,0.0652533440596803,0.0381251980773067,0.112942762386544,0.207682569049226,0.124610495521791,0.0661284850038104,0.0219169253659992,0.00415567073657256,0.00609461199539628
"30-34",0.573464559435388,0.699397151015852,0.381740606502714,0.0861954163801203,0.130332322440134,0.297087145856425,0.44168888669945,0.220822488953583,0.0856914456819888,0.0366722299555644,0.0650151748640862,0.0844052276870247,0.0779205349245164,0.0205328792371702,0.0109610984557591,0.00424348959615395
"35-39",0.556050958867248,0.873246549520854,0.799938045554033,0.346891357836002,0.0718955892084861,0.0836419287194696,0.207237975233719,0.468010849579469,0.179721387504656,0.0601683979974042,0.0377428349406416,0.0421252298775881,0.0763079277581195,0.0451627242896398,0.0209914083090052,0.00562311899671621
"40-44",0.363619401945129,0.660232272954682,0.80000975597154,0.589366483386707,0.188190611569747,0.0736345346675082,0.124660092671464,0.215326026131765,0.362300717790077,0.165297968442766,0.0556533435450351,0.015223171382761,0.039875667460355,0.0456869003049913,0.0198114494640213,0.0121476986495889
"45-49",0.210341480653305,0.409901968000288,0.586295202192071,0.706522124053053,0.411781283849985,0.154379035958834,0.0560354804535986,0.120098734771454,0.170885093054235,0.344088454262922,0.15122426863522,0.0352005834521751,0.0206288804858853,0.0139888942702228,0.0183071314351015,0.0210387137842414
"50-54",0.317929920844866,0.258945579257491,0.430516565209659,0.489413091137156,0.46792234789959,0.338331209976954,0.157500505768222,0.0655334542266628,0.103100086583154,0.176629161538405,0.29748067379993,0.137056341054177,0.0312124153487879,0.0113431667723473,0.0157268396996769,0.0214553379536655
"55-59",0.466640413372004,0.433095059188875,0.28767583180625,0.365192048560115,0.348513356408142,0.444221855806312,0.347978897651046,0.128977089678898,0.060250568527733,0.12179235124351,0.194996864349449,0.253140028862935,0.115174188596843,0.0393221446879721,0.00928637862472467,0.0127042498086771
"60-64",0.580299565485089,0.494238463703382,0.324563069899615,0.308695504152594,0.240174246139916,0.342789408545639,0.425315086416027,0.369775973875799,0.134930037375099,0.0697823351794553,0.105716036211071,0.181057424925806,0.23333210359158,0.111169832829618,0.0196968181922887,0.00423089407058118
"65-69",0.370566776671096,0.499850494416142,0.456784011007145,0.227359435940187,0.187205161811701,0.232081396503369,0.415761410513909,0.501392704924412,0.350155688854844,0.0889420346195083,0.0842062486387639,0.104824926112093,0.149498728041019,0.222656071493621,0.07167794186798,0.0109103617070841
"70-74",0.184913072942948,0.550492593845966,0.477177626680053,0.377336146846589,0.0895908399146621,0.207002018059691,0.182268307201168,0.432006963531646,0.380113468548058,0.319981901748748,0.175260386610683,0.0708610512023094,0.0900601348080121,0.119866459564964,0.162857243703449,0.0768728923557265
"75+",0.305105434466172,0.413289779692703,0.721018530364961,0.543149197831246,0.156260780235905,0.113559100666876,0.15998441087205,0.440126038849303,0.533606551198989,0.476543044650017,0.402638509408216,0.122599268284238,0.0524376994208792,0.103703613823761,0.115880562837875,0.104073186822898
