"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.321885486846697,0.0431145381436283,0.00787831873362994,0.00807998337928133,0.00535069850360307,0.0218292334824963,0.0401111680041205,0.0299507079462443,0.0140589212144158,0.0166672373686027,0.00947682615072382,0.00741204923623404,0.00128271103518053,0.000779290540248198,8.23607772453611e-66,6.37926395693888e-120
"5-9",0.0539489431896427,4.38116327231661,0.256959097162744,0.0271100993244223,0.031291137493015,0.0910750969131972,0.0833886780131587,0.102050827254688,0.0745645980205137,0.0612003209131279,0.0406535798405058,0.0129767083432332,0.00600314766125701,0.00162137362715203,0.000347237396898318,8.08951778482724e-39
"10-14",0.000456208613575317,0.997593102745795,6.10455363991088,0.180455542062397,0.021037479945847,0.0744933049874582,0.053075808211918,0.109667700350494,0.0860641553215707,0.0778440742994223,0.0428974674441831,0.0221357386343105,0.00665741606512597,0.000859479644579345,4.93520084844731e-25,0.000182172229516186
"15-19",0.00259116129040776,0.0407639817287431,1.80838389732234,5.90800697772199,0.0825935461666526,0.0805170088324521,0.0628811056778475,0.114690737289606,0.0725404871019486,0.0985555496962207,0.0427252300908532,0.0260661815298809,0.00702449474688166,0.00123959491499575,6.20656897413333e-33,1.70684095338396e-70
"20-24",0.00719201334248133,0.0250196507594771,0.0104258049767995,0.844710870157254,0.470858859676869,0.0575160594218125,0.0290168235050903,0.0436696357616228,0.0224980607313113,0.0310499029653525,0.0138101631637079,0.00995043524123196,0.000835549036500685,0.00137919614572725,0.000177144286817426,1.21969431016286e-47
"25-29",0.00704410791857212,0.1269273596108,0.0418007452928457,0.205901378591154,0.318582383067415,0.202013899594396,0.0261514535533873,0.0429402642333381,0.0407881075089245,0.0404935198226932,0.0087644664947273,0.0144670341347935,0.00534541499034673,0.00270713579887594,0.000463100522510085,0.00128619888311033
"30-34",0.0141302490383848,0.297776323941536,0.206119227796128,0.125123119831647,0.0437194099452857,0.0818542536279356,0.0578855404915226,0.0481897129091741,0.0436904351313747,0.0252707913121058,0.0179562613639133,0.00283323120898986,0.00576160733097883,0.000464029599489618,1.6536642791892e-48,3.1113338580017e-55
"35-39",0.0241050799267022,0.227626728642332,0.174825582591816,0.0846521860569433,0.0210756118022588,0.0653207290416894,0.0686132551249689,0.0628708399317015,0.0568113266159201,0.0306438097815612,0.00383590449195565,0.00910195637335028,0.000684502499596513,0.00230665470332147,1.84427072249359e-123,9.6971561102654e-67
"40-44",0.00780808111075242,0.0987587282439034,0.0819929621717302,0.314506032597216,0.00819111508735242,0.0261562254268868,0.0201326141517219,0.0325338748631035,0.0586093753947781,0.0231709754072945,0.0226663103272906,0.00657564248062784,0.00605467072173685,0.000502185089116973,4.8108645826645e-68,2.40216445759969e-92
"45-49",0.0655597473558781,0.256690728573657,0.174103948143241,0.591096011831872,0.00666964635238365,0.036907689892202,0.054684425784331,0.0572649655769494,0.0441527568176052,0.0296808696725136,0.031393000837054,0.014815440438894,0.00393207414497879,0.00183766905873875,6.20937358430502e-134,3.27351523921665e-72
"50-54",0.0172748860657822,0.333213030181723,0.435071787826327,0.442417709951272,0.00560378221678123,0.0155553677249248,0.0349461729594014,0.0405057255604004,0.0432816717204564,0.0648453718916917,0.0294118333410094,0.0163369819739871,0.00505600259222538,9.33328029322338e-24,1.23785608289913e-117,5.64278233754991e-78
"55-59",0.0614498421746983,0.320094240186679,0.288634596177679,0.312216729104875,0.00654543354820967,0.060373911159609,0.0193357533603532,0.0374634205143231,0.0412101255367695,0.0324072891522552,0.0257051364747137,0.029712790808714,0.00996906010331681,1.19055263645451e-31,0.000781963476312845,0.000762527295457694
"60-64",0.0363895482300445,0.0750792937975797,0.0396779973938182,0.178902186344494,0.0151575514547306,0.00211705934402271,0.0164634608617401,0.0518785172804544,0.0101311015324789,0.0172382281271941,0.0123823756436541,0.00647793993097124,0.0231821468960944,0.0116794202309122,4.42317586754726e-67,2.120965598218e-37
"65-69",0.00167973700996631,0.031661548906629,0.0125126541067918,8.75024493229977e-32,0.00216402451210882,0.00216005358038477,0.0128911937570338,0.00596542956453391,0.00568724819076536,0.00944934218244115,0.00204653172237922,0.0156683950771177,0.00853573704656297,0.0177686608930665,0.0111243923196138,3.45710621272199e-126
"70-74",1.28088270032772e-28,5.10748155888964e-26,1.92931431995629e-40,0.0075984228666577,2.63557323872973e-22,1.697430239536e-24,1.25818773268005e-26,0.00762104844963774,0.00784773177016723,0.021152297518898,0.0352084144526019,0.021436120137429,0.00773983280986338,0.00801363626962652,0.00791284868066233,0.0213825800200008
"75+",2.81655582537919e-94,0.0211299451540809,8.46647388629906e-42,0.0212560274167084,4.89849497206473e-36,0.00759366116897373,9.77070927446364e-69,2.23145178610406e-60,1.43707016243634e-48,8.56156664524989e-60,4.69482259404987e-42,1.59834579031569e-46,2.21007658896614e-83,8.85906207876391e-107,1.02042808651007e-80,6.61413937850802e-113
