"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.00647360052501457,0.00485293835013187,0.00623949072600292,0.00135185899111561,0.0149879301511903,0.00313020882894348,0.014915294054625,0.00671230175250481,0.00332285273425152,9.4489563514738e-09,1.31262074089447e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.00864964653896979,0.513229015068717,0.495202594681668,0.213258291497146,0.269693224671642,0.183719320540457,0.277848092598733,0.169696304946968,0.12458516379679,0.0682566221391095,0.0182995786309709,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0136307755255443,0.333762287242064,0.7779062756134,0.558266124780868,0.632069667802364,0.510354178406631,0.523098840241303,0.324556493604432,0.30981250054497,0.164343028097334,0.0606839594421266,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0131267995598924,0.219677749721985,0.554355884946396,0.699041579777872,0.67856575439961,0.485507173031898,0.60889828370299,0.330716338913014,0.339864659882651,0.181289345053754,0.0606111975643565,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.0201764598930627,0.161044922533834,0.521075748759732,0.643339864282613,1.14209784381324,0.734007278624751,0.892986692676316,0.564797511125333,0.425916517896729,0.286918934016487,0.07698940007632,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.00909272864082545,0.235398455012572,0.316764412720698,0.4428230451801,0.643256836259133,0.651392997682336,0.860292099307292,0.461200873485827,0.41982629827566,0.19287123761412,0.0399853280705801,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.0139486898395997,0.199583096890015,0.506148843233307,0.594552641821794,0.951307423759898,0.74606484077538,1.24083656854153,0.772373289843966,0.694022190048182,0.277997493672803,0.0795940124269791,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.0144174367102474,0.193265401479209,0.267241806968782,0.346240615543005,0.602219377003334,0.485200650879665,0.681441147068599,0.515224463385218,0.414906448465281,0.24375386640786,0.0491127159865192,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.0191239917617998,0.17734222250401,0.272891101713038,0.427952390901589,0.676717992877038,0.516419105296375,0.949315233775615,0.709370840062255,0.673753380425441,0.377385779188726,0.0720065127582605,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.0350438550353201,0.141728202022221,0.218671238599913,0.301188660959175,0.568082235568548,0.392533168285583,0.681233442699301,0.416311198392979,0.482533223971258,0.348605753987516,0.0807821168045636,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.0139998570535094,0.0227427634372823,0.102855166221142,0.1372789898997,0.205143915331299,0.177669470294547,0.26079488367726,0.197277941137876,0.18844297792097,0.167942419027411,0.0327913903135091,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
