"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.321884356339694,0.0429593200835726,0.00786188991649658,0.00807523798841333,0.00533465134087154,0.0217715658215287,0.04010688801543,0.0299107836271602,0.0140671453881273,0.0166644275289274,0.00948649736945685,0.00741543234334085,0.0012825627202577,0.000779362251039537,8.236100487433e-66,6.37927446262434e-120
"5-9",0.0537547198333341,2.99841913921791,0.209594674242561,0.0253671551762502,0.0148219845767464,0.0531960358506046,0.0801778968739609,0.0768519219623847,0.0835409053917013,0.0581905056175293,0.0514694090249545,0.0146905136557761,0.00567374133463488,0.00170331755613047,0.000348153259312722,8.1021372315011e-39
"10-14",0.000455257272541716,0.813710056212581,5.96391140557112,0.202828057120582,0.0112866042888917,0.0504017741518338,0.0596774120936402,0.0963778386313846,0.113385882020346,0.0868463107066848,0.0638203024974793,0.0290678274898817,0.00712655079304393,0.000983410269679474,4.95472319862686e-25,0.000182625474571977
"15-19",0.00258963949604905,0.0381432114187538,2.03258369474299,7.6525159981137,0.0492281405713178,0.0613896562391761,0.0800564916065829,0.114056648357885,0.108557080962412,0.124785560101151,0.0721312449812916,0.0385146647968952,0.00832877191632882,0.00152411641343431,6.23827897440011e-33,1.71248679596042e-70
"20-24",0.0071704439327311,0.0118513070275995,0.00559344253537948,0.50347209180626,0.21701503412822,0.0283773030269722,0.0207634697562793,0.025758214859329,0.0177760208379694,0.0216680445395428,0.0120520374588797,0.00835533056953727,0.000663254775165016,0.00127928049008346,0.000177165032130347,1.21962450412445e-47
"25-29",0.00702549905502255,0.0741369770785313,0.0282821620544699,0.156988132497401,0.157182340275739,0.112203005228553,0.0217884713221099,0.0291877627103359,0.0382032480758442,0.0331930217547563,0.00907125510847454,0.0139296586660841,0.00463815268185045,0.00263822157924464,0.000463437055476503,0.00128665719178372
"30-34",0.0141287412960505,0.286310803352995,0.231756472713502,0.159299329816342,0.031284149555587,0.0681980852086894,0.0692921943887809,0.048618606022464,0.058670273242933,0.0302904912214416,0.0258809380738294,0.00365610403071564,0.00639369940835488,0.000509746711743854,1.65629548133087e-48,3.11454864131246e-55
"35-39",0.0240729478347241,0.171419988027288,0.153639692761151,0.0841841708057282,0.0124312952839298,0.0444004240163653,0.0692239197425186,0.0523187903966809,0.0645941584623846,0.0306814424168103,0.00476349189017221,0.010285482575822,0.000677073634911647,0.00240386169559786,1.84663259091913e-123,9.70468207705974e-67
"40-44",0.00781264867425381,0.11064759673966,0.108022257356337,0.470659327057452,0.00647191036676058,0.0244986303542625,0.0270353446887014,0.03699083252377,0.088562254809311,0.0313208750302202,0.0365536925660868,0.009357882628052,0.00726118905204223,0.000574856958295195,4.82044039628646e-68,2.4053461833587e-92
"45-49",0.0655486949915812,0.244066747692969,0.194238106262903,0.748412921822762,0.00465438472988823,0.030253674140303,0.0655467452013011,0.0573352907609742,0.0596825534624907,0.0355923642035978,0.0457923569270848,0.0192950646645016,0.0043737778958053,0.00203152147668709,6.22029708709617e-134,3.27724753698675e-72
"50-54",0.0172925153014644,0.421863900058801,0.647273947892708,0.746915584835879,0.00489038343627494,0.0160998628979657,0.0503690450896004,0.0503007036846576,0.0697998438639119,0.0945886769521252,0.0500052864571616,0.0243579926492178,0.00632730287816631,1.08384384496917e-23,1.24031082969169e-117,5.65033816663397e-78
"55-59",0.0614778899373544,0.362368382044262,0.379024200995035,0.46132275460725,0.00549616772436378,0.0581313327219744,0.0249515555149188,0.042334784207379,0.0586466674543956,0.0422060175917826,0.0383256544137209,0.0396328809417777,0.0115374099588389,1.31459847972153e-31,0.000783007729064422,0.000763207033788863
"60-64",0.0363853406471285,0.070959522675697,0.0424740261127062,0.212119954400608,0.0120319908742439,0.00183694708303248,0.0182696275404278,0.0513154828355033,0.0121499329878771,0.0191746590643136,0.0154958466930185,0.00749706069556965,0.0244068212395383,0.0122115078667688,4.42630974938563e-67,2.12193495491133e-37
"65-69",0.0016798915803916,0.0332617178445619,0.0143168865338149,1.07586694343081e-31,0.00200725208446941,0.0021050661627178,0.0141612596164739,0.00621682456733602,0.00651025740680982,0.0104461363665608,0.00237657151735321,0.0173009136407403,0.0089246056766495,0.0182600786352972,0.0111281609402241,3.45788427782377e-126
"70-74",1.28088624043525e-28,5.12095289128019e-26,1.93694617748696e-40,0.00763724399184506,2.63588188990074e-22,1.69866375408853e-24,1.26018967847916e-26,0.00763080835824724,0.0078633523338923,0.0211895085479736,0.0352782349621446,0.0214647464455811,0.00774531658943741,0.00801635105655073,0.00791287482784863,0.0213826287305996
"75+",2.81656046382177e-94,0.021162907343322,8.48753849883156e-42,0.0213263375322219,4.89821461941791e-36,0.0075963670030576,9.7808048522908e-69,2.23318361674125e-60,1.4389735971237e-48,8.57132811381305e-60,4.70110908092437e-42,1.59977060081967e-46,2.21108667255076e-83,8.8610559217684e-107,1.02043041109686e-80,6.61414969003386e-113
