"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.815370120998771,0.581052810458227,0.350546274797228,0.17121389598318,0.331073682790713,0.668737631868593,0.764024794926888,0.650175771819813,0.269221027520919,0.115774065938992,0.157108827892722,0.109729562524365,0.0870390543578921,0.0226522115456943,0.00935029701454355,0.0227087700183292
"5-9",0.329674094273621,1.08751893529018,0.512704962302237,0.194707142474495,0.0687939416103789,0.31279347890543,0.732332759312987,0.698756636065273,0.429261298861405,0.170728335309376,0.0799925565504574,0.10163226837112,0.0596745803703355,0.0271033349796782,0.0143596015225132,0.0208045415088953
"10-14",0.173054428210347,0.448195615851278,1.52329838943515,0.429674770389543,0.0882720449534715,0.081117811566155,0.261749336585992,0.503636225707245,0.509469575047614,0.244386636539961,0.0847551697490727,0.0333382314578022,0.0240178501938804,0.0222233416581882,0.0224355472407476,0.0161583513445424
"15-19",0.0714249417940699,0.128046881351506,0.368339233423518,0.996277918892341,0.203643627016619,0.0595254238930254,0.039942938300471,0.188546836753845,0.357119892476157,0.366676084941434,0.175423349980493,0.048989291646521,0.0219364218259538,0.0137068213126812,0.00690077966206446,0.0102670927234041
"20-24",0.193199118611625,0.0975285351145374,0.121308700130653,0.462299425202084,1.26510722359538,0.356047570763136,0.0694848745299072,0.0299636358652953,0.189256366845432,0.467623844449024,0.317703812715988,0.121819380687897,0.0290160751008818,0.00630335663236307,0.00915685117699473,0.015099816202323
"25-29",0.693328125471193,0.268541386985966,0.108175935149782,0.176559955174721,0.514866594282814,1.68104258040963,0.36704911649339,0.0635654436946606,0.039778372331104,0.20560436125894,0.42101266604127,0.233830591384617,0.105206777406992,0.0287727922388674,0.00637235947918153,0.025215659603078
"30-34",0.895706742212867,1.01601314059685,0.567914677901199,0.108432578251993,0.147146879204057,0.459855619823591,1.58502240573406,0.388702916494486,0.13846634556227,0.0471072724185087,0.110955756950495,0.182270217103156,0.15766522038884,0.0284756725851314,0.0148102372349018,0.0134887271778506
"35-39",0.710632502406313,1.10936433430227,1.01875588138741,0.411571409879183,0.0610586963806042,0.0778718331426069,0.282499205812068,1.38480760056464,0.248127641972029,0.0683572807102416,0.0381386084739872,0.0516990258386237,0.0938641141620002,0.0589775821689851,0.0273738270136073,0.00903494051445725
"40-44",0.342654275002876,0.657218029971692,0.903888869464338,0.734862689881571,0.225198917247911,0.0640289579922372,0.136924002182718,0.241114948344522,1.02320477953941,0.216399948583939,0.0688886938083872,0.0172487298011554,0.0545048389227398,0.0499750544074029,0.0239042575326103,0.0176915962624146
"45-49",0.149983618709374,0.303214675253457,0.451266952059058,0.632546775853375,0.400125888727153,0.146928938179448,0.0404383297555841,0.0900008646733175,0.161469597572603,0.694941839498731,0.156376199120104,0.0307055682296526,0.0162633387279269,0.015014367949952,0.0146132432562115,0.0354336580135136
"50-54",0.169636069798007,0.144387617736843,0.225590568734032,0.267189797906334,0.285879965512717,0.209210533163148,0.0859406847364617,0.0333229939590043,0.0630350438845234,0.12016150149815,0.403686471900832,0.0871074121801925,0.0195814301380158,0.00746300056019951,0.00752412665838997,0.0267884508464328
"55-59",0.202979399650044,0.21586477710538,0.135264625675311,0.161792564546485,0.13585415473709,0.181560010777132,0.160568343462474,0.0521786353090159,0.0278716368093487,0.0593038417357029,0.0931058309279049,0.285824728379553,0.0632669389754058,0.0212182442241745,0.00464696931718901,0.0146758588264779
"60-64",0.143839868681064,0.138378099171937,0.0914561486012023,0.0784914054069769,0.0510896122854425,0.0761090824327764,0.106955264113989,0.0775764071945824,0.038410986643907,0.0180994090565534,0.0308678376251742,0.0596596065999697,0.161407533911552,0.0343649799460881,0.00664524182048439,0.00238594903067033
"65-69",0.160946650844692,0.259189014465462,0.233731019352087,0.115928505958289,0.0729417178192078,0.0947665220561138,0.150051393391701,0.223132568899435,0.156312657415879,0.0567604147511129,0.0486695868900083,0.0604872838969392,0.088591993253515,0.287119457061838,0.0359716475387626,0.00917534522933539
"70-74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
