"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.38478364595879,0.530130413707286,0.239123763727299,0.157359865849741,0.363901883467357,0.839049372955038,1.07067792463036,0.762370858245322,0.435956025877596,0.224377700746104,0.19583933652079,0.118534788976306,0.0526098022013866,0.0764133667534876,0,0
"5-9",0.57723096207704,1.92275650927237,0.621131258271184,0.153490201807079,0.177825815592044,0.532814573047517,0.718278211910598,0.662073571063217,0.472969753787068,0.165122325209546,0.0954813679347341,0.0717265152302227,0.0445384155394681,0.0561011181757077,0,0
"10-14",0.163932352349843,0.770746108137788,2.40312115731331,0.334622249877526,0.302764651481764,0.386573258435541,0.492731977529081,0.488895819068038,0.476775184077229,0.220086939457824,0.104412045505172,0.0470701915211769,0.0220851153942656,0.0385615188056396,0,0
"15-19",0.0797370707500227,0.221976928592426,0.910427771836644,2.4323434332077,0.805526218347071,0.568827668371687,0.397774000863369,0.395187349192965,0.341780599449787,0.220871198890983,0.0720076248914969,0.0259233940980129,0.0127035028674543,0.0195225020342201,0,0
"20-24",0.154851146848112,0.174423818272965,0.229222446556011,1.31498879539268,2.90903057612966,1.73612705690582,1.13597998969195,0.626123309794572,0.411211876089467,0.348464684771971,0.152822911155162,0.073374469162906,0.0197361097767744,0.0256010405025838,0,0
"25-29",0.404116396399039,0.185782665573368,0.147428539239629,0.513438235610323,1.96219168054389,3.78042114323927,2.37355495197109,1.31883551158658,0.744705876373335,0.489935861112356,0.299072107451465,0.116256871411797,0.0306213643409242,0.0385281917680279,0,0
"30-34",0.450748872574957,0.283325660553556,0.379354089506132,0.269389629342945,0.975709763339294,2.16574085289506,2.99919856936068,1.77684374869965,0.94428499469294,0.524248875475775,0.384002732624713,0.200925132359603,0.0614825286776578,0.0757628621605693,0,0
"35-39",0.339420476738368,0.35381845138521,0.234919254695236,0.154904842273807,0.504789527346551,1.33764104018022,1.8484662733064,1.86870394440792,1.10037792926116,0.513185079897078,0.252632249322147,0.145158759713272,0.0833378243089073,0.0985335716069168,0,0
"40-44",0.196209502600712,0.225172526241255,0.310958319932065,0.177890994447281,0.436824249975455,0.791908722538675,1.20690771192598,1.08215711842868,0.991235610575771,0.438635263907988,0.217350140233761,0.0741216941246016,0.0469371129369316,0.056349933172537,0,0
"45-49",0.0430753844128435,0.0626229043080684,0.0719055728047493,0.122133550050905,0.229663831197556,0.430426433869887,0.58285195100982,0.540264426733947,0.437737837778347,0.326019641759717,0.183207580407076,0.060811160677038,0.0289121360837718,0.0323772922208372,0,0
"50-54",0.0494771470893981,0.0821270742204171,0.0821788955300678,0.108796884786683,0.271813388674624,0.52093945081297,0.421543642709775,0.339299377852217,0.324243640886594,0.263197673230531,0.149310032583762,0.0857691379492213,0.0348437506311734,0.0325537271580515,0,0
"55-59",0.0488323027325503,0.0384301770007214,0.0364413690211083,0.0385176733512154,0.131957356647756,0.335822896060251,0.384264137304689,0.264562255007229,0.218367482041982,0.111831236126878,0.118515969495926,0.0802265226438696,0.0347239408410891,0.0331502467419899,0,0
"60-64",0.021940583168328,0.021220092654524,0.0160973741417517,0.0227768233436865,0.0656726880254066,0.152586100543924,0.17388583758526,0.172937845408004,0.125942785471145,0.0741093806836897,0.0484328236816102,0.0435200833372274,0.0253020583045491,0.0315539869465449,0,0
"65-69",0.0356711548521739,0.0417121175066665,0.023363011187604,0.0219042584559459,0.0874748623635267,0.206277982487802,0.288328563231456,0.214416050520417,0.172361578622956,0.0995893714506321,0.0794823806299313,0.0624056243842219,0.0395619118565255,0.0589475758991345,0,0
"70-74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
