"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",2.64774210005223,0.964457448470135,0.446317811704347,0.36521859309014,0.622582587781794,0.823984395644092,0.788576529237438,0.599389692101331,0.387431345707491,0.258665154721086,0.315443679500442,0.217181704659465,0.12080117424423,0.0613199121413924,0.0584318589213577,0.0245994659676692
"5-9",1.0501466930931,3.32836722846654,1.10309130894924,0.338958208448894,0.289477005985782,0.497867939824485,0.503366474712443,0.495285747619803,0.399937414589382,0.181121758570008,0.146334635182125,0.125044252355638,0.0973073948818494,0.0428361373448398,0.0308626968910021,0.0203927339708836
"10-14",0.305975147044639,1.36879817586325,4.37849516750338,0.758126091961212,0.505644819483293,0.370587703140632,0.354261105031989,0.375220910230517,0.413612293929688,0.247673893895872,0.164172431773905,0.0841881756406342,0.0495030418335241,0.0302074486723218,0.0325810894988911,0.0250882658830706
"15-19",0.185062821699783,0.490200033271482,2.06268127396816,6.85249843176824,1.6728519034149,0.678074371883855,0.355620296264993,0.377147439794576,0.368692772958965,0.309073998496561,0.140787966004573,0.0576546601401635,0.0354073255698992,0.0190165974445808,0.017229779881189,0.0102367274117431
"20-24",0.264927531583728,0.283939002434273,0.382822572064078,2.73086270718269,4.45327859109275,1.52556911352023,0.748642695712027,0.440475510185075,0.326991626042795,0.359447872582002,0.220256777598921,0.120293258981604,0.0405494484116899,0.0183826753582995,0.0305849029659375,0.0215620449255545
"25-29",0.396860560760557,0.173597415767127,0.141332082708723,0.612047072374712,1.7242165604971,1.90681855181342,0.897887662934512,0.53256341737943,0.339918315591022,0.290091616948645,0.247420412686962,0.109404139167139,0.0361132636773551,0.0158799280699196,0.0151183265252335,0.00682004119128683
"30-34",0.331985906607315,0.198553480508704,0.272745437835755,0.24084133098121,0.643020118388668,0.819274056121126,0.850905757170834,0.538125367165113,0.323255856648774,0.232802149348024,0.238257982024283,0.141808712238785,0.0543810327905398,0.0234196179142984,0.0179370756823008,0.0149168926071879
"35-39",0.2668584886801,0.264685442638325,0.180297341763837,0.147833590307625,0.355117627974921,0.540157341326328,0.559816580801373,0.60413321445693,0.402108421800295,0.243266039178064,0.167324647088371,0.109362866137572,0.0786857109410558,0.0325136436965667,0.0291354853781618,0.0103190593945571
"40-44",0.174370136254373,0.19040312252616,0.269762748395876,0.191898323464763,0.347358333014976,0.36146388474614,0.41315915058198,0.39545003535602,0.409437183521322,0.235028264371057,0.162719702161755,0.0631220447542538,0.0500932460551199,0.0210176380843131,0.0243236115579825,0.00919167181994867
"45-49",0.0496577910227644,0.0686907148421316,0.0809186281259464,0.170906414482066,0.236902558969539,0.254856012979462,0.258825899862222,0.256102510280956,0.234547408126688,0.226603430443555,0.177922068734829,0.0671777074980072,0.0400266409885031,0.0156652450746187,0.0212385805764241,0.0146783273022133
"50-54",0.0796941697533142,0.125867859924618,0.129214106039103,0.212717641219684,0.39175239265617,0.430969825315393,0.261550580540667,0.224726450438365,0.24274577700371,0.255604459178595,0.202599811462182,0.132384334821664,0.0673996326734712,0.0220070106677219,0.0220646745555886,0.013313852530042
"55-59",0.0894714778799855,0.0669971590774455,0.0651778179902661,0.0856648384103522,0.216336563096815,0.3160278993398,0.271205507398642,0.199321670538938,0.185961777278816,0.123539264602603,0.182928943470921,0.140857192146137,0.0764041847853481,0.0254919234655059,0.0214924517783391,0.0104453975569444
"60-64",0.0503793608687501,0.0463615939263353,0.0360817216176253,0.0634837814414252,0.13492989779967,0.179952206606214,0.15380127719065,0.163284048118458,0.13441139743619,0.102598769108981,0.0936855093480961,0.0957586151983256,0.0697703772070083,0.0304086515695126,0.0324435693137378,0.0121856091287988
"65-69",0.0286252546439131,0.0318493829100426,0.0183015862222007,0.0213366332168201,0.0628108063294675,0.0850203285956625,0.089127371803196,0.0707519980830221,0.0642881557294147,0.0481847555367013,0.0537317767002974,0.0479887650007941,0.0381259076739455,0.019853476821912,0.0160015100476103,0.00854565125630478
"70-74",0.0163146946396409,0.0291090381591556,0.0379222194197022,0.078375233531179,0.0732877041811038,0.0926186371740397,0.0789976905418115,0.0973965843787169,0.108860344771666,0.077343776405147,0.0638230649068439,0.0525707562806559,0.0724788202480377,0.0390415732064757,0.0547422007791876,0.0178624361700732
"75+",0.0225300214662217,0.0192913973237969,0.0257645693254352,0.015763241484968,0.0347896389517821,0.0402601118542752,0.0633036132284907,0.0450075999369582,0.0409850133391632,0.0479127228836169,0.0352580126218708,0.0280632150858663,0.0222491554600956,0.0177294681341705,0.0234906489144433,0.0142644453668984
