"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.336782419658951,0.707781662174748,0.462239661842115,0.216716212113429,0.35212545662603,0.478181380484209,0.428341051748135,0.374323053768618,0.206230850005381,0.100212841978602,0.0884177340248296,0.0852346770906441,0.0525263589969443,0.0277342026281204,0.00805909455584416,0.007729268989187
"5-9",0.486001182386067,0.618079698835024,0.713864903627123,0.287120794530264,0.110473519813595,0.379122846017421,0.50493686685853,0.476662821451266,0.352311135974155,0.168008743382444,0.0903126845661751,0.0905011134155619,0.0613956151840786,0.0301965581396812,0.0125630206823085,0.00786498876485997
"10-14",0.3795598693778,0.860819474097656,0.998547498809327,0.533289271830218,0.137516296082944,0.123081147955162,0.273991204932062,0.437805520285599,0.403651826844504,0.229924657045697,0.105456693484863,0.0519404526362078,0.0340965396795742,0.0334996903853518,0.0193985246031964,0.00905354830528893
"15-19",0.224495182858967,0.390883733570153,0.71306875810037,0.750817258012056,0.321085614688831,0.136321653603221,0.0754830708281622,0.278638576432249,0.357524567082568,0.327632043686198,0.198225708851421,0.0851863998467533,0.0436916849861221,0.0262791803189558,0.0113671982759442,0.00781178836785094
"20-24",0.420264784973694,0.227335052534024,0.228185945369162,0.558279735810979,0.591303799440559,0.38974181308937,0.096739706659266,0.0533751077679409,0.157327567818153,0.282859230980979,0.18274834036767,0.116119750245789,0.035602063370399,0.0138291787787082,0.00764587555261298,0.00591837584092663
"25-29",0.690241211537359,0.347177292874968,0.124206982172102,0.180473678086187,0.349662513240375,0.456739680589952,0.219731826887747,0.0606795640168922,0.0325025804626853,0.0864851053405547,0.145651673389568,0.099603266705546,0.0545168920310496,0.0203957144647202,0.00310752201129124,0.00536074545388646
"30-34",0.521908380905022,0.718409300372284,0.439069855399504,0.0779203683014899,0.100731219020764,0.246833676815993,0.282263416273678,0.17844623441846,0.0665149814921342,0.0298407002319129,0.0443381030102136,0.062361429411931,0.0553285078328306,0.0151692266286976,0.00831723443434658,0.0038393464387652
"35-39",0.439729269010243,0.723011784020641,0.64115947317373,0.255140219302934,0.04737588803346,0.0596412030616038,0.136581969816048,0.247330904867868,0.113650416808775,0.0378928920622889,0.0255803039952321,0.0257765529000705,0.0410307235263808,0.02617764977835,0.0109541955266097,0.00433498196729801
"40-44",0.32111044668274,0.591200866676403,0.656186432812538,0.429764088279868,0.133093783649044,0.0511875593433789,0.0822439632730895,0.145663322152873,0.198855050285433,0.10853549701383,0.0375605016696405,0.0111402984030291,0.0288271317954472,0.027757387661321,0.0123815115302238,0.00764763165840517
"45-49",0.180295096994802,0.377572469392786,0.497144146094739,0.491587313692633,0.277260241447016,0.0996181325043006,0.039383840338458,0.0826713422035408,0.116077756142497,0.184660381439633,0.107214794311036,0.0305966146900298,0.0161568698658572,0.0135185332120064,0.0115002874309701,0.0152842331222161
"50-54",0.23390401932623,0.233942297382856,0.363939305496032,0.338417286100738,0.276059120147693,0.189958004566898,0.0876310461835848,0.0454205222568991,0.0673126123344767,0.118200913621297,0.159374242715227,0.102269643089158,0.0251134738275274,0.00973534044937185,0.00932619820747307,0.0138151431540169
"55-59",0.386787494400819,0.412685046007234,0.272145893909813,0.313039295530264,0.239238944515145,0.28779149080547,0.216261134821324,0.0841503901772557,0.0447806074722041,0.103362415758608,0.147903316906996,0.163805231763391,0.0969474133471046,0.038858742194293,0.00741255884542969,0.0130030427554481
"60-64",0.35234131900361,0.366017653600763,0.234804702651033,0.19994565280505,0.131812443995414,0.178273687562621,0.196361378017837,0.158800590014263,0.0745908317846981,0.0412244904535053,0.0697988493922264,0.12389172004783,0.115916943996892,0.0774019256475612,0.0159063259052795,0.00321993677996351
"65-69",0.255316364809136,0.374049142392777,0.334305053480109,0.157522976638771,0.121904504755712,0.127505724771625,0.189272568348535,0.228418271756164,0.160366373173992,0.0651076072248143,0.060905309590448,0.0813693345972569,0.0974166455015549,0.127016801609295,0.0414860922846461,0.0102446609402213
"70-74",0.173376111233508,0.550126883207323,0.467327432154799,0.324783842917318,0.0653865717331128,0.150507603389619,0.138937417007403,0.282970634730035,0.278787158696204,0.230011704323037,0.128351454449873,0.069950206000796,0.116899168002218,0.1138008057808,0.110135558135394,0.0899484619104618
"75+",0.195758912285668,0.262829816016988,0.427612745788438,0.341109089154539,0.0749126897014617,0.0681771533108849,0.0885613644870365,0.225404898613225,0.211149645582458,0.218546206333185,0.189130573435044,0.0955070084170531,0.0370752739363224,0.0852758551180367,0.0673148081930572,0.0600226018685709
