"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.48262677958767,0.277778539989525,0.167737756915359,0.118423402270344,0.170067669290027,0.26640234786023,0.34700953882388,0.320837561494022,0.216295264246349,0.128057192807909,0.151102027869562,0.142165065562077,0.113711926308819,0.117784457491441,0.0765721147479754,0.0318900152253141
"5-9",0.302458356918648,1.51470040325634,0.655055291594549,0.173664357872875,0.124944961087109,0.254339085828094,0.349994917629104,0.418901245962871,0.35279642432746,0.14168261366642,0.110758094752314,0.12933416711661,0.144730676109512,0.130009967205402,0.0639049789983749,0.0417719150054543
"10-14",0.114993360092725,0.812841585234039,3.39283206331099,0.506847111295307,0.284787700331681,0.247036395648738,0.321419274306633,0.414108215417878,0.476098235138999,0.25281169376954,0.162143510308128,0.113624406423932,0.0960765995800497,0.119633107881371,0.0880313614170395,0.0670579956191391
"15-19",0.0600072652216512,0.251152714067373,1.37901076921011,3.95259684487276,0.812888920640804,0.389982672400851,0.278376791906645,0.359117046539692,0.366155700874252,0.272193305554849,0.119967309040808,0.0671356175840113,0.0592893794708394,0.0649782775804725,0.0401651679743451,0.0236069079308017
"20-24",0.0723688852072362,0.122554630857296,0.215612136686373,1.32700810748898,1.8230295530325,0.73916263128632,0.493697823385306,0.353335081026616,0.273575965845734,0.266680353010717,0.158112715889261,0.118004888145049,0.0572016908246355,0.0529156620457888,0.060064394042965,0.0418897770242326
"25-29",0.128308965216625,0.0886833726306938,0.0942129703873171,0.352008220361839,0.835410495971336,1.09348229382831,0.700814205459731,0.505627391830029,0.336596927542628,0.254732614870264,0.21021674906458,0.127024276832209,0.0602955033991108,0.0541026226990445,0.0351405039354968,0.0156819249443639
"30-34",0.146088898257261,0.138055894754045,0.247460529689528,0.188528713859225,0.424044253232867,0.639455157249638,0.903942612008866,0.695378458946329,0.435672842238827,0.278236989772306,0.275522933181916,0.224096150595239,0.123578848269391,0.10859956823557,0.0567458897997654,0.0466841269970966
"35-39",0.142842340968434,0.223864834072595,0.198983074787972,0.140766068462641,0.284863773247637,0.512837229820628,0.723408363558557,0.949617811824263,0.659227971645474,0.353661459712369,0.235368631586488,0.210222761834064,0.217505846771933,0.183397033260372,0.112120079720479,0.0392834264427941
"40-44",0.0973474013284578,0.167960131654549,0.310516805961662,0.190577820554824,0.290615672942949,0.357931972014005,0.556841330879916,0.648312023726654,0.700093519178892,0.356371252376338,0.238728969941245,0.126551480864942,0.144421069364287,0.12364794190064,0.0976260051472155,0.0364955638666444
"45-49",0.0245840508601703,0.0537333564464383,0.0825972213390755,0.150512764336979,0.175761947348084,0.22379184646746,0.309339666555721,0.372323189574636,0.355642134359501,0.304693257251549,0.231477400525713,0.119433221087571,0.102332673592782,0.081724819442803,0.0755921575534668,0.0516815974735666
"50-54",0.0381746455601119,0.0952671548909207,0.127617216289763,0.181259547437489,0.281221923948126,0.366166536701061,0.302458631243897,0.316113364297319,0.356136648062912,0.332542535022018,0.255035259688354,0.2277293347762,0.166726686161329,0.111086234017221,0.075985581703604,0.0453571248884872
"55-59",0.0585671732280037,0.0692956421844666,0.0879671144409098,0.0997518989433284,0.212221134800479,0.366925928744913,0.428578112506418,0.383146067343963,0.372829150109633,0.219636734443732,0.314676858588021,0.331117851913109,0.258277113480576,0.175842149902561,0.101144161069702,0.0486281713805367
"60-64",0.0474228351374353,0.068956165588652,0.0700282041591184,0.106303256389528,0.190340894864338,0.300452182390432,0.349507608117517,0.451355585729651,0.387514071879531,0.262305456839766,0.231750143070028,0.323702933207183,0.339160336498777,0.301635706303196,0.219557709683978,0.0815784438417531
"65-69",0.0549839354142148,0.0966645800556928,0.0724813162035396,0.0729056646350978,0.18080477056638,0.289662694913151,0.413294278805837,0.399084970813035,0.378210820485244,0.251377519303085,0.271225420426815,0.331024358374793,0.378186288970831,0.40185905823322,0.220969653170953,0.116741411494733
"70-74",0.0213796153859507,0.0602738146570099,0.102462644890549,0.182704273735103,0.143926614622272,0.21527948736141,0.249917786004825,0.374804560943721,0.436925271301604,0.275281246350709,0.219791717336935,0.247399649683785,0.490491154668289,0.539136798028113,0.515737125292711,0.166477268252702
"75+",0.0292072489918585,0.0395159673291798,0.0688656754917404,0.0363515970933986,0.0675877554042444,0.0925736421001454,0.198115921134265,0.1713385565377,0.162731133268753,0.16869810891601,0.120115652340413,0.130647285107602,0.148950410278486,0.242200749007507,0.218932010366634,0.131515593740817
