"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.498192650125061,0.586273258799582,0.351304267223242,0.169579258029881,0.282276556960799,0.447981808145018,0.515189659683551,0.46176728229118,0.222730747860387,0.0922429348707343,0.0894911448785288,0.0734020913048705,0.0498318592459852,0.0220445589452522,0.00751513239041586,0.010025751415188
"5-9",0.394725641195179,0.802369536452161,0.576404084293534,0.227058765347483,0.0835476311398639,0.299666886442253,0.532452525986176,0.561451469890344,0.414275531666614,0.162892893281914,0.0771317264232893,0.0747981285082801,0.0471150343528725,0.0241608140670998,0.0107283441713816,0.00961755633803899
"10-14",0.265518451034789,0.646175393151329,1.28558402656277,0.486425067312326,0.108813697127146,0.0913344981694089,0.233656410524894,0.458699898209898,0.503391204978334,0.250043547302163,0.0985729088296076,0.0402940049616093,0.0256032373925145,0.0254449595032366,0.0176590143645079,0.00983115619594459
"15-19",0.146574938844826,0.259210882588008,0.568626204061349,1.01597256285368,0.277828265350485,0.100219979194075,0.0590949010558233,0.247643571943325,0.393956002740852,0.397493624455884,0.213638205302119,0.0718270307863619,0.0325987989751435,0.020170850080665,0.00940901389949695,0.00765522375288516
"20-24",0.306874711672698,0.162244327684664,0.17521460790283,0.530980288612302,0.957180269236954,0.365644562200326,0.0871111906675549,0.0447146155908218,0.165849555779012,0.375063504646557,0.247025862592303,0.127890754990299,0.033077036471213,0.0105039944027522,0.00772482697469815,0.00768628638238909
"25-29",0.675813698570049,0.308063236150874,0.110593307274785,0.179254824281541,0.396880428886331,0.844228338784301,0.269925601849798,0.062791548567477,0.0347698468925617,0.112189701273917,0.222738849012455,0.141473292277989,0.0690849777505467,0.0220197997271337,0.00362173762374964,0.00890472860274093
"30-34",0.639860362968631,0.78747802848507,0.447270069887956,0.0860569345382196,0.11653080793643,0.302248432443491,0.622922845025709,0.242731131871491,0.0886439199176447,0.034942011926702,0.0592126660661374,0.0861698739599824,0.0773884765308117,0.0187933712653961,0.0101165896190151,0.00566073521352088
"35-39",0.538028239236389,0.861433231331399,0.753592792569653,0.307880753803198,0.0556180177739678,0.0688723957102153,0.182837019654428,0.550982256335106,0.162575393212114,0.0499582318377676,0.0326036214812589,0.0325059397660281,0.0531869967948547,0.0337700202927746,0.0147804018495992,0.00523982143030173
"40-44",0.347957180352709,0.658102943812701,0.77795140523905,0.534855239719173,0.159727002519759,0.0584205709092343,0.10410224582069,0.187678723882784,0.430179031482271,0.146115922687923,0.04910179219078,0.0133512873396953,0.0348210757038908,0.035473121279022,0.0152868387675767,0.0100349980361029
"45-49",0.196904498004703,0.409742547788758,0.568602181160278,0.639419050919644,0.363265871360128,0.125094222484369,0.0474550591264263,0.104209059210096,0.156245487676678,0.385312195548856,0.142161252719074,0.0368620880507007,0.0189557660879621,0.0154310469035191,0.0138447318204163,0.0208084317234897
"50-54",0.267910432030206,0.252289345084796,0.404207415446467,0.42387851574504,0.37164115095005,0.253417199416035,0.114345195990688,0.0571960540606368,0.0905551413854983,0.157774804905621,0.323657768590566,0.130377531315184,0.0307584578639351,0.0113283149794652,0.011356849248771,0.021240969209273
"55-59",0.427236509619436,0.441867404962836,0.293273666247579,0.364013090222442,0.298218743844878,0.359297245324284,0.276061816699733,0.103174614869661,0.0551660906046945,0.124889408463116,0.185819833032782,0.313730096334404,0.119539947188671,0.045179952623593,0.00891689343525968,0.0173184605568006
"60-64",0.4258836942789,0.419738057400605,0.271798639655308,0.243776056309525,0.166329240817842,0.227561333661769,0.267722145618712,0.211014316962609,0.0991223888363662,0.0531738744325508,0.0902095257921309,0.158077926519461,0.240200741046994,0.0952863850570013,0.020077579937354,0.00465848423333376
"65-69",0.252139052739722,0.36915854712425,0.329267367850349,0.164954400457777,0.124648284269744,0.136694556931378,0.213886067652544,0.263114173992288,0.194497739396798,0.069068157492824,0.0637954540097839,0.0860251852706782,0.10482044625993,0.208173335848944,0.0471137182270516,0.0106258312710305
"70-74",0.105676436333617,0.32621477430397,0.280621405620492,0.206284251380987,0.0432877085368287,0.0992517020040253,0.0883374122616096,0.192034138780522,0.185194117062993,0.147694843664159,0.0821001742336161,0.04470990197902,0.0722805405061172,0.0746850317535742,0.119769867906803,0.0538165655757816
"75+",0.153856037296966,0.205802087853918,0.330837857159554,0.268763404942838,0.06539032694726,0.057835021377287,0.0730086900239875,0.174684688489399,0.181329876516395,0.179051199074812,0.167976563665051,0.0769844505819183,0.0308849371750343,0.0631321670880294,0.049856240853379,0.0716653617689458
