"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.4484380227824,0.747229933289473,0.466985807403617,0.365032128895676,0.518400757481309,0.560291978429576,0.57571654927058,0.441288521736557,0.26473628759344,0.163714707914732,0.126068315372591,0.0925532445628044,0.0710859018638001,0.0819455995943629,0.0458682994142097,0.0159616427508535
"5-9",0.813619143767145,3.6521565072665,1.63462403007157,0.479812238440802,0.341373404069787,0.479464582547135,0.520470486358743,0.516435568320169,0.387041654641463,0.162355628545373,0.0828281959480239,0.0754708251331934,0.0810970620550641,0.0810739568110812,0.0343118206309132,0.0187402040162181
"10-14",0.320144182779631,2.02836371969564,8.76232916969758,1.4492886215927,0.805284696541954,0.481971822337877,0.494679105127258,0.528366921371235,0.540564330409779,0.299823195402085,0.12549302190782,0.0686206354744236,0.0557159364703694,0.0772099704552331,0.0489174449976481,0.0311356385953287
"15-19",0.18496833694291,0.693902579683972,3.94317057813036,12.5135672842877,2.54495512084476,0.842416227458857,0.474357074980972,0.507315932035013,0.460296126573843,0.357409602438451,0.102802489149181,0.044890743977808,0.0380679440462291,0.0464313063434522,0.0247113596308789,0.0121357612049982
"20-24",0.220595043526648,0.334842567129246,0.609679258830452,4.15453574627928,5.64407717101318,1.57896217450796,0.831924433528563,0.493604999387203,0.340094627567016,0.346282152409381,0.133985506345971,0.0780286552979473,0.0363196532791827,0.0373918757643619,0.0365438638331498,0.0212954231933794
"25-29",0.269856795741127,0.167180502748158,0.183810959944565,0.760386186407084,1.78456204019697,1.61166942794968,0.814813194002826,0.487366724163871,0.288711755204209,0.22822127639234,0.122911021506321,0.0579526560885772,0.0264149773276432,0.0263781191645648,0.0147515562081527,0.00550060027928761
"30-34",0.242373153995913,0.205300177425646,0.380853182016553,0.321254974754424,0.714552016338291,0.743473084650673,0.829061904562952,0.528734266418887,0.294785252097186,0.196642499601147,0.127078537926007,0.0806514081686834,0.0427071316719497,0.0417680836140298,0.0187912299572647,0.012917274871221
"35-39",0.196469157768874,0.275988109191321,0.253885507981554,0.198856807019146,0.397951378648259,0.494316179790697,0.550046935602506,0.598597915150561,0.369786467401459,0.207214612951359,0.0899980630354456,0.0627230862365479,0.0623156773794936,0.0584761647281358,0.0307804042076495,0.00901116920726898
"40-44",0.119149116483717,0.184263679523679,0.352562343035452,0.239576312488978,0.361277456333291,0.307011619619671,0.376770356531853,0.363663289998711,0.349462423097654,0.185807973364789,0.0812304283910951,0.0336003617165335,0.0368201861843451,0.0350834671399865,0.0238498404726227,0.00744973630597045
"45-49",0.0314294778581554,0.0615736302003418,0.097956555980318,0.197634203949046,0.228225382005975,0.200500673512163,0.218624149531957,0.218148750738262,0.185427819409752,0.165936445680433,0.0822696164752406,0.0331221960284851,0.0272512859805579,0.0242207083701918,0.01928918853316,0.0110193000383185
"50-54",0.0318500904558575,0.0712436105944396,0.0987709596839996,0.155325086539112,0.238308865064135,0.21409285067734,0.139502001512876,0.120872481156958,0.121179815315413,0.118189277898543,0.0591538533022275,0.0412159098714683,0.0289754196811212,0.0214854795226204,0.0126537819250535,0.0063112521700083
"55-59",0.0381287898380115,0.0404363317937551,0.0531255518402,0.0666998698740141,0.140327490111524,0.167403686042036,0.154243739538172,0.114317325172328,0.0989889191065313,0.0609114525008712,0.0569522282008444,0.0467618421836167,0.0350246369738389,0.026538165233743,0.0131429565254203,0.00527984357360004
"60-64",0.0296459229397598,0.0386382665385383,0.0406101692932281,0.0682541536492018,0.120855086740632,0.131625695756298,0.120784969671223,0.129313898827067,0.0987968053308593,0.0698521866735,0.0402758419256068,0.043896950721501,0.0441643129454639,0.0437128740496436,0.0273955263659562,0.00850525299345994
"65-69",0.0382537021567806,0.0602798397465554,0.0467786917997735,0.0520959522919475,0.127762353474326,0.14122711067911,0.158955604288565,0.127248287929797,0.107312315017292,0.074500520495166,0.0524584190664981,0.0499583241208772,0.0548065407099613,0.0648127671662031,0.0306848342557284,0.0135455595580769
"70-74",0.0128068370987411,0.0323621781849709,0.0569366497923639,0.112407621878999,0.0875665973248681,0.0903717107786335,0.0827595197431649,0.102895359274447,0.106739981865353,0.0702447453857408,0.0366016341226836,0.032147805724123,0.0612015099780575,0.0748669468918341,0.0616628919327963,0.0166314952842477
"75+",0.0146188601933689,0.0177281144412542,0.0319749608370644,0.0186875088867604,0.0343594536965758,0.0324711796158509,0.0548177287285594,0.0393031073024857,0.0332178463128759,0.0359689941665065,0.0167135852051728,0.0141851360867696,0.0155293587771257,0.0281026640734084,0.0218718551559633,0.010978284178524
