"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.321902138367068,0.0442955768762948,0.00804316100289298,0.00815038729700537,0.00537194633558913,0.0219545624060732,0.0403697672687949,0.0300881556718949,0.0141212013539431,0.0167156514920844,0.00949841015472148,0.00742931900658349,0.00128360879874649,0.000779890207725332,8.23609052631359e-66,6.37926528989459e-120
"5-9",0.0554267693298911,9.12291805489734,0.438130405030669,0.0294147568586792,0.0347957593219316,0.111677941439236,0.133451866900703,0.1213034433895,0.101082718511054,0.0651385293450042,0.0455581474512947,0.0157144553613984,0.00556669032684408,0.00189170124157119,0.000347215387259651,8.08368264265704e-39
"10-14",0.000465754109976483,1.70095503520935,8.53329838937813,0.161300870556635,0.0196351062555861,0.07618866109973,0.0712308502455353,0.109280079201466,0.0984865432624498,0.0700798203149471,0.0412101562717289,0.0230944269924765,0.00546286467867194,0.000918288363931982,4.93233046968482e-25,0.000181981251943363
"15-19",0.00261373904802634,0.0442293699035782,1.6164308039807,3.43701818194194,0.0529019570421357,0.0554530893543356,0.057388931658058,0.0780793844330852,0.0576268404118905,0.0622305063461239,0.029784852645758,0.0199438834555961,0.00454591849967229,0.00111666345943257,6.19765491409248e-33,1.70419535857764e-70
"20-24",0.00722057310734934,0.0278218631821832,0.00973081324599846,0.541045399309015,0.340918399677758,0.0437159805628824,0.0276856456768114,0.0331315994408218,0.0193766013826893,0.0225059688248191,0.0109509338074566,0.00845393347358376,0.000647433039506978,0.00131454767425124,0.000177042543838685,1.21892473533701e-47
"25-29",0.00708455049589403,0.155640638484985,0.0427520676840549,0.141806901557354,0.242143523145644,0.16294027001736,0.0266644807473894,0.0343416823642299,0.0370387186897898,0.0305277149111504,0.00717756837812197,0.0127150015253946,0.0041701932637931,0.00261790801518826,0.000462830855170081,0.00128532290592474
"30-34",0.0142213476573684,0.476549182642706,0.276624103193111,0.11419459145088,0.0417137352312912,0.0834600327472551,0.0712677297009601,0.0481838639673498,0.0479324746128613,0.0235870699983207,0.0175525817210065,0.00290919569563164,0.00520780816877475,0.000477346223350123,1.65337603810994e-48,3.11034626686334e-55
"35-39",0.0242157012989416,0.270570133869579,0.174207660514604,0.0576296807784158,0.0159897996863152,0.0522405664846382,0.0686049273115546,0.0500168631381265,0.0510737797909881,0.0231682209570768,0.00315047143018455,0.00798969596302611,0.000543047515259077,0.00222845100578593,1.84332290975055e-123,9.69143980649158e-67
"40-44",0.00784267042052955,0.133881238451011,0.0938277194026975,0.249846529477877,0.00705465123518268,0.0237518515749036,0.0220873519299184,0.0292481809435528,0.0581683752039098,0.0197734184028896,0.020557154584977,0.00628008141277973,0.00524991935109764,0.000500980700456056,4.80955049038793e-68,2.40129712178118e-92
"45-49",0.0657501818972315,0.273208641822645,0.156738627979185,0.373233209381433,0.00483437429890889,0.0278243886921103,0.0510409572404286,0.0432951184935389,0.0376786440298364,0.0216717762570847,0.025075223764096,0.0126142352085723,0.00311685649631653,0.0017534015575932,6.20631303652176e-134,3.27178256054776e-72
"50-54",0.0173142305893572,0.373412831570278,0.417958854775578,0.308420721684852,0.0044435860315279,0.0127389060771295,0.0341605384481127,0.0332678072158875,0.0392542060620417,0.05179537371053,0.0252655631699631,0.0147455654388407,0.00431515255358629,9.097533224849e-24,1.23748406944222e-117,5.64089294703368e-78
"55-59",0.0615930177835675,0.387625776568935,0.301135223859043,0.238884780688608,0.00556102908373653,0.053062318463896,0.019854182838749,0.0328853850058899,0.0393578185195183,0.0275923736135163,0.0232011501638277,0.0279483949368388,0.00886027522291234,1.17684721405141e-31,0.000781799243969989,0.000762335365762654
"60-64",0.0364150171078249,0.0696206727058514,0.0325585074393312,0.115776975831078,0.0117449714871541,0.00165161107817395,0.0148810116755228,0.041157628965683,0.00878453485378619,0.0136643108299071,0.0105680008867758,0.00575744654672135,0.0202438857607332,0.0113093234724107,4.42210014469431e-67,2.12044917284077e-37
"65-69",0.0016810295749379,0.0369404006416106,0.0133688153531504,7.88247729865663e-32,0.0020625879779524,0.0020888577453977,0.0132611425244489,0.00576318054622069,0.00567360848424834,0.00901603649587206,0.00199483887284202,0.0154880234023717,0.00826525712976083,0.0177595569278859,0.0111238627676255,3.4568890406406e-126
"70-74",1.28088469127242e-28,5.10715782122598e-26,1.92819220496639e-40,0.00758750978441671,2.63405949489516e-22,1.69644181159155e-24,1.25796842493147e-26,0.00761713181920612,0.00784558815470465,0.0211418717301443,0.0351978332516419,0.0214316180035844,0.00773795047118165,0.00801325479827075,0.00791284574640968,0.0213825718331586
"75+",2.81655641390229e-94,0.0211147036727835,8.45759818313908e-42,0.0212230806822016,4.89540423171801e-36,0.00758848943851549,9.76760788247699e-69,2.23013638433874e-60,1.43655128770999e-48,8.55703498957869e-60,4.69325061186911e-42,1.59794348337936e-46,2.20953846631242e-83,8.85850556101976e-107,1.02042769581429e-80,6.61413698508262e-113
