"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0.019393289305958,1.6283116212024e-71,8.2474313765971e-59,7.30083147185413e-06,0.0268657020539627,0.0756666610178902,0.0169394610130313,0.0684875578648743,0.0184660052724811,0.00571479989573945,0.00500493917813786,1.19278671103776e-55,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0.00421662719924339,0.0183510802054896,0.00443444920443221,0.00651378436129813,0.00201501912196554,0.0179394173151155,0.0051340233990922,0.0187289755398884,0.0104432270515546,0.00476153461598876,1.17196840836914e-08,3.42322010331388e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0.0199761961559231,0.00790375138647951,0.151169885619841,0.166642709530255,0.102464370623734,0.104053305607385,0.0971311510706895,0.112462775027262,0.0851049473563304,0.0575468230141374,0.0272895282190902,0.0153835236865838,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0.0228687636585623,0.0142299967015952,0.112315752143396,0.2990749269147,0.306448535697824,0.278612192854322,0.308265344053764,0.241899213491101,0.185961074803678,0.163494551919991,0.0750674811397426,0.0582824725232981,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0.0280401473343077,0.0195662064588288,0.105548732512482,0.304302091164812,0.547876695628245,0.427061726310192,0.418708929889401,0.402030492032609,0.2705521196842,0.256078961824343,0.118232366699097,0.0831152025346173,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0.0484919309598415,0.0241496944749638,0.0621345106512519,0.229686796251313,0.404891981747282,0.577192818800069,0.508318403414839,0.473454365001081,0.371028232775334,0.25769813187165,0.150259592269505,0.0847768805732189,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0.0334138502881735,0.014913471961342,0.124453556808131,0.191332793583073,0.381897474799087,0.445471451734862,0.618153612957155,0.625024342113622,0.415166367347505,0.348076165542516,0.138410272611981,0.0603344030082695,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0.0195704074321339,0.0175152209445274,0.0807839590146184,0.234060941582451,0.392558654751435,0.504375547733179,0.542035300167476,0.690181401617729,0.532300605823282,0.440530187275135,0.152735295044232,0.0919480293312387,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0.0107036477322986,0.0224311377256461,0.0969251618285282,0.153121489280574,0.283252205693294,0.395611501097827,0.436770620441043,0.469632417623874,0.439953964073142,0.326312377647979,0.165932358676627,0.0702970377448401,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0.00169492761582222,0.0274040278195491,0.0819157047304453,0.144010355679788,0.322450719089662,0.40944399956479,0.428160843479205,0.602577300430808,0.557900428665497,0.488041691553993,0.236612512825641,0.0949264970831666,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0.0198595459338164,0.043465425684242,0.0566640370899665,0.0998831484940213,0.196427695171915,0.297504956878076,0.281693753323407,0.37427816161227,0.283398577880415,0.30253762844784,0.189183361723005,0.0921779649754075,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0.00591167109587366,0.0365106162168641,0.0191186828446247,0.0987848099279012,0.188248566399736,0.225894229505929,0.268087869733001,0.301273611954077,0.282371980368592,0.248425192510189,0.191633879271152,0.0786747219623923,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
