"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.6449886732725,0.780283236391,0.389809725597258,0.28474834677805,0.415905095748963,0.565506773219969,0.667194902292406,0.568469600568913,0.330067984951551,0.201941549641116,0.227115665965937,0.173716254779702,0.112363906507326,0.0944126284737893,0.0579684720470194,0.0236107811398961
"5-9",0.84960913690052,3.50656922174224,1.25459019295128,0.344141036073942,0.25182179626633,0.444953839530404,0.554593958141522,0.611696196959976,0.443693080376791,0.184136700540406,0.137200080250397,0.130245560330046,0.117864629072564,0.0858856963640645,0.0398710798457161,0.0254883724353374
"10-14",0.267235779037339,1.5567893189218,5.37594165130108,0.830942545820555,0.474858322088978,0.35754527937723,0.421360252786706,0.500272036942796,0.49536270486758,0.271824882535374,0.166167740128038,0.09466502171704,0.0647304729568453,0.0653828475917773,0.0454390218055994,0.0338513926603381
"15-19",0.144287102371286,0.497695418280344,2.2607975733609,6.70468499260884,1.40241280063042,0.584005927632881,0.377586547624322,0.448879984255092,0.394179807156667,0.30281077755634,0.127207259902937,0.0578725658364687,0.0413304276844088,0.0367436655251366,0.021450774657952,0.0123301090180403
"20-24",0.176980070680173,0.247004176996981,0.359514183125417,2.28938186906995,3.1988006544722,1.12579872205475,0.68107275014264,0.44918969334162,0.299540339642459,0.301740575485376,0.170515782884632,0.103459065473198,0.0405555845012434,0.0304331791435094,0.032625659358673,0.0222527999259297
"25-29",0.272368428723143,0.155147239859168,0.136358056591748,0.527138516183897,1.27239125592558,1.44563876385489,0.839194192338099,0.557957216269562,0.319900416501601,0.25018111748393,0.196785176982109,0.0966679627547887,0.0371068428892444,0.027009011412236,0.0165682814712186,0.00723108167429292
"30-34",0.280884982381501,0.218760219819971,0.324405036286773,0.255717819386434,0.584983307706612,0.765719430405262,0.980419580621229,0.695029250040809,0.37503922316392,0.247512070857403,0.233611577870585,0.154469156451332,0.0688850165049572,0.049105485783429,0.0242334603502682,0.0194977582413396
"35-39",0.253092337868823,0.326896300631725,0.240385639393479,0.175951186957029,0.362143126511698,0.56591323526693,0.72304507844434,0.874664364901032,0.52295288145765,0.289921207654278,0.183906010856899,0.133535841634024,0.111728068603861,0.0764196336368322,0.0441240280722478,0.0151194339822774
"40-44",0.148552769792306,0.211234420349815,0.323081317163678,0.205163891686716,0.318197240425133,0.340177160149563,0.479344406884757,0.514293469746493,0.478318681963596,0.251610792598106,0.160652252260751,0.0692340431962122,0.0638934390653573,0.0443745426442879,0.0330896082318583,0.0120976384809448
"45-49",0.0387681567766819,0.0698341363768456,0.0888091039361076,0.167443086479034,0.198869210058043,0.219793190838701,0.275180167562199,0.305219542007663,0.251096009318336,0.222307831468263,0.160973952308128,0.0675216310751561,0.046784861198833,0.0303086284595422,0.0264769627441548,0.0177036073823575
"50-54",0.057378846410207,0.118010889637376,0.130784540139798,0.192198445936019,0.303282226585257,0.342770721411488,0.256449934201346,0.246996158386176,0.239661548566906,0.231256641259508,0.169045000083898,0.122713360314315,0.0726526123246358,0.039266993431487,0.0253675022469869,0.0148090244357036
"55-59",0.071565190407205,0.069783955361221,0.0732889091439081,0.0859886085308819,0.186061786297625,0.279237818929157,0.295418280664465,0.243378652840304,0.203968134604802,0.124171737299021,0.16956557120073,0.145052839915457,0.0914961477088048,0.0505313801021779,0.0274509956120515,0.012907425874652
"60-64",0.0468606520588143,0.0561559794913345,0.0471806745383558,0.0741036436885879,0.134950315881019,0.184903206693466,0.19482166803578,0.23185164259063,0.171440405804985,0.119921858377113,0.100987152616669,0.114673619320611,0.0971617185291657,0.0700961507757111,0.0481880353981815,0.0175105731997049
"65-69",0.0440735388764373,0.0638574483962957,0.0396130714524838,0.0412264137491521,0.103985545298222,0.144604875740091,0.186879346410009,0.166294550774983,0.135731593459435,0.0932263648617893,0.0958733266689106,0.0951257573078193,0.0878854942536527,0.0757541573498532,0.0393409146355472,0.0203269011751392
"70-74",0.0161853129034715,0.0376055530329906,0.0528879967377157,0.097575795212403,0.0781777753048559,0.101501422635562,0.106727954735495,0.147501562698822,0.148092570541701,0.0964202046837589,0.0733766427578636,0.0671454152772344,0.107651902352556,0.0959866408972322,0.0867200106983342,0.0273766488611016
"75+",0.0216245103294217,0.0241118390741063,0.034763923382538,0.0189867794823165,0.0359041490620318,0.042686568727234,0.0827436771876757,0.0659449093108746,0.053942512768767,0.0577877858346533,0.0392175569988821,0.0346778441462399,0.0319717677793283,0.0421717591605648,0.0360026617157392,0.0211512974100913
