"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",2.16875266373461,0.734743229912917,0.406072621810686,0.320129356008495,0.591041736733395,0.767760724795068,0.843269355596926,0.667475391260631,0.406161413128299,0.260171147996398,0.263417760767021,0.15446262150161,0.0857871122109549,0.0749456424429218,0.0436560269876841,0.0169803716334418
"5-9",0.800023033042587,2.35831566513845,0.933445852336,0.27633567392511,0.255595632619807,0.431458711654833,0.500639296735731,0.512979484116453,0.389954663170055,0.169437684748208,0.113654995696043,0.0827145811535408,0.0642709790467516,0.048693763510325,0.0214460126013129,0.0130922757149087
"10-14",0.278384879364017,1.15828940866348,4.42496164867841,0.738140800386111,0.533202144616051,0.383550942975928,0.420795503412244,0.464128425018987,0.481639937256434,0.27671110153588,0.152282010052435,0.0665083858978471,0.039048820906948,0.0410094603989951,0.027038665617926,0.0192361121939291
"15-19",0.162215295312865,0.399635569151912,2.00830603596506,6.42776282971037,1.69948349693879,0.676118021750774,0.406955842804964,0.449443837231982,0.413625026811026,0.332676369309173,0.125813439570003,0.043880630322433,0.0269080542388961,0.0248723003363866,0.0137756630878338,0.00756172585040706
"20-24",0.251505955111321,0.250705815840135,0.403686161841006,2.77433770065866,4.899907476675,1.64750077283597,0.927863088216872,0.568505395615022,0.39730805707725,0.419028881617838,0.21317650601877,0.099158121263941,0.0333751079299926,0.0260399661520417,0.0264842969256469,0.0172503651900657
"25-29",0.369781215982773,0.150441736376714,0.146275910226604,0.610281221280583,1.86202518835793,2.02110479803562,1.09223738086481,0.674636570035164,0.405369465488714,0.331916577688883,0.23503433485453,0.088512881026347,0.0291736112598656,0.0220783164422944,0.0128490431389745,0.00535526627282559
"30-34",0.355011252747694,0.197477742042903,0.323970236041368,0.275607966871197,0.79695512458882,0.996607689589663,1.18793331071823,0.782343683771157,0.442423752828841,0.305700618770017,0.259751945907294,0.13167132438978,0.0504180995138843,0.0373691134864487,0.0174958188647634,0.0134427462844428
"35-39",0.297171400326413,0.274141144723532,0.223018277996688,0.176172205055481,0.458337144548454,0.684256342324166,0.813879056413146,0.914640327431646,0.573110967416556,0.332655212785019,0.189965522013553,0.105745450378832,0.0759693499006446,0.0540259172457604,0.0295943228876517,0.00968396627073174
"40-44",0.182799925027029,0.185650511311744,0.314131168532433,0.215284798101908,0.422054430169752,0.431063626266354,0.565469791672369,0.563621003790758,0.549364699055198,0.302559546415578,0.173913352138795,0.0574580369518026,0.0455302075047409,0.0328774657467002,0.0232590582994437,0.00812055259573062
"45-49",0.0499469072720241,0.064259511272642,0.0904055020547165,0.183957646835746,0.276170821722594,0.291600758827001,0.339873312867501,0.350208501524249,0.30194052449676,0.279881727641658,0.182448334782051,0.0586694751928038,0.0349049402897331,0.0235108817439569,0.0194852891748746,0.0124418493967246
"50-54",0.0665502627152036,0.0977588870891585,0.119855590747793,0.19009251187134,0.379159303070384,0.409395106633877,0.285145839276422,0.255134424071011,0.25944450017666,0.262106934072943,0.172484923193683,0.0959899223621272,0.0487974695346007,0.0274217265600838,0.0168066405420778,0.00936945076140855
"55-59",0.0636333481433681,0.0443174464013513,0.0514902649676138,0.0651990159473165,0.178326926537577,0.255680818552357,0.251818014402748,0.192728670761858,0.169275230422396,0.107892693720675,0.13263907021336,0.0869851285685839,0.0471122513399833,0.0270528664062968,0.0139426808494145,0.00626054735816991
"60-64",0.0357769691478813,0.030621568231597,0.0284618607922967,0.0482449608046169,0.111056995309179,0.145371954409555,0.142593248065521,0.15764721238901,0.122167743123256,0.0894705081692402,0.0678284970838821,0.0590465556286833,0.0429574518619082,0.0322224511139752,0.0210154978180753,0.00729264887235932
"65-69",0.0349859943444398,0.0362046257085835,0.0248461292961107,0.0279067352128918,0.0889746045622967,0.118206185223129,0.14221456916379,0.117564233313204,0.100564660473905,0.072317163497197,0.0669522140244212,0.0509272535015392,0.0404000221249972,0.0362069509989234,0.0178388146496875,0.00880191551487237
"70-74",0.0121891509637331,0.0202274221652792,0.0314712069531575,0.0626630647054619,0.0634618105767081,0.0787164414352322,0.0770543264094029,0.0989304255222267,0.104095935733309,0.0709588780525218,0.0486139647100001,0.0341039395780922,0.046948548541308,0.0435243540134846,0.0373058484100457,0.0112466288572718
"75+",0.0155518879112527,0.0123852099992877,0.0197546593488062,0.0116440836830679,0.0278328877813217,0.0316132429564849,0.0570476998077364,0.0422375783538941,0.036208968616033,0.0406124533151046,0.0248123683554649,0.0168199521473234,0.0133153194692212,0.0182611337579987,0.0147902899381576,0.00829781158503689
