"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.677871929792633,0.148240209475037,0.0340734351446138,0.0380910842140128,0.0103939090333994,0.0512027284448307,0.0988648525466842,0.0741399853533672,0.0341390513730893,0.0386368299382647,0.0211457492113639,0.0128427557203217,0.00160098714730985,0.000815144205487566,8.25467596491548e-66,6.38910746205453e-120
"5-9",0.185492016932841,2.40442556250546,0.177858368868382,0.0205057723111079,0.0170037797956369,0.0567379507268841,0.0805342875048339,0.0780876562586302,0.0742082856320401,0.0496826754855819,0.0429824056762094,0.0111781685936314,0.00355004864750542,0.00114634387782444,0.000348061425072603,8.09938792381004e-39
"10-14",0.00197308526509825,0.690500099073514,5.38160508482869,0.174362437913951,0.0137992780567096,0.0571482283693784,0.0635614369695456,0.103911867966704,0.106118615091314,0.0778737543452477,0.0558399040208923,0.022760241357894,0.00434208603046889,0.000619594658233628,4.95542167693086e-25,0.000182606368538446
"15-19",0.0122153893506883,0.0308334144342564,1.74732358683906,6.26232875324424,0.0583819777314833,0.0669936592043215,0.0818387494769976,0.118062269343241,0.0971770770645387,0.106943668485029,0.0602988355867786,0.0287650414781294,0.00478202839649653,0.000903164435856899,6.23680792980711e-33,1.71180556120221e-70
"20-24",0.0139707240836703,0.0135958186938029,0.00683867945258737,0.597091340666689,0.278484061525206,0.0367798306271873,0.0262780285553253,0.032852019771325,0.0208694010084893,0.0246658305528035,0.0134602615460284,0.00853599593823587,0.000592398486937573,0.00115223744814815,0.000177281679347558,1.22012666916275e-47
"25-29",0.0165226848290362,0.079073188166408,0.0320678286244376,0.171318917419546,0.203724076506909,0.143511476978785,0.0268801866211968,0.0363411610532151,0.0429428044113426,0.0360410038698188,0.00964839279665774,0.0134911614843104,0.00383339040407748,0.00223198704346815,0.00046376174037124,0.00128719392971991
"30-34",0.0348278311786965,0.287583454442772,0.246840034040842,0.162845731596128,0.0395928900612656,0.0841351938149799,0.0820477484789035,0.0581232331654337,0.0629410884875754,0.0313737396620375,0.0262628091393556,0.00339025012032568,0.00506204773034655,0.000418531627669798,1.65724051526953e-48,3.11553717037413e-55
"35-39",0.0596697171871543,0.174176321933563,0.165649984429541,0.0871406830833474,0.0158548704046907,0.055282173423946,0.0827567541932532,0.0631501870292275,0.0699729499457596,0.032082598928934,0.00487901438101191,0.00961082284175343,0.000538558552854102,0.00197736422632402,1.84776359429176e-123,9.70804440893947e-67
"40-44",0.0189602372827794,0.0982868024335675,0.101098762433537,0.421320261111688,0.00759815112538731,0.0275379697967115,0.02900334237916,0.0400710797114111,0.0857392732533984,0.0293120043671143,0.0335690162446449,0.00796697282511769,0.00540090526942041,0.000456572569733744,4.82115830211489e-68,2.40539109511004e-92
"45-49",0.151976044581708,0.20838260286225,0.17417032972984,0.641404528989144,0.00529832144591862,0.0328494583838441,0.0678908276728057,0.0599536720917109,0.0558546102573802,0.0322414042984861,0.0407492559547146,0.0160454040667649,0.00322825524914748,0.00161671645666281,6.22027558862843e-134,3.27697394459641e-72
"50-54",0.0385456483628768,0.352301019887051,0.566335691169443,0.624391552633018,0.00546180181875609,0.0171241795489568,0.0511122361154834,0.0515205782461385,0.0641005580573053,0.0841716492924214,0.0437503457844753,0.0200317929933185,0.00467301002351274,8.67487322383245e-24,1.24020520056294e-117,5.64956790507664e-78
"55-59",0.106473295973807,0.275729968495661,0.296777676217214,0.344543260107827,0.00561501008016138,0.0563013937276042,0.0231372010687038,0.0395579019323228,0.0499297142809053,0.035097711154866,0.0315186717807707,0.0317627385344596,0.00886982028797051,1.10911280096459e-31,0.000782741721989786,0.000762987635718467
"60-64",0.0454188023762605,0.0443992319432552,0.0258787007624736,0.121790301811311,0.0107465991284803,0.00151821981808616,0.0144645096240293,0.0408174100273518,0.00903717512751915,0.0141526833894217,0.0114444097767417,0.00576364897277187,0.0196632166131124,0.0108851588622529,4.42365858999038e-67,2.12099550325282e-37
"65-69",0.00175701849271898,0.0223853540872663,0.0090203109448714,6.37539726267539e-32,0.00180791549431681,0.00178092713583769,0.0116272158320772,0.00511382436156553,0.00517068622196087,0.00831319814541345,0.00190216115689587,0.0145965974275223,0.00795526249773436,0.0173033052414661,0.0111239170640744,3.45693349798618e-126
"70-74",1.28377511649415e-28,5.11960211025236e-26,1.93721923307992e-40,0.00763544305820203,2.63761738072337e-22,1.69985384119027e-24,1.26090870598888e-26,0.00763548198419294,0.00786452341910599,0.0211894353132133,0.0352752305465307,0.0214574543407935,0.00774067749502064,0.00801329391159761,0.00791288003992494,0.0213826358220862
"75+",2.82090190383946e-94,0.0211557261092524,8.48665054387602e-42,0.0213178538216168,4.90023139763419e-36,0.00759953588003104,9.78390918969455e-69,2.23395733651983e-60,1.43900046511669e-48,8.57061255903098e-60,4.70046821952898e-42,1.59931071697773e-46,2.21010775044156e-83,8.85861948589223e-107,1.02043074951964e-80,6.61415062986738e-113
