"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.321886747507665,0.0432547410300366,0.00788845343682243,0.00810000446284771,0.00535195226310429,0.0218395398560619,0.0401921873182951,0.0299498437207052,0.0140708947670937,0.0166638258842255,0.00948410093161379,0.00741444773074684,0.00128206956432643,0.000779171060729624,8.23608001300266e-66,6.37927285744677e-120
"5-9",0.0541243781561188,5.36950501690579,0.273097822931502,0.031285446405789,0.0314518985491087,0.0942791087092529,0.116976726642016,0.0981103193205463,0.0865846817631363,0.0567527787149637,0.047829279693457,0.0139240155623761,0.00476278506280404,0.00144552511636031,0.000347291168450135,8.09952429079985e-39
"10-14",0.000456795482303122,1.0602485280325,5.63081675959008,0.180585126738732,0.01863214597127,0.0677046748750398,0.0656362338716391,0.0930363832194944,0.0885950794198942,0.0640452816014042,0.0450048494630544,0.0213793486460903,0.00486196887289755,0.000732301849166325,4.93392248318151e-25,0.000182312747672971
"15-19",0.00259758183043786,0.0470422240213733,1.8096824933053,6.41870461289577,0.0786415168762034,0.0788513275191367,0.0837506178340664,0.104484465927614,0.0800765010633647,0.0867716871997254,0.0479159850757134,0.0267471803815885,0.00535858165534274,0.00108053828413517,6.20641189415841e-33,1.70866574032577e-70
"20-24",0.00719369855331033,0.0251481914838303,0.00923376377283576,0.804292190299551,0.411250330621258,0.0510661597941392,0.0329709768909447,0.0369262675095004,0.0222055815730662,0.025846526277428,0.0138500273889737,0.00945309581727966,0.000674982120959484,0.00126087213627078,0.000177114111009805,1.2199971825195e-47
"25-29",0.00704743369763366,0.131392650027376,0.0379914123834747,0.201641830407753,0.282856284746595,0.182823726474011,0.0306291262018694,0.0368208391324061,0.0410951303804637,0.0340486518575273,0.00896589681460199,0.0139222298408381,0.00427802515976298,0.00245910186484022,0.000463028342089307,0.00128663057777209
"30-34",0.0141587902936803,0.417717374541863,0.25489748148631,0.166650037054264,0.0496771004151741,0.0958694039477255,0.0836302788096281,0.0528401713485532,0.0542156185659059,0.0267745618239885,0.0221230866812457,0.00322716976154676,0.00539527379288236,0.000453655395107315,1.65407010025286e-48,3.11330040191588e-55
"35-39",0.0241043843763422,0.218837334627923,0.14831294762816,0.0771190303488122,0.0178211625941822,0.0560118597078451,0.0752346494451754,0.0515348309947537,0.0543793455966367,0.0248101317884501,0.00374049164495751,0.0084505005408612,0.000546650173665144,0.00209897898399486,1.84386842299287e-123,9.6988993131896e-67
"40-44",0.00781473101433085,0.11467899356177,0.0844041630146129,0.347179122443873,0.00808462900064259,0.0263531102526276,0.0249826335284194,0.0311411637460806,0.0636806549887996,0.0217189576627797,0.0247227962874445,0.00676804693108356,0.0053591470913287,0.000479166654954054,4.81097151099899e-68,2.40297617964954e-92
"45-49",0.0655463284521371,0.238036531501237,0.143241942140134,0.520421208158988,0.00555193972426893,0.0310335354769757,0.0579384919486273,0.0463634043205705,0.0413859079801484,0.0238608451610272,0.0300134553816014,0.0136064318159281,0.00318789776195311,0.00168723965569751,6.20801788209088e-134,3.27386256535879e-72
"50-54",0.0172881469412092,0.392027941465233,0.456445134954019,0.496167729048573,0.00561995801673249,0.0159128706828612,0.0430555781011505,0.0394982013627704,0.0472085636115438,0.0619957832663593,0.0321142497049666,0.016911607989341,0.00458787605372597,9.00467774134856e-24,1.23790058133873e-117,5.64442101393041e-78
"55-59",0.061469726973702,0.343461304970334,0.278771798174437,0.320373629023667,0.00621828181349001,0.0581003307051655,0.0220242380372146,0.0347820449069312,0.0424159410263544,0.0297627041199286,0.0266092716552576,0.0295904218126999,0.00900703373809344,1.14705692925429e-31,0.000781939867911496,0.000762651015058413
"60-64",0.0363713501839192,0.0595665073062875,0.0289771867013398,0.136474153428883,0.0122447346385734,0.00169431805665158,0.0154166838912989,0.0414306748296278,0.00896730240255995,0.0139757560108307,0.0112359128911673,0.00585281088757685,0.0202434166757313,0.011111138942896,4.42240471565404e-67,2.12084622357682e-37
"65-69",0.00167947947550527,0.0282276480886113,0.0106611480541425,7.62747130577095e-32,0.00197836849963514,0.00196214456248725,0.0126029882655858,0.00542834229519842,0.00542656432960671,0.00867583027240624,0.00197447821864433,0.0150959651788469,0.00812041680402645,0.0174648820456037,0.0111237676034117,3.45705497349815e-126
"70-74",1.28088305623223e-28,5.10827247948676e-26,1.9288145695937e-40,0.0075982305607189,2.63512427956513e-22,1.69716567229201e-24,1.25849650096536e-26,0.00761938603427278,0.00784790619721111,0.0211476793048074,0.0352096801243756,0.0214354729556322,0.00773848342044201,0.0080131862451873,0.0079128481491344,0.0213825837705474
"75+",2.816559755108e-94,0.0211560823019319,8.47300448269195e-42,0.0212787522764489,4.89971135776383e-36,0.00759620987511314,9.77688493086627e-69,2.23185292157455e-60,1.437555766798e-48,8.56247504362174e-60,4.69618598083946e-42,1.59860512097069e-46,2.20995219887703e-83,8.85893077488231e-107,1.02042826549516e-80,6.61414222144184e-113
