"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.408008561488027,0.865522977159593,0.567513723941229,0.272424935505617,0.444246053214017,0.600609463653985,0.538822433918177,0.458135705294924,0.253627323232026,0.124288938798602,0.110977635230848,0.106765507668918,0.0654289262568046,0.033900447239703,0.0102813478758425,0.00953570048242315
"5-9",0.483474609095931,0.59190312605123,0.698629323289568,0.28898109307754,0.111083650462139,0.375747971123809,0.507792149439066,0.46862752627635,0.343183837340846,0.165084580482548,0.0879706110917189,0.0890363597006389,0.0603959904530609,0.0297072670335986,0.0128326850930818,0.00777371020823509
"10-14",0.375539864818571,0.833570941639399,0.954734956960371,0.530923310408642,0.139506825089291,0.122029957818051,0.272908707649306,0.433264685328533,0.392012069744534,0.224802965654618,0.101881906250868,0.05025325916824,0.0330682331573197,0.0325116069626996,0.0197993025284318,0.00887474186577749
"15-19",0.211023585899311,0.360893518424087,0.662112464694674,0.693718108983282,0.305469563878247,0.131075010328959,0.0724122959716892,0.262052774923934,0.333794578555011,0.303854108418302,0.183003345781242,0.0774270401235508,0.0401626587149717,0.0238022033120154,0.0109609854353791,0.00713769244174052
"20-24",0.389167976838384,0.202267928776726,0.208309798052273,0.522229353845281,0.54108525680924,0.371232615568614,0.0924937627672693,0.0491817624274627,0.144921536970286,0.2590528409962,0.168010261969264,0.105785655067802,0.0320125172946537,0.012166957265444,0.0071919438334834,0.0053053695633109
"25-29",0.697954583965855,0.340058349812799,0.122201304108358,0.187394588890054,0.365092540758793,0.452387050244622,0.227956220184153,0.0608862959370699,0.0325602919333634,0.0874771680464204,0.145841624592042,0.0983009313209405,0.0538463710757821,0.0199578340301853,0.00318154401908574,0.00510994797037173
"30-34",0.631904017766141,0.84678362419765,0.51254421203518,0.0938704036368337,0.124182410365803,0.300467503129509,0.329456561420839,0.215079566967765,0.0799526950910439,0.0339468054504743,0.0521623380354266,0.0720532971743908,0.0645842763379765,0.0174817806879828,0.00986770617074377,0.00426291429680092
"35-39",0.571869133097488,0.921146123088363,0.825986689495351,0.335074156092713,0.0632097081285023,0.0777259592724009,0.182435108670469,0.305552326144927,0.147972384523859,0.0495183722756661,0.0316363719776931,0.0324488024989859,0.052769764231989,0.033012682084837,0.0144034192150422,0.00519565561118002
"40-44",0.377383261261601,0.662674785195497,0.742379385699196,0.49400672032973,0.150591328300158,0.0566031818444832,0.0965717117901988,0.166805018841634,0.21349436663245,0.124917705782113,0.0433177420483253,0.012121846261755,0.0304372109137562,0.0292274998814465,0.0140963903208009,0.00831067053050454
"45-49",0.189142802528673,0.392693745228935,0.517705924925754,0.520028529175877,0.286724449286392,0.102462186999246,0.039573840028406,0.0864683153842527,0.12302544179702,0.182354062308629,0.108751668170351,0.0300770816640843,0.0162724496195788,0.0123937061931743,0.0115449541409237,0.0144160049083036
"50-54",0.206657710467982,0.204730761691817,0.3231461103321,0.306575779887271,0.249174667277552,0.166672061874202,0.0787479811361387,0.0387774989261992,0.0628635864145457,0.104658775950509,0.132390860014749,0.0862288949783028,0.0217097232939263,0.00831909599824462,0.00844347023331857,0.0118842049736838
"55-59",0.306612787658914,0.332957038538371,0.227722991657598,0.268663898238236,0.206060714485677,0.237692789629306,0.178527521957623,0.0679532979887983,0.0371381627557013,0.0847684331181228,0.11957519659008,0.129274224959454,0.0814117306600242,0.0321256817880327,0.00691938860438165,0.0095605735964115
"60-64",0.302853393344462,0.324585789507541,0.211036310621479,0.184187204448084,0.116740761190292,0.155177761065767,0.175213538597967,0.142976976886698,0.0654858533115348,0.0376221857351028,0.0610165659149164,0.106625174868489,0.0932646167107541,0.064897618885487,0.0142550077660568,0.00293225895736237
"65-69",0.547422623686331,0.817334104251194,0.747323490957772,0.36007041849155,0.276424492377131,0.291485529649485,0.436242496952937,0.526252424862168,0.362836325896796,0.138087955607092,0.133284142119067,0.183904346079549,0.216676678117539,0.267763906397401,0.0946621409366474,0.0219669062755989
"70-74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
