"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.321886261447613,0.043350784376732,0.00789400118692638,0.00809810662545841,0.00535034176357686,0.0218089285313543,0.0401348559408109,0.0299268603045013,0.0140597968098173,0.0166484625964348,0.00947423622808168,0.00741015798864386,0.00128223081887612,0.000779483649339612,8.23607255583051e-66,6.37925746639959e-120
"5-9",0.0542445565756893,7.8270102240578,0.36395315935084,0.0390344495583013,0.0369265228068416,0.0930569128288628,0.112241068010291,0.104077034174879,0.0893139259663697,0.0552652273853444,0.0436938866366646,0.0137098479350215,0.00583119448665192,0.0020748936220555,0.000347188760984745,8.08367120454695e-39
"10-14",0.000457116735030887,1.41297648341668,6.87013588123057,0.206376526555537,0.0202008522533271,0.0619391687243855,0.0585022484194804,0.0915497417384693,0.0850208342112218,0.0582765694047419,0.0386256363778367,0.0198259963423187,0.00559089844802973,0.000983011667101076,4.93164401188661e-25,0.000181972955094555
"15-19",0.00259697321498065,0.058693978562915,2.06814367208131,6.86636805767368,0.080436934704761,0.0678786729859607,0.0702883603758171,0.0970284517615187,0.0726132840974558,0.0746717375559535,0.0389238331495597,0.0235993185490133,0.00595219755771229,0.00142998222365219,6.20227314678708e-33,1.70499116924037e-70
"20-24",0.00719153383891248,0.0295255710852723,0.0100111870100632,0.822654508260771,0.406705881375829,0.0442192165591642,0.028106244556542,0.0340468382497795,0.0201942604142801,0.0227556804168943,0.0117937288949518,0.00858093054613594,0.000705039600832999,0.00142392222607486,0.000177065877793554,1.21903261426683e-47
"25-29",0.00703755568359601,0.129689329347158,0.0347561893774822,0.173582110754148,0.244930955465459,0.137692913488787,0.0228046295040532,0.0298604893105893,0.0330813985585678,0.0266860959529102,0.00683616736057673,0.0114999103127136,0.00420265199819424,0.00269580944880698,0.00046280327933259,0.00128529394782678
"30-34",0.0141385937578556,0.400806601372219,0.227192739494693,0.139862345664377,0.0423474481131387,0.0713786682451575,0.0616732630235446,0.0423639255336742,0.0432417393645723,0.0208574316096888,0.0168233913753909,0.00265749752771048,0.00525521312562642,0.000490838207945444,1.65329667084837e-48,3.11029281850767e-55
"35-39",0.0240858867473187,0.232146230004575,0.145943034133168,0.0716158143668819,0.0164315074658178,0.0454237757064132,0.060318409371221,0.0446529458675405,0.0467233722866192,0.0207745221089819,0.00305099228327407,0.00738097209684109,0.000550963228585983,0.00229749556473779,1.84326404765362e-123,9.69135880284409e-67
"40-44",0.00780856740125866,0.118293801308795,0.0809989944971022,0.314821650745876,0.00735234530357196,0.0212141374282997,0.0199258545093109,0.0267568535660474,0.0543870460011286,0.0181433843064861,0.0201979925638067,0.00591015264977648,0.00535468465731018,0.000516807543857724,4.8094970025136e-68,2.40130240777788e-92
"45-49",0.0654858977254463,0.231797338162158,0.130339796688731,0.447850642626702,0.00488801337182614,0.0243229573071489,0.0451341889862151,0.038821944853745,0.0345725814753765,0.0195903105087589,0.0242206923915376,0.0117427749085782,0.00313597923962251,0.00178855988929868,6.2060994596177e-134,3.27174115289245e-72
"50-54",0.0172701650106684,0.358132602927954,0.391746312219971,0.403054426809049,0.00478556896595897,0.0121329800492561,0.0327414004983042,0.0322173444026999,0.0385683806025697,0.0500302539969261,0.0256048842415578,0.0144301460337973,0.00444716453733846,9.39399750985652e-24,1.23751545930704e-117,5.64100953542919e-78
"55-59",0.0614341627232772,0.338178468819792,0.258517167311303,0.282669022235977,0.00564456823343754,0.0479914927340532,0.0181364360905366,0.0303798930829924,0.0370394426637844,0.0256861416629307,0.0227048590577763,0.0266217046957704,0.00891921664861313,1.19473990122158e-31,0.000781785341866192,0.000762331160328305
"60-64",0.0363759248543261,0.0729287348501592,0.0333215848130755,0.151592562169941,0.0127900022145979,0.00166446640691516,0.0150164686074077,0.0417575617210186,0.00895983554363378,0.0137481450098773,0.0108913041174341,0.00579574694928473,0.0208483673111934,0.0115997821189185,4.42226236437264e-67,2.12050116843392e-37
"65-69",0.00168015325072769,0.0405177096695203,0.0143110835154177,1.00941804087945e-31,0.00223420186469396,0.00215101616045582,0.0136359629836966,0.00594174236245114,0.00585284755058528,0.00919682155358907,0.00205984533838886,0.0157235020221229,0.00847753467269311,0.0181181256548148,0.0111242485288628,3.45696566722793e-126
"70-74",1.28088189648567e-28,5.10676617790276e-26,1.92792384854063e-40,0.00759316367871104,2.63440666018122e-22,1.6963407362134e-24,1.25790803848173e-26,0.00761688858436696,0.00784550090251048,0.0211411441781366,0.0351987260754405,0.0214312369024509,0.00773823432903093,0.008013532687629,0.0079128459873567,0.0213825723247767
"75+",2.81655295969337e-94,0.0211146737962636,8.45721258620172e-42,0.0212329912560204,4.89583749142164e-36,0.00758831847118927,9.76744003538367e-69,2.23011774426202e-60,1.43655445000311e-48,8.55692669180866e-60,4.69334761398627e-42,1.59793466830044e-46,2.20959264646662e-83,8.8587019216903e-107,1.02042771927549e-80,6.61413709420134e-113
