"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.06182837987852,0.344428835354117,0.10465371358499,0.0601104948947582,0.0603231627672662,0.0605258867133076,0.543125425744557,0.385225495766082,0.22212162360434,0.0211700054886969,0.181461046004925,0.302560097123014,0.300351508610962,0.141818229246957,6.0208251940937e-28,5.3360640242887e-83
"5-9",0.318858904491518,1.99427891819603,0.393666691101748,0.104433812861791,0.0266662036355278,0.314041752829831,0.103277474275794,0.353525017356166,0.524858606678207,0.108356875398911,0.145696505143176,0.146783171530454,0.0232349454148827,0.10773863058972,0.104741246754329,0.064324024309069
"10-14",0.128744718351077,0.554718143333983,3.14844545578332,0.5251997442087,0.122856235002063,0.0543033205173117,0.128697543616906,0.236055271178826,0.483226090857871,0.270855772646678,0.233193003471391,0.0546547782534381,0.0208331103956101,0.055217054626245,0.12619414807137,1.809508536925e-25
"15-19",0.128147070107081,0.0804187272054406,0.825694896898274,5.23190243356842,0.875754828830882,6.81267347259201e-22,0.0287785995000809,0.236178674806821,0.186333505368502,0.398677849638007,0.0801678249939206,0.132859700087743,0.0296833928515294,0.0286671049245877,0.0818741351515769,6.39647462741588e-21
"20-24",4.45891083625207e-13,1.50858761452734e-06,0.0450238204540797,0.0444603114160892,0.691539292753024,0.144876698057428,2.15145569310861,3.53882108816359e-11,1.27991174610976e-19,2.51350158250952e-35,0.142063770000777,2.57687251259981e-50,9.294709868944e-37,7.39070231093893e-21,4.78034461679097e-22,0.049904120097769
"25-29",0.109246381200384,0.177332656709544,9.95941338711391e-16,0.191144103556415,0.541822099639251,1.11600744569023,0.688394248037448,0.547292844432907,0.251638595945513,0.109622221199181,0.329450961016872,0.108261544584445,0.180452589899023,4.3091250530247e-53,4.12015769499391e-37,2.7583018602363e-66
"30-34",0.811541596648969,0.661820811538188,0.815149010300263,0.51004494091269,0.650105780683503,0.817053144475606,3.31046780800361,2.12877893433706,0.809869271191428,0.370129522045072,0.36843162961226,0.369935921042572,0.0841643652271619,6.73933732630977e-50,0.079507672937667,0.223864842454646
"35-39",0.0243211608240617,0.0249002040026659,1.30843816807356e-14,0.0657146256541054,0.462531043907726,0.414192433952062,0.413335802731104,0.76456727717693,0.329877935226341,0.370657459548944,0.195584647732733,0.152054828376832,0.24032922769342,0.152791179264099,0.111069094822163,0.0254046954058431
"40-44",0.213268339012023,0.382477490506909,0.128049258647766,0.0466841067025026,0.723509490505171,0.4594599850713,0.973513565278283,1.57755124465767,1.14262022209975,0.460601303764826,0.381454819905572,0.0510854789414062,0.296798997753483,0.12953257254735,0.210502486884229,1.51974191327669e-83
"45-49",7.20441932934305e-47,0.0405979585610772,0.109885548683328,0.399362958920703,1.28463085717795e-26,0.327253737816778,0.183988056408693,0.758251070047195,0.393917997536804,0.186644002490899,0.259298197961996,0.17924674913694,0.18123567964348,1.62792377086619e-15,0.0395738490884709,1.78916922089222e-38
"50-54",1.28415868648754e-134,2.00528643811476e-73,8.35445924772946e-64,0.210084912509667,1.30770727616144,0.806807343913383,0.467139096731741,0.546983019161734,1.0745807805208e-09,0.212424126081227,0.290702967677795,0.128882868218212,0.0504088606034685,0.129410390619843,1.09154514056111e-28,0.0468979000723839
"55-59",1.5587916375526e-88,7.94695427868934e-106,2.61477487636426e-67,0.130751745106351,0.215547571179108,0.0489232165967021,0.547910829436149,0.294015623882966,1.06485643938426,0.0461837231680815,0.805838018185504,1.74629451631409,0.891144417457554,0.628448990977424,2.53598947658063e-38,7.0429880364285e-16
"60-64",0.0895622833041123,0.149934716565587,0.033275037168889,0.20868556179877,0.264690521924701,0.266887174734343,0.447556150062652,0.928918399237963,0.443440452106112,0.682151537981613,0.743674728764954,0.796722221001337,0.740422651880586,0.627644406114313,0.684092685528643,0.0881376401721141
"65-69",0.0333269619082583,0.0334064040325705,4.96108062170534e-47,0.0331879748478646,0.268878352993081,0.271282984503649,0.208415480875339,0.387135741906969,0.327180090937025,0.0364875800401763,0.326130433076084,0.444267982438271,0.926118880689501,0.149083323937455,0.268119368692731,0.090260340785911
"70-74",5.84284520019813e-35,2.79045573292805e-36,3.93090732158553e-41,1.45791007467909e-50,0.207047958136959,0.0915133415985703,0.0880826205334088,0.266846717403925,0.444859625053939,0.384844196726583,0.146746636114375,0.563380563806792,0.625471544945763,0.444780078342739,0.982330482205067,0.0349699932973746
"75+",0.0397244785163728,0.11021176541405,0.253376371833656,0.0412340444822763,0.253422846007868,0.10984201034747,0.326472037321107,0.180697365816506,0.402462776453266,0.326408982850998,0.183108086253823,0.323761327067397,0.0356639685986854,0.471884350136906,0.405350806203586,0.327779801547494
