"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.298862156806921,0.0354444239403991,4.65442343013158e-15,1.43596248185318e-21,0.0114759013360953,0.0122298411884238,0.0117864833818163,0.0271916260298477,0.00429860973376893,5.82625707809115e-19,0.00429509236574522,0.00440297565055089,1.25021522920215e-60,1.34143256502066e-83,2.07487618175347e-138,2.53671074719968e-126
"5-9",0.136355691329696,8.50941356552543,0.301892088748961,0.0722583448242629,0.0203769392618208,0.0649333612348863,0.0505594990203012,0.0717185053490979,0.0787051718451597,0.0267838741667198,0.0400626952085759,0.0207403141593725,0.00567744080346997,9.41917349592835e-96,1.36802648568949e-88,3.3196513055095e-122
"10-14",4.13325519725329e-27,0.660567630293021,7.36031333993764,0.140461255636459,0.00681500484688919,0.0190508387683794,0.0311028519792999,0.0205869820326173,0.0681555304636045,0.0227020893018064,0.0754455283393692,0.00658865153697943,1.63822790425732e-46,1.85651012224245e-81,1.92565622616168e-138,1.16167022920463e-123
"15-19",0.00344067535474845,4.55289031070548e-56,3.19547691084779,5.50028083175312,0.0156300644486141,0.074785372287518,5.75929284640278e-24,0.246529946882507,0.0929342993676036,0.0920157558896974,8.60764581067199e-27,0.0424608397057089,2.49185873503064e-67,5.25744314173952e-119,9.59181736278444e-125,2.44884230602786e-116
"20-24",3.66717751666803e-93,9.99650468456631e-50,3.81585739217303e-51,0.202346769916724,0.129160614652523,1.65458703267662e-36,0.0138208869904951,0.0135205549947466,4.7877416622099e-17,0.014497428673868,5.36245362455008e-47,1.865412203286e-66,2.19484546274481e-84,1.59363846760618e-144,4.71476479571477e-110,8.58398633014416e-119
"25-29",1.52948980993786e-43,4.32162156824369e-140,3.9230683042246e-55,6.40703153802075e-54,6.65059880178408e-59,0.0316999296471247,2.91146716190945e-72,1.67220108185415e-33,3.99018223517166e-30,1.28201158658384e-63,8.27927132675592e-103,1.83348556352666e-100,2.67519004625865e-91,2.98071030332808e-125,2.94141077301518e-118,3.01576385074087e-120
"30-34",6.72990559384446e-105,1.06453292107518,0.402422952783884,1.88225259956255e-45,2.38858157989046e-61,5.38985195450823e-47,0.113106109788048,2.88579076980956e-34,0.294779102185128,0.130179623431636,1.81596710967565e-58,0.0401406475948616,2.20709617526267e-86,1.728043213314e-82,9.84500296855606e-122,4.98335756078393e-122
"35-39",0.0441690506683038,0.393303769253571,0.0902148691194534,0.0374889325197731,0.0142278847016726,0.0150102903931567,0.0405167977399042,0.0431184500721788,0.0167304662921239,0.076958874520554,0.0431924399605439,5.80871318109091e-64,0.0118477458226855,1.20467257024355e-118,1.35582627653592e-116,3.57143529121813e-117
"40-44",9.02732023310879e-88,2.8296183279001e-65,3.94162248917734e-72,2.76899174573055e-99,4.48505789304523e-96,2.41689454248131e-67,7.80266433189469e-68,1.0045217725083e-59,1.54593830912489e-94,2.07639024695006e-64,9.86336158261716e-96,1.2927589320068e-59,2.53850108680762e-114,5.35596488617364e-97,4.40241387042943e-115,4.16113810051515e-120
"45-49",6.72925213427485e-107,6.72264240153641e-102,2.69415661401417e-158,1.77898637974634e-116,7.58076019220887e-83,2.01741793408886e-100,2.27026006901621e-41,4.18898785594738e-86,1.82926790222669e-52,4.02864636178543e-107,2.3356908912988e-67,8.92023507737954e-121,2.35726052834316e-121,7.33258586624339e-116,6.46117771796542e-117,2.09969921463242e-118
"50-54",1.37352164438758e-103,7.78608938232175e-140,2.99229185157889e-113,2.54984465612136e-101,1.77382279145847e-92,0.463583534181181,0.0733853930757203,0.0781541440007703,6.48813592266852e-62,0.378378040416921,0.21384751884731,1.95388966833347e-74,3.03256799972152e-93,8.05608670580124e-123,1.10902880952824e-118,3.99612835371829e-121
"55-59",1.03790596353661e-72,1.65901420101078e-90,2.19061395579777e-125,2.63790408941456e-135,1.10855411169944e-80,9.43016817743194e-56,1.52631133246027e-40,1.46246359163351e-93,4.58088307654617e-80,3.2254108558522e-93,8.83101880666378e-75,9.71077396173328e-88,3.69729722104206e-130,1.71778746322208e-120,2.27845728559458e-114,4.4962627073473e-120
"60-64",0.0472184281494159,1.21176384889955e-99,2.54228760868766e-103,4.70551971572054e-118,6.3960550879199e-142,1.96440854852148e-104,5.81819647089868e-129,3.01152203365503e-124,2.41671167192483e-125,2.54664956497206e-130,3.29732699732782e-97,1.31326916334961e-139,1.87524397371053e-123,2.52135008487401e-108,2.23542779159038e-115,8.21673979775406e-120
"65-69",3.15805129297756e-75,1.10278102554826e-94,3.81218944078473e-125,4.91166568755593e-112,1.80530189850597e-115,8.9588976973008e-121,1.27742606680584e-129,1.46447930230631e-110,9.93180411812708e-121,2.01185749870812e-93,1.10079660196212e-98,2.85291743415671e-89,1.01127820348241e-124,1.79916898413084e-118,7.94806200569949e-116,8.35259483360356e-119
"70-74",6.29873535281547e-105,4.87158661499141e-133,1.99532062742919e-117,1.70134935760635e-114,1.87827460346727e-115,1.09109954084388e-114,8.03893950117791e-115,1.11282115239127e-115,1.9871943098622e-108,1.12098504958184e-94,0.0550573122659027,9.82702433579515e-89,1.76345806123018e-100,1.2681313598503e-118,3.00345220752974e-116,1.06568831441248e-118
"75+",2.60991240860375e-129,3.22754844544742e-124,1.65094055622514e-114,3.71251823255385e-119,5.20699222237891e-119,4.41716443453424e-117,1.32598799144139e-117,1.34066939146177e-122,8.23743135391167e-128,4.14985068729979e-86,4.48887710553386e-87,6.19264141882489e-80,2.23388085978069e-132,4.71071673551559e-122,2.27024465683938e-117,8.76485744480913e-123
