"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.597758869112908,1.30693666241093,0.924841486660473,0.388822972536672,0.51742467396391,0.68232862397532,0.59611081543995,0.553951254036695,0.314122681204071,0.191944211778276,0.216516356652051,0.218781169120304,0.142713521690372,0.074633241566406,0.0209058498943584,0.0174663271472093
"5-9",0.76148389675635,0.986876019782323,1.09695205707896,0.435799533209812,0.20975910671074,0.513920676755742,0.564622264404898,0.531605424810375,0.395859127501576,0.237262533989003,0.194254880702116,0.21733455974554,0.161998290409253,0.0795521092891044,0.030395189204927,0.0167347988425765
"10-14",0.592646444930984,1.22270763248992,1.34408832320397,0.57815702773941,0.212714593840765,0.236274926291088,0.298556452038922,0.387748025534185,0.334002472271509,0.221682788507451,0.151406737305071,0.0929373875172345,0.0815208498476852,0.0722889946510726,0.0385869814080429,0.0132401492646914
"15-19",0.324423714416574,0.564548639451615,0.790122446346032,0.704361921137033,0.316051812265881,0.191435943079868,0.12280520835746,0.259688639785013,0.227997452231797,0.219501044150663,0.176387520057669,0.0865789624227357,0.0682865934311989,0.0395631415771574,0.0174974960849896,0.00869347202517913
"20-24",0.460498624443204,0.381667133894658,0.337339181807717,0.504338474667171,0.407504764186681,0.379862239879452,0.155475137977467,0.090766117238418,0.126265302527711,0.173103167712982,0.14020195314078,0.0976792271606541,0.0429445927295063,0.0182705255847229,0.009581290018864,0.00639921439462766
"25-29",0.602921437596881,0.343239642942976,0.188731193799112,0.193035822224091,0.283487582721716,0.272384459016875,0.184816461971447,0.0860216753115076,0.0449103719870711,0.078753650079543,0.116344042818865,0.074730737894749,0.0451354765118823,0.0197510600767458,0.00365393402859913,0.00533384303718797
"30-34",0.678095845397405,0.895018692356196,0.584728096712887,0.149934507247887,0.208204829822721,0.326234503476071,0.171615940880052,0.189558290355625,0.112820413891073,0.0741490195491778,0.0825495411117107,0.0913024294577831,0.0718755036922167,0.022444822829752,0.0100755812950048,0.00534293438789072
"35-39",0.567847163108132,0.817330521989374,0.622736927135193,0.260499473917084,0.0924432502186671,0.118257678894021,0.134785398534172,0.167882539798128,0.107083466820023,0.0582044151937088,0.0615310726588166,0.0465261110462955,0.0605866645170389,0.0351445157948333,0.0123701776259949,0.00466202255856251
"40-44",0.566343000392441,0.91191141273062,0.795510570693837,0.399509918049364,0.173286613961841,0.133227104467774,0.171509299179128,0.185350362128901,0.113560593778157,0.097480123533052,0.0654219331665473,0.0327698467094532,0.0869994039193729,0.0589978375520278,0.0177549770689747,0.00988646682964475
"45-49",0.351567679915898,0.655776441263528,0.647647404035996,0.443148485457496,0.25409505500023,0.161760341232699,0.104924813067195,0.153378631170631,0.0948300055942184,0.103035038150406,0.116970607427335,0.0662311729363325,0.0508980134293281,0.0340551052607735,0.0187914347004245,0.0185423334409065
"50-54",0.447911562344942,0.450532934964572,0.533689967736945,0.311759001729968,0.24606714283723,0.208556969093291,0.136655195342926,0.0977029690097172,0.0792619141235791,0.0972491710368072,0.087845990974229,0.10695934751642,0.0518360210569846,0.0257588957936924,0.0203160043516502,0.0167925253175294
"55-59",1.16525879141517,1.31493170830066,0.723686139504458,0.500970557318758,0.36313361728993,0.485512819580096,0.437936827861408,0.216666287769882,0.134603846807349,0.265052321027226,0.254907337450173,0.121894342027008,0.138511102931524,0.0941019627765287,0.0231687203301448,0.0348883877508272
"60-64",0.647653025220529,0.717535806048778,0.449888082563851,0.256242816612589,0.149468620686778,0.17426051201824,0.191784792770188,0.188877258004071,0.132115479293336,0.0843088368071042,0.125352016047755,0.0955271068212236,0.048670065299667,0.0557013002866154,0.0190562798054687,0.00448151896099716
"65-69",0.434470871434951,0.686893955047343,0.54964754372757,0.186508841242429,0.142529437672945,0.141509756839717,0.204140820157784,0.244026489532087,0.195259173262437,0.10405684561567,0.130801645389772,0.107090102768476,0.0723963147096311,0.0383480731231804,0.0284497461471069,0.00911710109548241
"70-74",0.129965997229694,0.433229750343719,0.336970165488886,0.180891894027429,0.0341220308665173,0.0887657707989973,0.0551282989786166,0.115294613521733,0.107055824647294,0.109488539615658,0.109439427462849,0.0562019453947226,0.0627146755821584,0.0339850481408043,0.0152669522788307,0.0179978031151856
"75+",0.198032486029548,0.279323101229731,0.355395965077611,0.21956442429667,0.0531523486656436,0.0544457685992576,0.0656482841238358,0.143638011190005,0.11707958761643,0.129035664786857,0.14436610533615,0.097180589058948,0.0355275962417243,0.0542251325782956,0.0232043465406057,0.0125094761132721
