"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.357237057543661,0.0415264091732803,0.0417613438690888,0.0118107486655141,0.0960364055185273,0.0273476079918034,0.0967169187618847,0.0586431791236608,0.026233558520923,8.25524328736192e-08,2.48204649187319e-16,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.0740146969663744,0.680988539302043,0.513945693264681,0.288908924052738,0.267962036535589,0.248891383553797,0.279374684128356,0.22989388376775,0.152518117549843,0.0924697798301001,0.0536563019007064,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.0912317252996825,0.346394974389214,0.631491213445208,0.591564392176506,0.491217579566551,0.540794696189678,0.411404563101667,0.343914947268933,0.296660526647441,0.174145410601452,0.139174373230008,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.114684542843131,0.297605602412672,0.587420922694362,0.966906476956151,0.688369470671475,0.67154807924642,0.625101885515908,0.457443132684367,0.424802971364803,0.250757389841265,0.181450822610052,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.129282340167871,0.160011158858081,0.404957841066054,0.65263464736725,0.849730441330377,0.744611997555031,0.672355943678277,0.572957537643364,0.390439927735462,0.291064253469887,0.169038338125345,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.0794401881899581,0.318903025452913,0.335658100960041,0.612507872087008,0.652550419779572,0.900999492337882,0.883185628478043,0.637927878185704,0.52474846612815,0.266777333798799,0.119703470023602,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.090449058336397,0.200679674024371,0.398073801155354,0.610374486820783,0.716267337325352,0.765918629051845,0.945464531888035,0.792927181314073,0.643842280401365,0.285395380664812,0.176852447058158,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.125960416363518,0.26182381377057,0.283181676419454,0.47891613809324,0.610920063513492,0.671124101241536,0.699575211988091,0.712652702135007,0.518599057069734,0.337157615556655,0.147027992755061,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.150981821091698,0.217103715355182,0.261306492827713,0.534905415939501,0.620350968168513,0.645481558674561,0.880676862639527,0.88665541384044,0.760996348385948,0.471701295467277,0.194795057208279,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.306166668870777,0.19200445650535,0.231714074357668,0.416600779541204,0.576289718808737,0.542947478111463,0.699361980326329,0.575836982806457,0.603126984123635,0.482187571076701,0.241836197524486,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.264724569739086,0.0666841901475204,0.23589105628395,0.410970029389849,0.45041507648785,0.531886397780004,0.579468378992508,0.590587979461664,0.509783896740685,0.502766671971617,0.21246652897348,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
