"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.45306403980684,0.886907178133594,0.591074185397715,0.291172789491453,0.449139335245097,0.604677905511105,0.552652114444386,0.473600696183646,0.258367214169945,0.140709571774976,0.148520525248816,0.144375580222401,0.0920117633647852,0.0461743572611776,0.0143752211969074,0.0121159791913375
"5-9",0.685950217767373,0.899342207790119,0.977187766987914,0.421717296299052,0.181028951661054,0.520692157642059,0.690702235559797,0.640144873889838,0.466728877229309,0.239414863028642,0.153640618673068,0.166954699661097,0.117653131926359,0.0596865771461499,0.0254771762607534,0.0146558824528574
"10-14",0.492263979177113,1.05841771533958,1.28942791597166,0.652251711524667,0.200812046967109,0.191757762198004,0.326117823410021,0.503276846087489,0.454082885778406,0.269483183175525,0.141572869570189,0.0758215474477877,0.0589770081819553,0.055843068362587,0.033079073654665,0.0130428989741734
"15-19",0.275018723488882,0.471225052452049,0.77197709793858,0.835659083383596,0.361346652816278,0.184017780617006,0.109349092327222,0.299242674912225,0.337062467522843,0.321767852609512,0.213590491082048,0.0906752037190129,0.0591160085119683,0.0347582857900978,0.0165747522187253,0.0088617040996212
"20-24",0.41992690758793,0.286137622305063,0.276193204304875,0.555683074642687,0.550727109615255,0.419647694797299,0.136562182359518,0.0764615386539746,0.150877577459146,0.247028681804213,0.181576580180123,0.114217016961231,0.0411450057926554,0.0158296803527164,0.00983284341749921,0.00677729013035895
"25-29",0.608977998461085,0.306732467707455,0.145197560253621,0.1963848449271,0.345472299924359,0.387252025498368,0.212883092624874,0.0754547107350628,0.0410041060267483,0.0898838543841167,0.14784366108371,0.0934329390142681,0.0525308223268803,0.0205146772997593,0.00379358302789604,0.00544417038755245
"30-34",0.554826920524904,0.718246664293028,0.443726192218601,0.108785388458096,0.152899951230696,0.281567445635111,0.234531473369198,0.184117847847967,0.0909480380997,0.0496351130326827,0.064598378464647,0.0772289961331648,0.0650761273341719,0.0190448268117346,0.00951233456275895,0.00423181937259181
"35-39",0.542434376136697,0.818782371443995,0.689489978025275,0.301696750888329,0.0824783751160274,0.101427657589508,0.165476152386904,0.252751732464464,0.134341202929727,0.0584527604114778,0.0495485752891382,0.0433545594255244,0.0633150702248167,0.0380017758916537,0.015639804298969,0.00492486175866768
"40-44",0.414192793450232,0.695072760129043,0.690760484266556,0.429071309277023,0.159039248468885,0.0919643650515197,0.132830287189238,0.171395680046242,0.165940081715028,0.10988959286897,0.0545260096441232,0.0218405622367087,0.0557622470985851,0.0452378469183865,0.0160532028137663,0.00941614896015902
"45-49",0.285008513997872,0.54261800318277,0.610803013389026,0.547953032808798,0.313059102148776,0.153339959352408,0.082470080580709,0.139219677370367,0.124885332308507,0.1693362029702,0.126272459222659,0.0523695750120922,0.0370057676983734,0.0251871677275092,0.0178012150649551,0.0185815419007155
"50-54",0.350258267689802,0.333336236563142,0.438933897071883,0.345443422901141,0.295204534210777,0.225275647237498,0.126825868110522,0.0769651330964968,0.0827165385686968,0.11131563406548,0.125885576202491,0.104539804169825,0.0394884892829657,0.0179912885730539,0.0162473346542592,0.0162980187806409
"55-59",0.741821081900368,0.806449824600553,0.464805159327716,0.399039075068878,0.315026937300301,0.398867125121965,0.33867133163341,0.15430300096643,0.0910203542361355,0.177493594255536,0.194857032621357,0.13357731018893,0.109910921944814,0.0625332920191553,0.0152079707666141,0.021984935949228
"60-64",0.551549684308745,0.565994246415758,0.359264718338447,0.259344215927355,0.169109511917725,0.212993452081742,0.245264932431265,0.221669227029807,0.119718192190732,0.0712098656815735,0.108180773753361,0.114174876037429,0.0873084510432345,0.0675370673633828,0.0185917670592532,0.00408430349258121
"65-69",0.383226576638687,0.582463924363797,0.483134915915654,0.198080369768207,0.153131774261246,0.162214579843631,0.251534429382922,0.301760170665341,0.229951409528148,0.093665822813682,0.107128500596711,0.102501807554352,0.0890671855801339,0.0780587385728456,0.038270498767228,0.00939560498857128
"70-74",0.144836464468816,0.463350158108065,0.372971645154119,0.240594589022511,0.0499951286161504,0.121233262784598,0.0905156485877545,0.198348884303939,0.180402971904,0.161419873046167,0.123784201101701,0.0614678120552764,0.0733664342141992,0.0550203396239924,0.0472370040085975,0.0335458178129441
"75+",0.14313761935182,0.19973629583469,0.284092958492106,0.200374226011254,0.0524069981352025,0.0461147481592399,0.0582478486637546,0.138175958696708,0.139331856546135,0.132306230408621,0.131960597656688,0.0671194235346405,0.026261053919683,0.0442786235968241,0.0277857491367798,0.0186170455917873
