"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0.00539165497729278,2.27389456479317e-71,9.67351784097344e-59,6.46966804136215e-06,0.0223081594327978,0.0568531775738966,0.012531063967849,0.0482455906748204,0.0135495634364258,0.00369550524990356,0.00352441111742794,5.22446943574593e-56,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0.00588840953124094,0.12872313813635,0.0261256795243933,0.0289938064583208,0.00840440363289081,0.0677049918033656,0.0190769256615024,0.0662707910005248,0.0384901188423116,0.0154661395960161,4.14539431717843e-08,7.53141205464841e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0.0234303361962422,0.0465651688054643,0.748042237005138,0.623004382877826,0.358949648125381,0.329838361091165,0.303139133070449,0.334233404396428,0.263452463694329,0.156996242223783,0.0810734950193084,0.0284269545361519,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0.0202652684091735,0.0633397956370746,0.419899592660255,0.844751042765382,0.811077125568865,0.667251176838839,0.726862259098738,0.543149596235665,0.434924078723039,0.33698854466844,0.168491757029253,0.0813685216752907,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0.0232833698518818,0.0816083057733305,0.369754678282872,0.805396132321292,1.3587617172144,0.958375610352403,0.925114549800849,0.845862691144242,0.592922890334917,0.494585778940109,0.248667524126585,0.108731354244262,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0.0364350735802809,0.0911431423752838,0.19696005850828,0.550079246471333,0.908624154841723,1.17206216767589,1.01625746473758,0.901371097548481,0.735764553211646,0.450363952162483,0.285962786537901,0.100354393166131,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0.0247180884357018,0.0554152511287206,0.388410339036281,0.451145706989396,0.843781646983646,0.890610462087832,1.21675324662273,1.17154944233487,0.810573224882834,0.598914494921085,0.259342578749197,0.0703172962117873,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0.013786239365887,0.0619760298191786,0.240085642876341,0.52554989361189,0.825934168478642,0.960239411956491,1.01599427550228,1.23192574229625,0.989656857918178,0.721811504752364,0.272522583420381,0.102046275227103,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0.00785387807540946,0.0826734066554509,0.300043340262966,0.358119153313994,0.620755500601669,0.784514205760953,0.852753493995423,0.873143741933784,0.85200337088662,0.556913920685659,0.30839020488865,0.081263992614408,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0.00109603380988847,0.0890121681205594,0.223478154799848,0.296828485156284,0.622774861841847,0.715561329428089,0.736711561154026,0.987326727014806,0.952162824223275,0.734060572024073,0.387549913944183,0.0967094769891966,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0.0139848261856911,0.15374247918161,0.168341185377241,0.224191446573814,0.41312873954899,0.566189121058589,0.527816201975379,0.667817163615446,0.526704653599334,0.495529295850205,0.337433221660461,0.102264207786664,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0.00258934348184542,0.0803268521448966,0.0353290922865244,0.137914086342078,0.246266879403427,0.267401656778577,0.312445523729119,0.334361161927418,0.326424487621789,0.253091298813566,0.212602728363315,0.0542904450317455,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
