"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.565879256522076,0.372693500195253,0.194404568917695,0.0912742736630058,0.164679667647777,0.333327547956049,0.431838669752457,0.384965417685621,0.172594771796825,0.0601788778706692,0.0798584403898936,0.050932594355459,0.0407537450997423,0.0110699939071351,0.00480997971101283,0.0103102734144734
"5-9",0.213057504702583,0.739718707686436,0.319818548525273,0.115017024249822,0.0389571055527649,0.157647021730517,0.365456817487518,0.424551079176813,0.273748192446746,0.100081764014402,0.0445826276092399,0.0489650978962458,0.0293339023944321,0.0124056826396768,0.00641499866531034,0.0106861756934786
"10-14",0.0944358349251341,0.269344038537165,0.883185932903176,0.247585972088038,0.0471862306381384,0.036962610574686,0.114642216509158,0.259040791723402,0.3227327655599,0.146448235134019,0.0461726930267343,0.0171887717257255,0.0116888414044046,0.00976810982699649,0.00909797949949077,0.00679377658287093
"15-19",0.0390160006477227,0.0746722977399409,0.218715785656262,0.624443236804799,0.124862594239026,0.0305971079037987,0.0217812136056446,0.105229425031498,0.215188009431562,0.22130917138351,0.111934964996727,0.0315726310530858,0.0121531645543796,0.00728675249195964,0.00334200159256569,0.00529793978580473
"20-24",0.225927378308458,0.126344123739939,0.159510289577008,0.667293576954656,1.78407948715946,0.445619765593455,0.0863776861680967,0.0390349300808852,0.237188461220215,0.673293719058583,0.459740151544961,0.190119866029286,0.0401699360353983,0.00738081561190554,0.0100986112339047,0.0167276728096931
"25-29",0.84015247214922,0.31584225650744,0.121747919299978,0.210228497251301,0.666948939411865,2.21539157106259,0.432008003752729,0.077926016132343,0.0468512054903056,0.226633888166303,0.612400537542485,0.355867698344547,0.153729599116141,0.0369353773084094,0.00537023216238236,0.0240174963841956
"30-34",1.18947976576207,1.17270574248949,0.598232050747827,0.13458649318904,0.178809772364768,0.532763384460528,1.85564497883553,0.467806847671817,0.152623559223099,0.0567020793964781,0.133825103063962,0.197629098819975,0.147628498747707,0.0330892991871003,0.0156600157132271,0.0129364489056024
"35-39",0.914398075046332,1.47221759254695,1.20936967695432,0.498560081550345,0.0738418695909691,0.0910973102471225,0.324841923627373,1.72235887902793,0.321619252231045,0.0811862468313099,0.0476570254503281,0.0584573080187418,0.0891901103080613,0.060767158813369,0.0301747862832996,0.00809378099083228
"40-44",0.391146181076923,0.743899718533871,1.04522813426358,0.787774400414221,0.224905735713548,0.0651713140876419,0.132769482093191,0.260677556486068,1.14486077162245,0.235254026758153,0.0685607312028482,0.0170380554530324,0.0500819645041777,0.0503976719138327,0.021363117295654,0.0159612155201908
"45-49",0.149386090372132,0.308372896117041,0.47038938472447,0.654516086975241,0.409794949124631,0.127670812273779,0.0392397124615165,0.0875416893386747,0.165209257094426,0.707627952864496,0.163100308254019,0.0307093605244477,0.0157273382618619,0.0143814185068916,0.0130396524057954,0.0293652965671738
"50-54",0.152552896439816,0.131171382204012,0.204076925667715,0.258020087031821,0.271574390321885,0.189293032997955,0.0726695543255483,0.0300780400827124,0.0535071445701053,0.114124877459124,0.387943119988674,0.090741965154386,0.0184046756313754,0.00637220750526208,0.00653776451085422,0.0208876536201739
"55-59",0.165577077625844,0.176112876688241,0.110924589542551,0.136032586277461,0.117865385128461,0.156231554979386,0.11760373878897,0.0408333974819644,0.0213925595791668,0.0476517463111883,0.0861969014218984,0.250010143650356,0.0581233385997769,0.0172700352450827,0.00366798506705378,0.0103946758171192
"60-64",0.0821890397315403,0.0808278711855534,0.0534540964894248,0.0455128017389697,0.0304519181607479,0.0464806834850986,0.0530105844219117,0.0388103831020108,0.019834060473829,0.0101928391615829,0.0190294464928075,0.041659755745787,0.108116136952641,0.0227872190402932,0.00427413822188487,0.00123928726819735
"65-69",0.0311237066727022,0.049195694855933,0.0442895748018862,0.0220610828350006,0.0138033911899119,0.0179933433111748,0.0281599867965891,0.0385975543751401,0.0292364048169347,0.0106136843548775,0.00890201256902528,0.0123475508223381,0.0197370875116059,0.0616350979359851,0.00712924464708197,0.00193585337567569
"70-74",0.0113047898291566,0.0358937157068152,0.0321484251631135,0.0225150282394991,0.00499010557596198,0.0109877909492095,0.00841104349479404,0.0231599558995849,0.0200817459364437,0.0172194929443682,0.00933622658567376,0.00523615833601385,0.00870257245487162,0.00844130350655124,0.0308734388056751,0.00735936347767844
"75+",0.0303636600369553,0.0431101553325839,0.0642968568413698,0.0539951004283204,0.0130221226763119,0.0121107240329398,0.0124057604495739,0.0241246887989689,0.0288100173708688,0.0336097102453073,0.0375106346229276,0.0177796769871699,0.00623081922667208,0.0110389052820606,0.00883506754141462,0.0265157929245905
