"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.98595460644101,0.276915266320908,0.0492817958214361,0.062937649768067,0.0171831618627844,0.0907434431001385,0.158977919041167,0.114149588737931,0.0503800772897093,0.0658760064116788,0.0376981408300507,0.0218137752007766,0.00223160271809175,0.00088833850031913,8.2835384386313e-66,6.39948143209289e-120
"5-9",0.3465022847125,2.51233157849792,0.138471425891973,0.0180556203344038,0.0182807041719585,0.0614740472857148,0.0780047602690979,0.0722619769453536,0.0661490138830083,0.0519626841061628,0.0476074156871169,0.0129621704636531,0.00407108384667933,0.00119310411843975,0.000348430033305631,8.09866411578193e-39
"10-14",0.00285375351091441,0.537588047757337,3.09144630941506,0.11283594425425,0.0116442203461828,0.0475010862846881,0.0470488367457819,0.0734737109635043,0.0724424075989662,0.0625847716338851,0.0477063750408949,0.0210906627555149,0.00434664022653847,0.000621042723050515,4.95070871652142e-25,0.000182343382731916
"15-19",0.0201834080756192,0.027149254180331,1.1307533273652,4.59375871988484,0.0545242097747737,0.0622571501306401,0.0674451386472321,0.092716190869541,0.073423887194181,0.095841544576401,0.0575337373209322,0.0294589195599983,0.0051321905321255,0.000925196966121516,6.23660698446051e-33,1.71002515579394e-70
"20-24",0.0230963357961477,0.0146168171138494,0.00577067076231,0.557636701910753,0.299905851096701,0.0401784804835292,0.0264442759525484,0.0319701026526047,0.0197658618832687,0.0262329268124031,0.0149102869199134,0.00961160918706359,0.000643359250309291,0.00117488629158131,0.000177376776328693,1.22017065832174e-47
"25-29",0.0292821370302686,0.0856736777782624,0.0266544867254048,0.159206523254359,0.222549253011168,0.158950880245303,0.0270852613600092,0.0352297927573874,0.0403340043202598,0.038715852607231,0.0108677267166706,0.0155770331441857,0.00427163865476437,0.0022936868769585,0.000464117370691967,0.00128726143869947
"30-34",0.0560042925557567,0.278550653593614,0.182713560574083,0.13420479926441,0.0398433736509067,0.0847770793472377,0.0751739769587962,0.0512656561518482,0.0538941830995077,0.0307061203524875,0.0269854428835045,0.00363260475716722,0.0054203557064802,0.000425970648442026,1.65774985607148e-48,3.11481526619613e-55
"35-39",0.0918704481064886,0.161182009590646,0.1171273244841,0.0684329739738342,0.015429244165503,0.0535915599958869,0.0729928304683062,0.0536519442818439,0.0577777629780521,0.0302353769708949,0.00482767363071103,0.00998111511959802,0.000566772486146768,0.00200392642673487,1.84797577863005e-123,9.70472985057135e-67
"40-44",0.0279802215151948,0.0876125220158359,0.0690155798740801,0.318336095908117,0.00719637356393295,0.0258650222773613,0.0248345156119872,0.033087319423223,0.0689122300785009,0.02679729179261,0.0321984748241836,0.0080577732321,0.00559616491062761,0.000460901127996017,4.82095717153415e-68,2.40439567856233e-92
"45-49",0.259119987413124,0.217945576801585,0.139975405105221,0.574818515461942,0.00563494014206512,0.0352874407608078,0.0664461408747399,0.0565017154781522,0.0510627751785122,0.0336231575918956,0.0445368108164343,0.0180505046276957,0.00354132498457281,0.00165465926949744,6.22397662867026e-134,3.27686364233857e-72
"50-54",0.0687182688986226,0.390209455168801,0.483844364629733,0.595759092609641,0.0060501820071533,0.019288280183797,0.0525186137181216,0.0509784390072409,0.0614834879217978,0.0919952213313998,0.0500546000286906,0.0233606623070798,0.00521850237325428,8.9150629240137e-24,1.2411991946356e-117,5.65015822278571e-78
"55-59",0.180847833116006,0.319735636803215,0.275007535466741,0.352854425472433,0.00632255250148205,0.0650061654942502,0.0247911816788414,0.041082015512862,0.0504987683591272,0.0394836674094533,0.0367564225570749,0.0369780914172662,0.00973224431765201,1.1327547572997e-31,0.000783264181748455,0.000763114884764104
"60-64",0.0633088922704004,0.050915639169105,0.025905843632622,0.130708348431943,0.0116710695775328,0.00169178867210288,0.0154883540137377,0.0429557470337702,0.00936389731294926,0.0155251823098385,0.0127803448483783,0.00632405597216835,0.0205951899072707,0.0109891247042491,4.42505892914215e-67,2.12122026151149e-37
"65-69",0.00191478656457034,0.0232984697444684,0.00904139246121933,6.53092390606627e-32,0.00184345260955028,0.00183015811505023,0.0118338790670149,0.00518251905410091,0.00521970716200714,0.00850830107764912,0.00195482815342512,0.0149077399179186,0.0080312444447453,0.0173354107822237,0.0111246012099007,3.45700653377656e-126
"70-74",1.28826383606526e-28,5.12502393338969e-26,1.93537679904602e-40,0.00763519704986427,2.63903224463497e-22,1.70115735442585e-24,1.26129623709591e-26,0.00763635878991492,0.00786419532447324,0.0212020429456953,0.0353035027792703,0.0214717766339607,0.00774312785902071,0.00801378674712963,0.00791289434293872,0.0213826439011249
"75+",2.82548219177567e-94,0.0211538355115254,8.47442825033896e-42,0.0212956816642777,4.90040806540442e-36,0.00759993445005265,9.78164215048592e-69,2.2331946100971e-60,1.43840496741236e-48,8.57032407400415e-60,4.70095936675962e-42,1.59957744575928e-46,2.21034195177236e-83,8.85880664490938e-107,1.02043113507078e-80,6.61414921742882e-113
