"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",6.99790596969683,3.40757210425859,1.62732291381587,0.919670832548479,1.36956165468991,2.04057170558735,1.95415599135098,1.37110865003249,0.729273446665555,0.429206602037009,0.480044929390589,0.390563654478131,0.227854267285318,0.132659782172672,0.0610611110752473,0.0324347715277922
"5-9",3.11811297164327,13.7784959983861,3.18872370352072,0.884439766697153,0.585519925329325,1.31367121157775,1.44110435931099,1.22301276419759,0.880905240471915,0.414756761508641,0.309866370057165,0.280657404448055,0.202779894758513,0.108024653994144,0.045511822528047,0.0267842027707293
"10-14",0.998704624495588,4.57035291659847,14.4194270218107,1.62984755993723,0.794853281428985,0.743118961965448,0.833435196763792,0.86757617041857,0.853087520260437,0.491623501272512,0.295293946031096,0.149465586758479,0.0962344254523101,0.0805972063302513,0.0486411859453474,0.0251070269608843
"15-19",0.553633797856989,1.21294997889707,4.64071883636358,11.2653956575372,2.5004128060015,1.27238493476915,0.827713600255936,0.909217401036397,0.897956773269907,0.775925276382012,0.467557955044516,0.225220322761434,0.132193831381214,0.0497598652243542,0.0239685100346529,0.0129307096536025
"20-24",0.872572836105674,0.77175070286332,0.83994713668661,4.19510080743347,5.85824597937464,2.83605217698301,1.59306787744651,1.22013981284226,0.964389019023144,0.964317518911677,0.728522092541142,0.41478831427453,0.233549372787806,0.0334755304257223,0.0251094262229588,0.016446898265258
"25-29",1.46878356384567,0.866401385812358,0.519661369193157,1.40578774478362,3.31778292507849,4.30627641749463,2.28499938266355,1.58410319339703,1.26106134189831,0.993233348055854,0.944330948503495,0.52358919532506,0.316780266608012,0.0420886936104374,0.0132375838172016,0.0122924465691791
"30-34",1.30752881717796,1.74540005342996,1.32948885192905,0.701433739460691,1.44382402162222,2.32438833328249,2.53311634020839,1.82968964998404,1.39056045885597,1.07531491031602,0.800001712877134,0.566576201826458,0.329364938239524,0.0433282600612599,0.0205291503505408,0.0124458281589511
"35-39",0.890097767610035,1.27722684641704,0.986183378004415,0.792165135218373,0.832038736620409,1.51294142672327,1.63277695346144,1.99925209817821,1.68624077802116,1.12153885694604,0.870578235657557,0.442926592936129,0.238284743469461,0.0536885867782206,0.023375208485224,0.00769036168860631
"40-44",0.609703025017963,0.980646474264455,1.00614625887589,0.93724708290442,0.926438378562572,1.27488635287944,1.49468732896375,1.52992945503744,1.7830609694814,1.3582399780315,1.03877895133426,0.419408043841304,0.299457451962448,0.0530049002065487,0.0214773653299728,0.0105805624519123
"45-49",0.440817015951713,0.778931868748804,0.807270723278402,1.1459020739902,0.776339735565208,1.01715397487858,1.18084225153664,1.26624937592593,1.24289905649836,1.25170719634118,0.905618257535037,0.508745044624532,0.231197934290796,0.0334407950168128,0.0210747043100733,0.0191835291528064
"50-54",0.536212426783936,0.864745740466511,1.0989249402921,1.02957445491178,0.867087910442389,1.26469182455062,1.20992995570669,1.14115442726831,1.45929599899035,1.47625593117887,1.2351310041775,0.748984849970736,0.303339482013576,0.0334637244551616,0.0251471372517976,0.021463038002565
"55-59",1.07381767613111,1.34493361789327,1.0097424274061,0.885698943069895,0.736972169826214,1.19790272698083,1.28617916820386,0.996308659083868,1.11112357851341,0.996156905575212,1.03007806797432,0.747501484720282,0.413246584100677,0.0843002662113962,0.0255128477114131,0.0305512602696724
"60-64",0.605105985575544,0.656444094759627,0.542408086674482,0.440236794034191,0.500798109162598,0.778724783208157,0.842136539596382,0.93751918837615,0.877683270794399,0.828724496656666,0.73365594889444,0.668967412195039,0.328095024883704,0.0792180245309598,0.0269411584023526,0.00724772559693427
"65-69",0.346882545523285,0.563590599502726,0.441813034867361,0.172559572372778,0.160968740586516,0.181828065828776,0.246534772321374,0.245315494925301,0.189193970504365,0.104354308472714,0.115218886106866,0.116523299298286,0.0880604474998182,0.0784871007279014,0.0442699838961496,0.0102728648600057
"70-74",0.14548886615652,0.459908048798327,0.370908798677225,0.256687507285494,0.0722197083580289,0.138266142702036,0.103525524437719,0.177711688582986,0.156473712647336,0.156503190449863,0.151997911066904,0.093445276683819,0.0951496593383354,0.0669515296894372,0.0512968909076222,0.0489283587925567
"75+",0.209507963429056,0.30703571534556,0.393051200463005,0.287239993953928,0.0713619491225008,0.0819161215167033,0.0905391681367933,0.152454686402127,0.136651632066169,0.138755054023673,0.146996386954721,0.0959512476787748,0.0387708729446387,0.0578478432432472,0.0321582774206818,0.0224977609574209
