"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",7.04261582342409,3.09667943565155,1.45936742176832,0.915075689879398,1.29562195500527,1.71546893092223,1.60554132408168,1.18972438772117,0.67084613462592,0.380469272006743,0.342303254173924,0.269131168533278,0.161516067802492,0.14721249003425,0.0735281714546929,0.0369961033402852
"5-9",3.04623082573129,13.2371688495098,3.12613135005182,0.933358877947443,0.592636564871467,1.15439959659897,1.26366230380801,1.13694178447087,0.860133642612941,0.392993919498014,0.236630819559056,0.208332967082472,0.158037805652895,0.12346112458794,0.0519660113499287,0.0334837149831016
"10-14",1.00678449482108,4.35412915860913,12.6684890964418,1.91271803615012,0.889754628060944,0.675059630917954,0.74559664417665,0.884788245084571,0.883064858700559,0.496293286307032,0.248521301822529,0.127673519086494,0.0828116065193032,0.0966515247215177,0.0622070581083319,0.0385067360414238
"15-19",0.575228827834343,1.27573471555986,5.2950192224569,15.6635168084042,2.50373712827204,1.03141062472893,0.554676119624747,0.729952668424299,0.7470548208247,0.6500282320314,0.331054392346617,0.147847875709637,0.086282245709506,0.05803207465656,0.0302871910203051,0.0173665274790185
"20-24",0.853332866089481,0.69395257486685,0.814338895298717,4.87085249046964,6.00635215094178,2.06238977228067,0.895464348763243,0.556942154255987,0.483445901575102,0.578860879768221,0.357104186126939,0.210889124878297,0.0868461616376637,0.0393230563946513,0.0333281320337436,0.023320049945675
"25-29",1.27264864899311,0.706066709345506,0.383940512166485,1.13261525749917,2.52337373843206,2.52995517077782,1.12893698697519,0.628977746453424,0.434446377479203,0.383339032700872,0.344747393705497,0.201633160033042,0.10780952853552,0.0398757080960447,0.0151793772067282,0.0115441300275251
"30-34",1.04938221292621,1.31632786059954,0.946409981838791,0.487877785740823,0.816345548093243,1.13958675496583,1.09119742457516,0.72602328195887,0.454350125872325,0.303662448616614,0.243697209922131,0.18003826643192,0.112332634627544,0.0387933437341626,0.0189327195061488,0.0130055223146856
"35-39",0.926366475862191,1.28221395885674,1.01891370887163,0.563712102712026,0.43434065601379,0.648980685996111,0.720594429770481,0.811871332663004,0.575140291720582,0.327110533162846,0.216178148692774,0.136537090038199,0.0996448099681177,0.0581215226605573,0.0281615416988715,0.00907960107552247
"40-44",0.719221724730698,1.05863424632052,1.14389607771697,0.955719646734674,0.493386145146333,0.467635022378907,0.548309150525,0.580762867492576,0.631169942766846,0.426059996178521,0.274844273075327,0.110061879931731,0.0995861838874453,0.0430913142825685,0.0267965931192686,0.0115629103514014
"45-49",0.4968023227206,0.820957255592832,0.864600227081233,1.15850133573388,0.513895359835424,0.402067436351518,0.373754884608482,0.428408753203371,0.433781329526284,0.425276707361606,0.308557379447896,0.149107157680022,0.0783878314616945,0.0292356719877394,0.0224479702349168,0.0177743806333219
"50-54",0.39447184899184,0.663219849318304,0.824270761216138,0.845531040032161,0.524369302480776,0.491005452602376,0.372342623240305,0.312449151356029,0.407923645722611,0.438505634717382,0.347465329712342,0.233711419222604,0.0992584936961253,0.0291559540225608,0.0212854349599434,0.0183431408271759
"55-59",0.613336768470235,0.838795987088179,0.651056791494078,0.657398807878532,0.406581289827475,0.51310932394753,0.446566207055231,0.309104282534018,0.318966460805175,0.312265085071519,0.322107019757585,0.264549564140304,0.177183320615256,0.0638226419932159,0.0243278819811133,0.0165796569237888
"60-64",0.49939402899875,0.616927128351811,0.46364529145732,0.454249153909635,0.277056875498007,0.332192967088219,0.352993657779398,0.371718692447116,0.277493297141122,0.247420605442833,0.237520262002681,0.258156667785015,0.153000026251929,0.0924551478951317,0.035672206059055,0.010641073251128
"65-69",0.402889984401689,0.719486906820864,0.618120107404364,0.277941237465067,0.253659268854842,0.259247250099323,0.310624808015902,0.319471500680085,0.225943507800812,0.12810740518203,0.140783473213033,0.168175476202569,0.136679946469666,0.138098433374753,0.0771272615252507,0.0210034950034037
"70-74",0.200869125597151,0.622817396950523,0.646107422209791,0.476489008297771,0.122823600881964,0.200938347976377,0.153692960836099,0.264417836970681,0.269466271011394,0.211542173978233,0.183246604811041,0.142073635062283,0.151274475573517,0.125577684308595,0.102793143154608,0.0796869128231661
"75+",0.250729338131778,0.393994025284155,0.619212448943781,0.471531566279765,0.107173118954457,0.107855143839487,0.124084728860315,0.184224392780896,0.203545281273521,0.173982829786841,0.207328265650229,0.102617013593746,0.0686112485580407,0.0988834075299203,0.0708007762775953,0.0501313229316562
