"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",4.43630473601127,1.73003640585331,0.790478849762683,0.545568254024554,0.814931245338677,1.00510407339357,0.842409959037925,0.582950096390097,0.350487668412118,0.211725344563511,0.205725213081306,0.151679245316038,0.0931403248111049,0.113949014460069,0.0618815596242215,0.0261910361155941
"5-9",1.88374511848024,6.391898778634,2.09162574648136,0.542086820510918,0.40566220989222,0.650178624730413,0.575692290806751,0.515708655162173,0.387343705548441,0.158720136183343,0.10217374241287,0.0934960227503216,0.0803228147323443,0.0852208443303942,0.0349922527293032,0.0232449670575703
"10-14",0.541916266725276,2.59544562009059,8.19730804006235,1.19712086771968,0.699632389018522,0.477840983553906,0.400040041835673,0.385753154795718,0.395523025923408,0.214296707166375,0.113179108163835,0.0621518936673596,0.0403458457409813,0.0593367070480665,0.0364735046953354,0.028235662972004
"15-19",0.276449234594933,0.783963836328067,3.25708193228659,9.12631972100532,1.95223464786213,0.737428466582408,0.338701178194163,0.327027138803939,0.297367248434665,0.225552639246407,0.0818618863308441,0.0358994553976463,0.0243394207825992,0.0315059358843913,0.0162682860209785,0.00971714451107889
"20-24",0.34677764440418,0.397901459598961,0.529690130983841,3.18694367662403,4.55388619724624,1.45379189248094,0.624787808543401,0.334674162304447,0.231096265554748,0.229852455222754,0.112220779561937,0.0656330402049426,0.0244247345515128,0.0266867739051083,0.0253044536090718,0.0179347470670457
"25-29",0.484094320594372,0.22670535700695,0.182235570249427,0.665621578948046,1.64309308199613,1.69335404833282,0.6983095893929,0.377085467260802,0.223871551582137,0.172868735411345,0.117475573475939,0.0556266659549897,0.0202712106686382,0.0214834455889724,0.0116563243816811,0.0052864040496636
"30-34",0.354649452040728,0.227082481222073,0.307990617125332,0.229382977906304,0.536639351346737,0.637169830199489,0.579555542490029,0.333687185874742,0.186448264444932,0.121494288404016,0.0990711275396735,0.0631451196593685,0.0267330185280361,0.0277474329461466,0.0121114779890833,0.010126032552912
"35-39",0.259539300973298,0.275599639844265,0.185358188977138,0.128187522852466,0.269819074872317,0.382462401286705,0.347137731933595,0.341060355503778,0.211153155023713,0.115582696714308,0.0633434957475898,0.0443352563258918,0.0352159074609405,0.0350712390995999,0.017910603679327,0.00637739814543561
"40-44",0.157742999304553,0.18440748061293,0.257964717424696,0.154774599919519,0.245490120161602,0.238061548929264,0.238302895310727,0.207656736573233,0.199985066033918,0.10386932542663,0.0572978239827351,0.0238021549338056,0.0208534571846822,0.0210875077977329,0.0139082312981207,0.00528389048356819
"45-49",0.0406464215324808,0.0601948639431976,0.0700138205244236,0.124722212279527,0.151489656724229,0.151871457504187,0.135075507732019,0.121681673584983,0.103656813906523,0.0906130253901177,0.0566871653885895,0.0229201434307376,0.0150766540156683,0.0142211747612845,0.0109881926938388,0.00763471444795748
"50-54",0.0519747299416578,0.0878834343078885,0.0890791293378248,0.123685765625205,0.199597757573588,0.204625102795404,0.10875652812412,0.0850738920142197,0.0854770787958085,0.0814372964216866,0.0514309715963879,0.0359881498539529,0.020227589103405,0.0159180587918267,0.00909555229294425,0.00551760674119965
"55-59",0.0624866917930572,0.050094009051263,0.0481175032286401,0.053340372455282,0.118035095762962,0.160684764971968,0.120763413944064,0.0808041857967804,0.0701227447841501,0.0421499597035741,0.0497284987617694,0.0410052231975458,0.0245550583364045,0.0197455341684099,0.00948756448237583,0.00463563471111808
"60-64",0.038843579662599,0.0382693804942858,0.0294072347988097,0.0436395137024129,0.0812742729163633,0.101011338188419,0.0756067360583213,0.073078019625379,0.0559544957115511,0.0386454148059501,0.0281163548356012,0.0307752564733747,0.0247547511922521,0.0260032190324074,0.0158110633165429,0.00597028613910084
"65-69",0.0531934805748133,0.0633631198150695,0.0359499364531465,0.0353496780944624,0.0911846482974121,0.115021276878537,0.105597614009987,0.0763175073424981,0.0645018712287054,0.0437429370592775,0.0388651413596637,0.0371711377646791,0.0326024429524165,0.04091748973427,0.0187947206892024,0.0100910306528626
"70-74",0.0172778817537309,0.0330039472431546,0.04245273161013,0.0740015673350675,0.0606346638611698,0.071409548992603,0.0533408459178021,0.0598730928929314,0.0622463013220013,0.040015306849288,0.0263092946552951,0.0232066795005056,0.0353218600878421,0.0458566386234492,0.0366437287029331,0.0120208048930575
"75+",0.0239876998420398,0.0219895917794257,0.0289968106796381,0.0149631507523346,0.0289371150699431,0.0312067350294393,0.0429723847418308,0.0278156538685943,0.023560493258878,0.0249210928540457,0.0146118373840155,0.0124543669351413,0.0109008768495763,0.0209356315902631,0.0158083984022812,0.00965079745130675
