"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.76726228399358,0.773651653409087,0.443129063523549,0.21549855490228,0.346462808520017,0.570773266155805,0.728076632848079,0.668247910415348,0.317290939742902,0.124146424369765,0.123712307042394,0.0989516836539716,0.068940185842295,0.029567454740921,0.0102854472079372,0.0145282672872044
"5-9",0.477840088903798,1.07208851649732,0.67595655486849,0.263135419699036,0.0980833104084662,0.32863932785019,0.63479286928726,0.712979837264682,0.543721734985689,0.20728220307758,0.0923401471558527,0.0883091945361768,0.0556868326973506,0.0288392189569728,0.0131176576986195,0.0121617451992067
"10-14",0.276620108773721,0.68239957034024,1.53684321563954,0.540803605061817,0.120734921726252,0.0958723138809608,0.235595705077407,0.500246767573916,0.593785825455475,0.298001875891175,0.113793579467131,0.0435292177348686,0.0283854058433146,0.0268863189103117,0.020199191848177,0.0112296875721457
"15-19",0.134255265872279,0.236384318683685,0.548299570414975,1.08873597919446,0.27546497652329,0.0973883315663463,0.0578630176205256,0.227408286724167,0.386003758238754,0.424452522082187,0.229733403163588,0.069168016467199,0.0314284727349757,0.0189196171443614,0.00948871868301628,0.00754772684502897
"20-24",0.243988354014045,0.137021417060703,0.153117621370025,0.476528327758952,0.919368486786386,0.326871961551092,0.0815274696288156,0.0410207519874114,0.14406468048609,0.356598465789479,0.244413624475229,0.11968013673981,0.0301558422799718,0.00863187124965442,0.00745169553297695,0.00691258185396752
"25-29",0.590628368055808,0.251041540981896,0.0985038275061336,0.168788605131766,0.382410503850246,0.864950942962907,0.260055491473755,0.0603414088010519,0.0341831119038405,0.10897491974449,0.231724524500012,0.145924119799098,0.0694710951604892,0.020658966524408,0.00365013580163471,0.00889247270200968
"30-34",0.857485007322699,0.962542223152648,0.520164485822345,0.116085651133897,0.165694647638533,0.399723313311358,0.887634125343665,0.321885056727836,0.123268868823595,0.0502647473232596,0.0842585285802523,0.119887007559177,0.10914354324223,0.0263003592003934,0.013479017407665,0.00763277627937601
"35-39",0.799240544919358,1.21832925622065,1.03360146888776,0.430200497853184,0.0878397871623089,0.10567144155452,0.270352553548402,0.892440312809268,0.246882411759426,0.0783604420252572,0.052425352201116,0.0502490555119167,0.0837451592924514,0.0514203404698027,0.02274322505382,0.00730285940248331
"40-44",0.423324199036839,0.778714885200979,0.916509900828302,0.626786855474109,0.19055421216524,0.0783364580842309,0.137947089295531,0.233835112846718,0.572694206065751,0.180020240977087,0.0631692588438982,0.0182777129103928,0.0464284289034857,0.04675004588529,0.018910308067126,0.012558185144347
"45-49",0.195738448210302,0.390301341371451,0.530938667659023,0.618002928234333,0.347049315136467,0.124670622584779,0.0521666127081347,0.108869865834786,0.149849867642836,0.405971999287501,0.136433095517365,0.0370615712430624,0.0211437505885749,0.0149331572990045,0.0138287765070329,0.0195049043800933
"50-54",0.230363928268112,0.205150028579975,0.316521262474073,0.338233612610526,0.307221811645428,0.210504551767288,0.0993408287661462,0.0504953468431635,0.0746665883698453,0.123892095719605,0.279194361365239,0.100655496769075,0.0259981543112086,0.0100049327852134,0.0105051679779673,0.0178928532111839
"55-59",0.341575911231971,0.350966551870468,0.221538239734194,0.252269812851474,0.216426742020782,0.263231279544128,0.209530632852949,0.0815439268947568,0.0447287859907013,0.0944167091283853,0.131903929693616,0.225435694435313,0.0808548912534735,0.0325772292470317,0.00739788899382213,0.0130310940691063
"60-64",0.257777549920338,0.246673136520487,0.160806255464888,0.13914180344553,0.0960380346836095,0.129059330344216,0.158132632098284,0.129408428564098,0.0591885963751187,0.032936914782032,0.0528785012537411,0.0824242325940335,0.142546473222376,0.0478411561228004,0.0108619722174507,0.00273868594631531
"65-69",0.153046983830012,0.225954325944822,0.19847292231748,0.0950785851344179,0.0714923898730544,0.0800611390037495,0.132856897958743,0.161519829204208,0.120232757087773,0.0391752833213582,0.0397980830789094,0.048159754724842,0.0560615891317615,0.116204737382816,0.0264886230184327,0.00534664405220503
"70-74",0.0599394067974861,0.183753493032276,0.157368768771914,0.115837636052876,0.0247358889577194,0.0560978757856942,0.0470146000953989,0.106984273656658,0.0973490826856491,0.0803151252635442,0.0495094194649151,0.0255060499800337,0.0356681448305264,0.0369052298222294,0.0670116589159843,0.0238933520885102
"75+",0.08773420060152,0.119557979823174,0.18726701555816,0.144842424769838,0.0374378071251825,0.0314812148729041,0.0393526234799116,0.092874268666799,0.104954385548229,0.0978374508159605,0.0961984002600229,0.0412370375824367,0.0171065978372493,0.0299075144917766,0.0241843312145723,0.0373165780663088
