"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",4.9208078035303,1.83961090714342,0.785809442305435,0.550364537416686,0.786011862614805,1.03656316278207,0.968308360171754,0.690848675494346,0.385942278174832,0.219823588719521,0.236711508294462,0.18556237176898,0.123110517959327,0.0862468932104574,0.0590603459718308,0.0185263152038877
"5-9",2.00305499613183,6.51562864885808,1.99327247382955,0.524234865638796,0.375083867136161,0.642795942969609,0.634360750816738,0.585884046973432,0.408885602287372,0.157975294786333,0.112700762545574,0.109650999324031,0.101777559073058,0.0618350079370417,0.0320156512055373,0.0157623514295302
"10-14",0.538715133819809,2.47340152536898,7.30314966446739,1.08230909811538,0.604769658683172,0.441651886877305,0.412102842174254,0.409706632083153,0.390331267771599,0.199401719887436,0.116710539348285,0.0681443852241334,0.0477934290185069,0.0402502223902959,0.031197815741387,0.0178997232155232
"15-19",0.278879597547459,0.758146409122747,2.94470633974987,8.37304354328239,1.71248377965637,0.69165728492498,0.354073330139578,0.352469599294351,0.297802999267318,0.212978457750642,0.0856643095708027,0.039942747527077,0.0292586287591734,0.0216876047939157,0.0141209155085048,0.00625117058255076
"20-24",0.334471581192136,0.367908113119914,0.457869768111124,2.79556013354933,3.81929675206816,1.30370724659771,0.62447611879865,0.344879067053445,0.221276676786499,0.207512227186788,0.112278921494575,0.0698199247838688,0.0280724529122412,0.0175639447339175,0.0210002661651991,0.0110312499411706
"25-29",0.499246151043755,0.224131151333938,0.168434031878601,0.6243073531136,1.4734656101138,1.62368662826404,0.74629047868671,0.415490455636347,0.229201908163458,0.166873588880964,0.1256750687739,0.0632727182285616,0.0249118972150065,0.0151184242643905,0.0103434654132609,0.0034766936892256
"30-34",0.407651910636906,0.250224322239044,0.317277760740984,0.239793659111688,0.536371636483934,0.680949803364022,0.690335821622214,0.409794605688149,0.212756636535001,0.130717117988623,0.118128343714746,0.0800532011939625,0.0366168150836629,0.0217636059571751,0.0119786268746595,0.00742251092781908
"35-39",0.307577584130197,0.313102040696994,0.196868070657964,0.138160413779702,0.278046414382411,0.421415013759941,0.426312954164818,0.431836463073843,0.24841836992164,0.128212623608074,0.0778700400345103,0.0579494740000015,0.0497316436745324,0.0283609331122289,0.0182633935995991,0.00481966019035615
"40-44",0.173699955817404,0.19466319626894,0.25457859237814,0.155001400823598,0.235058917299591,0.243729767758887,0.271928100987163,0.244304888539207,0.218615908196728,0.107059038417833,0.0654492331920957,0.0289077716412974,0.027363399866141,0.0158450175504718,0.0131777487289477,0.00371043440986552
"45-49",0.0422010991093044,0.059912381659409,0.065147413663344,0.117769158043514,0.136765804968851,0.14660450371203,0.145329309826188,0.134978046531602,0.106840000902166,0.0880599611679151,0.0610524372823754,0.0262462644365031,0.0186530043876203,0.0100752254579379,0.00981629081138049,0.00505493506498348
"50-54",0.0598031545740813,0.0969381156814251,0.0918585894372262,0.129430876698808,0.199701169788518,0.218907412883973,0.129676817600807,0.104583861355504,0.0976373773700674,0.0877084856536508,0.061386574655628,0.045670955298178,0.0277343730754114,0.012497979583075,0.00900493600730326,0.00404859125704324
"55-59",0.0764453878245326,0.0587496450762032,0.0527568426729681,0.0593480042073638,0.125564829578108,0.182771368428238,0.153099684116278,0.105617074355048,0.0851642340249689,0.0482666695219872,0.0631082190446311,0.0553288520384161,0.0357970389570717,0.0164835404159307,0.00998707244475565,0.00361654854708569
"60-64",0.0513424579671078,0.0484913800260298,0.0348356209462197,0.0524594378006972,0.0934122004318749,0.124135855308992,0.103560242193504,0.103200238031088,0.0734221298129941,0.0478125379270264,0.0385507867766578,0.0448650147679745,0.0389904596002666,0.0234532146926475,0.0179820082318692,0.00503238540311485
"65-69",0.0402616245552185,0.0459753602239676,0.0243861348083236,0.024333504991504,0.0600133282865966,0.0809432758856084,0.0828251343391526,0.0617154048901945,0.0484662906333098,0.030990404130636,0.0305147599690867,0.0310304064921407,0.0294052860576558,0.0211329304245311,0.0122401986573269,0.00487068170099795
"70-74",0.0164901738132067,0.0301964801042357,0.0363121808434486,0.0642335571484234,0.0503209474345434,0.0633666476665966,0.0527557488032407,0.0610524291144414,0.0589770259456742,0.0357476338360434,0.0260471829678776,0.0244284810716498,0.0401717434272718,0.0298644696981707,0.0300922110389947,0.00731626826897682
"75+",0.016967778072181,0.0149110847333438,0.0183822453828365,0.00962599740063771,0.0177985531504648,0.0205236409701017,0.0314993057423026,0.0210214254405835,0.0165445641186173,0.0165002249899899,0.0107215609696389,0.00971643053239923,0.00918840609325007,0.0101050924522365,0.00962152573333515,0.00435332316349923
