"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0.00174539603753622,8.55603742777262e-72,3.21721958655595e-59,2.52250284985619e-06,0.0125749134613895,0.0331419975258359,0.00743313662362867,0.0292008044144127,0.00833875727601726,0.00246432366001526,0.00256503132879566,3.18255957662897e-56,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0.00221564592832971,0.0562975415920181,0.0100993708941794,0.0131396973761513,0.00550653782284977,0.0458748954056961,0.0131529453377738,0.0466218820523096,0.0275331399026412,0.0119877122134143,3.5067307249409e-08,5.33262713296311e-17,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0.00779246368997815,0.0180006384169784,0.255591708964431,0.249554349935318,0.207873520727098,0.197537464954241,0.184735579435085,0.207831520316051,0.166572256389096,0.107556721331245,0.0606190856431345,0.0177905370637599,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0.0079013632520901,0.0287049493737508,0.168197484262297,0.396694500590772,0.55065703759811,0.468480006994687,0.519294907047522,0.395944599633463,0.322379381374464,0.270655487350053,0.14769389565227,0.0596992053748104,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0.0131246310059305,0.0534694955202863,0.214130887664579,0.546800093771554,1.33368706850937,0.972812322906958,0.955540397522412,0.891469378529604,0.635394746523028,0.574294848435363,0.315133486514358,0.115334309361506,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0.0212394657604106,0.0617558914349468,0.117957749141893,0.386213075644773,0.922311424845132,1.23034421255423,1.08552533075515,0.982410195570732,0.815392920091891,0.54080361986677,0.374772466385523,0.110083640589026,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0.0146621969921239,0.0382070875521599,0.23670058139201,0.32231370530427,0.871532558378241,0.951314258421254,1.3225099796927,1.29930193420327,0.91407232397578,0.731814521364368,0.34585352944959,0.0784889986508306,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0.008344167284569,0.0436004928970485,0.149288980421191,0.383114787630776,0.870466362435251,1.04657115261471,1.1267841369705,1.39407780467164,1.13874363745036,0.89993888604767,0.370829182313982,0.116224263186376,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0.00483348288330898,0.0591387748371985,0.189707454245376,0.265449159408879,0.665221043725903,0.869418520227332,0.961638435747164,1.00467841227136,0.996830873761142,0.706018586332494,0.426688388231615,0.0941101884099713,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0.000730883023357987,0.0689927986422791,0.153102885005148,0.238400561622639,0.723143305206371,0.859256508726466,0.900188963669293,1.23097749069493,1.20708897039029,1.0083419870712,0.581012915642037,0.121354368487675,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0.0101780172910809,0.130056017407218,0.125869604254996,0.196518267126003,0.523553288796494,0.742026946613402,0.703884017943689,0.908717690881238,0.728748047622125,0.742895071341544,0.552113248361755,0.140052938883816,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0.00157733526756719,0.0568755431445303,0.0221101252669569,0.101186075340917,0.261221987457279,0.293325951650092,0.348755393218916,0.380816248282164,0.378025605725264,0.317587641805536,0.291163815438882,0.0622329241858758,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
