"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.32266420898517,0.594637107210346,0.336881346867904,0.214962095045329,0.420269775812915,0.808995680733401,0.956889996712841,0.773009298676193,0.361506393099666,0.234884685839324,0.314223089818615,0.276363886658791,0.188265646060375,0.115102656923391,0.0665563073280206,0.0450501915166969
"5-9",0.49549069757784,5.52857314689047,0.897811260432198,0.270242998588041,0.166630448660828,0.532256128537999,0.972694297626507,0.928178219818772,0.59697181451036,0.294839921169352,0.218160616876133,0.226503223580294,0.167963210614419,0.102959747044312,0.0484488367868681,0.0444356653070646
"10-14",0.207728190894014,1.60227572189714,7.88342428320382,0.825304926245316,0.298471350021146,0.32298608206127,0.566088107445732,0.841513658919892,0.806857414764443,0.469646654466656,0.262938032061957,0.159823396183847,0.0957408116168132,0.0873799680569807,0.0659829381540504,0.0551924241942357
"15-19",0.118351084918068,0.315529665728556,2.95196334124505,11.2825572691022,1.42642632508206,0.747644753251234,0.629263038238015,0.872787494391255,1.02163182201836,0.959998461386268,0.482615569183644,0.187179831618502,0.0842073948896898,0.0615451849388622,0.0335002415272352,0.030000596874035
"20-24",0.239960803953087,0.181273620322667,0.266895818249047,2.43433763941958,4.46632451145688,2.08426320433496,1.39414984979563,1.22502507418663,1.04250839936738,1.23809615111052,0.855658627505384,0.342574864014437,0.0978376188776103,0.0553010006491809,0.0602659430508964,0.0569757758437066
"25-29",0.565006577527141,0.325697096870825,0.175611127767424,0.864444618428156,2.35326419603534,4.0823987761941,2.17890661192064,1.65175990807077,1.29989897361473,1.13598656031172,1.08801904706819,0.442860005131264,0.149623519075784,0.0733136349925333,0.0368740119824512,0.0357884480179858
"30-34",0.683673442164198,1.06590961580203,0.780304773382991,0.550837286410913,1.21928821500102,2.15633148809293,3.68445864637351,2.27973023715616,1.60691955576994,1.25275114922296,0.990517396924131,0.583740325042356,0.269459976105204,0.123613296533272,0.0602777277471673,0.0577646265693605
"35-39",0.600098952512173,1.09185322764572,1.00392462420673,0.779894855106812,0.849914965251536,1.6046160345397,2.15458593362843,3.61628791497964,2.22094580756887,1.44314987335277,1.00457535902169,0.441187625822981,0.320088802961897,0.205413954042192,0.110873210783908,0.0427313908233228
"40-44",0.26782999196217,0.581371509120941,0.865509319064522,1.2511616250788,1.01302817684284,1.30167326629448,1.77234093285579,1.98921688654504,2.91449327575794,1.71471083081442,1.15564980294124,0.275294067991954,0.188808621294198,0.1281196133416,0.0846454248453089,0.0419140099820601
"45-49",0.198401069390898,0.519632749390003,0.620039280232431,1.64919090105541,1.02587599762417,1.14218347582354,1.39205811183155,1.57482211056393,1.6064472050068,2.25470388584857,1.15936564183994,0.345073588086999,0.145188221985831,0.0927684156790636,0.0807825905693464,0.0939763806575448
"50-54",0.263576408698726,0.692067049123162,0.945337354514913,1.38094459346002,1.1336243277481,1.5259813665783,1.39854737936581,1.32823220099038,1.65456553484025,1.813189249013,1.95845783860677,0.687647796932397,0.26832420626986,0.128454676094359,0.0849708863237515,0.0983468561479344
"55-59",0.480630078011436,0.863021083076723,0.692124525544256,0.941004745253627,0.677253546958439,1.2235828288837,1.31457168030553,0.896725927150784,0.810866455752026,0.693729192635197,0.976967618727218,1.52950069783704,0.54582523199109,0.242811222393464,0.115560857653733,0.0970660524481429
"60-64",0.481836421926813,0.445175909943624,0.302888110887731,0.436629090955817,0.400652926592825,0.669771724219507,0.883090343808318,0.849473938625813,0.533279952037496,0.401981450657367,0.443394632526603,0.705714283168832,1.13324189467205,0.418789159046033,0.206701536604806,0.0888374865609655
"65-69",0.264489030123907,0.430218358190059,0.369626279748659,0.22690593066921,0.277684429547343,0.470320542891029,0.702331771195257,0.818907402786604,0.605935664049299,0.354207444005431,0.373526497496739,0.496963633975701,0.547382258132988,1.01196685142672,0.22615007000065,0.107228288960371
"70-74",0.126862727539833,0.393154488448798,0.419596063882129,0.374110594569086,0.193960863322629,0.389966912763371,0.347102286903643,0.69655847996413,0.680324820035034,0.547952869900995,0.371497031172768,0.342464977589409,0.511157297049687,0.476916699061247,0.789231645311075,0.208282133970125
"75+",0.231935898146337,0.320392253149641,0.47554919735447,0.434676768334312,0.188669970173386,0.231193542861474,0.330190498111962,0.387735897768369,0.401646318098159,0.535703459299566,0.524667046412919,0.319126184575432,0.19933496506208,0.269423613562574,0.212609854178022,0.412882850266201
